dep_var,dep_table,indep_var,indep_table,n,cycle
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIDAGEYR,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,AGE_SQUARED,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIAGENDR,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,INDFMPIR,DEMO_F,4523,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_LESS9,DEMO_F,4952,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_9_11,DEMO_F,4951,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_AA,DEMO_F,4951,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_COLLEGEGRAD,DEMO_F,4951,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_MEXICAN,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHERHISPANIC,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHER,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_NONHISPANICBLACK,DEMO_F,4960,F
RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_none,BORN_INUSA,DEMO_F,4959,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIDAGEYR,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,AGE_SQUARED,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIAGENDR,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,INDFMPIR,DEMO_F,4523,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_LESS9,DEMO_F,4952,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_9_11,DEMO_F,4951,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_AA,DEMO_F,4951,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_COLLEGEGRAD,DEMO_F,4951,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_MEXICAN,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHERHISPANIC,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHER,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_NONHISPANICBLACK,DEMO_F,4960,F
RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_none,BORN_INUSA,DEMO_F,4959,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIDAGEYR,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,AGE_SQUARED,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIAGENDR,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,INDFMPIR,DEMO_F,4523,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_LESS9,DEMO_F,4952,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_9_11,DEMO_F,4951,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_AA,DEMO_F,4951,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_COLLEGEGRAD,DEMO_F,4951,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_MEXICAN,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHERHISPANIC,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHER,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_NONHISPANICBLACK,DEMO_F,4960,F
RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_none,BORN_INUSA,DEMO_F,4959,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIDAGEYR,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,AGE_SQUARED,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIAGENDR,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,INDFMPIR,DEMO_F,4523,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_LESS9,DEMO_F,4952,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_9_11,DEMO_F,4951,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_AA,DEMO_F,4951,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_COLLEGEGRAD,DEMO_F,4951,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_MEXICAN,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHERHISPANIC,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHER,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_NONHISPANICBLACK,DEMO_F,4960,F
RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_none,BORN_INUSA,DEMO_F,4959,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIDAGEYR,DEMO_F,4960,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,AGE_SQUARED,DEMO_F,4960,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,RIAGENDR,DEMO_F,4960,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,INDFMPIR,DEMO_F,4523,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_LESS9,DEMO_F,4952,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_9_11,DEMO_F,4951,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_AA,DEMO_F,4951,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,EDUCATION_COLLEGEGRAD,DEMO_F,4951,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_MEXICAN,DEMO_F,4960,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHERHISPANIC,DEMO_F,4960,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_OTHER,DEMO_F,4960,F
RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_none,ETHNICITY_NONHISPANICBLACK,DEMO_F,4960,F
