dep_var,dep_table,indep_var,indep_table,n,cycle
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus1_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus2_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus3_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus4_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus5_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus6_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus7_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus8_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus9_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus10_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus11_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus12_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus13_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus14_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus15_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus16_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus17_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus18_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus19_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus20_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus21_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus22_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus23_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus24_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus25_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus26_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus27_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus28_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus29_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus30_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus31_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus32_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus33_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus34_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus35_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus36_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus37_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus38_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus39_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus40_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus41_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus42_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus43_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus44_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus45_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus46_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
TOOTH_DECAY_OHAROCDT,d_outcome_oh_f,RSV_genus47_relative,DADA2RSV_GENUS_RELATIVE_F_hellinger,3778,F
