Stratification_Variable,Category,Alpha_Diversity_Metric,N,Mean_SE,Median_IQR
Age Quartile,Q2 (28-40),Faith's PD,3112,14.951 ± 0.058,14.625 (12.793-16.823)
Age Quartile,Q3 (41-55),Faith's PD,3968,15.286 ± 0.061,14.936 (12.789-17.577)
Age Quartile,Q4 (56-69),Faith's PD,2269,13.840 ± 0.083,13.573 (11.393-15.956)
Age Quartile,Q2 (28-40),Inverse Simpson,3112,0.897 ± 0.001,0.914 (0.876-0.937)
Age Quartile,Q3 (41-55),Inverse Simpson,3968,0.901 ± 0.001,0.918 (0.883-0.939)
Age Quartile,Q4 (56-69),Inverse Simpson,2269,0.901 ± 0.001,0.916 (0.884-0.937)
Age Quartile,Q2 (28-40),Observed ASVs,3112,134.419 ± 0.700,131.500 (107.000-157.000)
Age Quartile,Q3 (41-55),Observed ASVs,3968,136.711 ± 0.719,132.000 (105.000-166.000)
Age Quartile,Q4 (56-69),Observed ASVs,2269,118.668 ± 0.906,116.000 (89.000-145.000)
Age Quartile,Q2 (28-40),Shannon Diversity,3112,4.640 ± 0.011,4.692 (4.285-5.033)
Age Quartile,Q3 (41-55),Shannon Diversity,3968,4.650 ± 0.011,4.701 (4.260-5.127)
Age Quartile,Q4 (56-69),Shannon Diversity,2269,4.515 ± 0.014,4.570 (4.121-4.987)
Education Level,9-11th Grade,Faith's PD,1143,15.615 ± 0.122,15.563 (13.151-18.153)
Education Level,< 9th Grade,Faith's PD,725,15.398 ± 0.147,15.439 (12.846-17.976)
Education Level,College Graduate,Faith's PD,1846,14.202 ± 0.082,13.782 (12.058-16.010)
Education Level,College/AA,Faith's PD,2333,14.717 ± 0.080,14.375 (12.315-16.698)
Education Level,High School,Faith's PD,1683,15.328 ± 0.093,15.169 (12.863-17.665)
Education Level,Missing,Faith's PD,1619,14.347 ± 0.076,14.054 (12.391-15.987)
Education Level,9-11th Grade,Inverse Simpson,1143,0.902 ± 0.002,0.917 (0.883-0.940)
Education Level,< 9th Grade,Inverse Simpson,725,0.906 ± 0.002,0.922 (0.890-0.941)
Education Level,College Graduate,Inverse Simpson,1846,0.898 ± 0.001,0.915 (0.880-0.936)
Education Level,College/AA,Inverse Simpson,2333,0.900 ± 0.001,0.917 (0.883-0.938)
Education Level,High School,Inverse Simpson,1683,0.904 ± 0.001,0.919 (0.886-0.941)
Education Level,Missing,Inverse Simpson,1619,0.893 ± 0.002,0.911 (0.871-0.933)
Education Level,9-11th Grade,Observed ASVs,1143,142.405 ± 1.500,141.000 (108.000-176.000)
Education Level,< 9th Grade,Observed ASVs,725,139.928 ± 1.841,140.000 (107.000-174.000)
Education Level,College Graduate,Observed ASVs,1846,121.941 ± 0.849,118.000 (96.000-144.000)
Education Level,College/AA,Observed ASVs,2333,129.478 ± 0.875,127.000 (100.000-155.000)
Education Level,High School,Observed ASVs,1683,137.906 ± 1.164,136.000 (104.000-167.000)
Education Level,Missing,Observed ASVs,1619,127.580 ± 0.868,125.000 (104.000-148.000)
Education Level,9-11th Grade,Shannon Diversity,1143,4.677 ± 0.023,4.753 (4.268-5.207)
Education Level,< 9th Grade,Shannon Diversity,725,4.703 ± 0.027,4.761 (4.316-5.203)
Education Level,College Graduate,Shannon Diversity,1846,4.544 ± 0.014,4.591 (4.204-4.955)
Education Level,College/AA,Shannon Diversity,2333,4.601 ± 0.014,4.645 (4.183-5.060)
Education Level,High School,Shannon Diversity,1683,4.678 ± 0.017,4.735 (4.289-5.168)
Education Level,Missing,Shannon Diversity,1619,4.560 ± 0.015,4.627 (4.209-4.942)
Ethnicity,Mexican American,Faith's PD,1646,15.628 ± 0.090,15.447 (13.389-17.992)
Ethnicity,Non-Hispanic Black,Faith's PD,2272,15.112 ± 0.084,14.817 (12.656-17.353)
Ethnicity,Non-Hispanic White,Faith's PD,3345,14.199 ± 0.064,13.793 (11.887-16.254)
Ethnicity,Other Hispanic,Faith's PD,971,14.991 ± 0.106,14.798 (12.785-17.232)
Ethnicity,Other/Multi-racial,Faith's PD,1115,14.776 ± 0.100,14.495 (12.615-16.701)
Ethnicity,Mexican American,Inverse Simpson,1646,0.906 ± 0.001,0.922 (0.892-0.941)
Ethnicity,Non-Hispanic Black,Inverse Simpson,2272,0.900 ± 0.001,0.917 (0.881-0.940)
Ethnicity,Non-Hispanic White,Inverse Simpson,3345,0.897 ± 0.001,0.914 (0.877-0.936)
Ethnicity,Other Hispanic,Inverse Simpson,971,0.897 ± 0.002,0.915 (0.878-0.936)
Ethnicity,Other/Multi-racial,Inverse Simpson,1115,0.900 ± 0.002,0.916 (0.882-0.936)
Ethnicity,Mexican American,Observed ASVs,1646,144.520 ± 1.126,142.000 (114.000-174.000)
Ethnicity,Non-Hispanic Black,Observed ASVs,2272,134.688 ± 0.962,131.000 (104.000-163.250)
Ethnicity,Non-Hispanic White,Observed ASVs,3345,123.018 ± 0.706,119.000 (95.000-148.000)
Ethnicity,Other Hispanic,Observed ASVs,971,134.423 ± 1.304,133.000 (105.000-159.000)
Ethnicity,Other/Multi-racial,Observed ASVs,1115,129.267 ± 1.158,126.000 (102.000-153.000)
Ethnicity,Mexican American,Shannon Diversity,1646,4.749 ± 0.016,4.797 (4.386-5.201)
Ethnicity,Non-Hispanic Black,Shannon Diversity,2272,4.640 ± 0.015,4.683 (4.220-5.111)
Ethnicity,Non-Hispanic White,Shannon Diversity,3345,4.525 ± 0.012,4.582 (4.158-4.969)
Ethnicity,Other Hispanic,Shannon Diversity,971,4.609 ± 0.021,4.654 (4.230-5.033)
Ethnicity,Other/Multi-racial,Shannon Diversity,1115,4.629 ± 0.019,4.671 (4.261-5.039)
Gender,Female,Faith's PD,4649,14.609 ± 0.054,14.256 (12.270-16.606)
Gender,Male,Faith's PD,4700,15.036 ± 0.055,14.715 (12.671-17.263)
Gender,Female,Inverse Simpson,4649,0.895 ± 0.001,0.913 (0.874-0.936)
Gender,Male,Inverse Simpson,4700,0.905 ± 0.001,0.920 (0.889-0.940)
Gender,Female,Observed ASVs,4649,128.090 ± 0.611,125.000 (99.000-153.000)
Gender,Male,Observed ASVs,4700,135.011 ± 0.653,132.000 (105.000-162.250)
Gender,Female,Shannon Diversity,4649,4.547 ± 0.010,4.601 (4.157-4.998)
Gender,Male,Shannon Diversity,4700,4.679 ± 0.010,4.730 (4.300-5.126)
PIR Quartile,Missing,Faith's PD,776,15.021 ± 0.123,14.659 (12.689-17.132)
PIR Quartile,Q1 (Lowest),Faith's PD,1956,15.169 ± 0.084,14.993 (12.783-17.504)
PIR Quartile,Q2,Faith's PD,2081,15.186 ± 0.088,15.012 (12.762-17.451)
PIR Quartile,Q3,Faith's PD,2109,14.803 ± 0.083,14.493 (12.463-16.823)
PIR Quartile,Q4 (Highest),Faith's PD,2427,14.190 ± 0.070,13.706 (11.967-16.012)
PIR Quartile,Missing,Inverse Simpson,776,0.903 ± 0.002,0.918 (0.885-0.937)
PIR Quartile,Q1 (Lowest),Inverse Simpson,1956,0.903 ± 0.001,0.916 (0.885-0.938)
PIR Quartile,Q2,Inverse Simpson,2081,0.901 ± 0.001,0.917 (0.880-0.939)
PIR Quartile,Q3,Inverse Simpson,2109,0.898 ± 0.001,0.917 (0.881-0.938)
PIR Quartile,Q4 (Highest),Inverse Simpson,2427,0.897 ± 0.001,0.915 (0.878-0.936)
PIR Quartile,Missing,Observed ASVs,776,134.839 ± 1.504,132.000 (105.750-159.000)
PIR Quartile,Q1 (Lowest),Observed ASVs,1956,136.962 ± 1.042,134.000 (105.750-167.000)
PIR Quartile,Q2,Observed ASVs,2081,136.534 ± 1.013,135.000 (104.000-166.000)
PIR Quartile,Q3,Observed ASVs,2109,130.448 ± 0.918,128.000 (102.000-155.000)
PIR Quartile,Q4 (Highest),Observed ASVs,2427,122.895 ± 0.783,119.000 (96.000-145.000)
PIR Quartile,Missing,Shannon Diversity,776,4.653 ± 0.023,4.701 (4.282-5.083)
PIR Quartile,Q1 (Lowest),Shannon Diversity,1956,4.668 ± 0.016,4.715 (4.278-5.141)
PIR Quartile,Q2,Shannon Diversity,2081,4.649 ± 0.016,4.718 (4.229-5.138)
PIR Quartile,Q3,Shannon Diversity,2109,4.598 ± 0.015,4.658 (4.225-5.039)
PIR Quartile,Q4 (Highest),Shannon Diversity,2427,4.540 ± 0.013,4.591 (4.178-4.954)
