Variable,NHANES_Code,Description,WAS_Analysis,Variable_Type,N_Available,N_Total,Availability_Percent,Statistics
TOOTH_DECAY_OHAROCDT,TOOTH_DECAY_OHAROCDT,Variable: TOOTH_DECAY_OHAROCDT,Oral Health Behaviors,Binary,7145,20293,35.2,"Cases: 1584 (22.2%), Controls: 5561 (77.8%)"
GUM_DISEASE_OHAROCGP,GUM_DISEASE_OHAROCGP,Variable: GUM_DISEASE_OHAROCGP,Oral Health Behaviors,Binary,7146,20293,35.2,"Cases: 1597 (22.3%), Controls: 5549 (77.7%)"
ORAL_HYGIENE_OHAROCOH,ORAL_HYGIENE_OHAROCOH,Variable: ORAL_HYGIENE_OHAROCOH,Oral Health Behaviors,Binary,7146,20293,35.2,"Cases: 2578 (36.1%), Controls: 4568 (63.9%)"
DENTURE_OHAROCDE,DENTURE_OHAROCDE,Variable: DENTURE_OHAROCDE,Oral Health Behaviors,Binary,7145,20293,35.2,"Cases: 169 (2.4%), Controls: 6976 (97.6%)"
LBDHEG,LBDHEG,Variable: LBDHEG,Environmental Exposures & Diet,Categorical,7885,20293,38.9,"Mode: 2 (7395, 93.8%)"
LBDHEM,LBDHEM,Variable: LBDHEM,Environmental Exposures & Diet,Categorical,7885,20293,38.9,"Mode: 2 (7836, 99.4%)"
LBXTTG,LBXTTG,Variable: LBXTTG,Environmental Exposures & Diet,Categorical,7798,20293,38.4,"Mode: 2 (7749, 99.4%)"
LBXTBN,LBXTBN,Variable: LBXTBN,Environmental Exposures & Diet,Continuous,7112,20293,35,"Mean: 0.07 ± 0.00, Median: 0.04 (0.03-0.07)"
ORXHPV,ORXHPV,Variable: ORXHPV,Environmental Exposures & Diet,Categorical,5302,20293,26.1,"Mode: 2 (4454, 84.0%)"
LBDVWCGP,LBDVWCGP,Variable: LBDVWCGP,Environmental Exposures & Diet,Categorical,5054,20293,24.9,"Mode: 1 (4940, 97.7%)"
LBXMEA,LBXMEA,Variable: LBXMEA,Environmental Exposures & Diet,Continuous,5054,20293,24.9,"Mean: 3.12 ± 0.02, Median: 3.04 (1.97-4.17)"
LBXMUM,LBXMUM,Variable: LBXMUM,Environmental Exposures & Diet,Continuous,5054,20293,24.9,"Mean: 2.90 ± 0.02, Median: 2.78 (1.67-4.06)"
LBXRUB,LBXRUB,Variable: LBXRUB,Environmental Exposures & Diet,Continuous,5054,20293,24.9,"Mean: 3.49 ± 0.02, Median: 3.58 (2.57-4.50)"
LBXARA,LBXARA,Variable: LBXARA,Environmental Exposures & Diet,Continuous,4418,20293,21.8,"Mean: 794.88 ± 3.72, Median: 762.00 (621.00-920.00)"
LBXEPA,LBXEPA,Variable: LBXEPA,Environmental Exposures & Diet,Continuous,4421,20293,21.8,"Mean: 51.06 ± 0.83, Median: 35.70 (22.30-60.00)"
LBXMR1,LBXMR1,Variable: LBXMR1,Environmental Exposures & Diet,Continuous,4417,20293,21.8,"Mean: 125.16 ± 1.55, Median: 97.60 (65.80-149.00)"
LBXPM1,LBXPM1,Variable: LBXPM1,Environmental Exposures & Diet,Continuous,4415,20293,21.8,"Mean: 2694.92 ± 16.41, Median: 2430.00 (2030.00-3025.00)"
LBXST1,LBXST1,Variable: LBXST1,Environmental Exposures & Diet,Continuous,4420,20293,21.8,"Mean: 681.19 ± 3.04, Median: 646.00 (556.00-763.00)"
LBXALN,LBXALN,Variable: LBXALN,Environmental Exposures & Diet,Continuous,4405,20293,21.7,"Mean: 84.34 ± 0.83, Median: 70.60 (52.40-98.80)"
LBXDHA,LBXDHA,Variable: LBXDHA,Environmental Exposures & Diet,Continuous,4405,20293,21.7,"Mean: 144.72 ± 1.18, Median: 123.00 (94.50-170.00)"
LBXLG1,LBXLG1,Variable: LBXLG1,Environmental Exposures & Diet,Continuous,4394,20293,21.7,"Mean: 54.68 ± 0.20, Median: 53.00 (45.70-62.10)"
LBXLNA,LBXLNA,Variable: LBXLNA,Environmental Exposures & Diet,Continuous,4407,20293,21.7,"Mean: 3638.23 ± 14.14, Median: 3500.00 (3030.00-4070.00)"
LBXOL1,LBXOL1,Variable: LBXOL1,Environmental Exposures & Diet,Continuous,4405,20293,21.7,"Mean: 2034.16 ± 14.81, Median: 1800.00 (1450.00-2340.00)"
LBXPEN,LBXPEN,Variable: LBXPEN,Environmental Exposures & Diet,Continuous,4401,20293,21.7,"Mean: 22.32 ± 0.17, Median: 20.00 (14.70-26.60)"
LBXDA1,LBXDA1,Variable: LBXDA1,Environmental Exposures & Diet,Continuous,4378,20293,21.6,"Mean: 64.03 ± 0.24, Median: 62.00 (53.40-72.20)"
LBXMRG,LBXMRG,Variable: LBXMRG,Environmental Exposures & Diet,Continuous,4355,20293,21.5,"Mean: 30.13 ± 0.15, Median: 28.20 (23.70-34.20)"
LBXPL1,LBXPL1,Variable: LBXPL1,Environmental Exposures & Diet,Continuous,4348,20293,21.4,"Mean: 206.38 ± 2.68, Median: 157.00 (107.00-246.00)"
LBXVC1,LBXVC1,Variable: LBXVC1,Environmental Exposures & Diet,Continuous,4343,20293,21.4,"Mean: 134.16 ± 0.92, Median: 120.00 (96.00-155.00)"
LBXDP3,LBXDP3,Variable: LBXDP3,Environmental Exposures & Diet,Continuous,4305,20293,21.2,"Mean: 46.24 ± 0.29, Median: 42.30 (33.80-54.50)"
LBXGLA,LBXGLA,Variable: LBXGLA,Environmental Exposures & Diet,Continuous,4312,20293,21.2,"Mean: 52.32 ± 0.48, Median: 44.50 (31.10-65.90)"
LBXDP6,LBXDP6,Variable: LBXDP6,Environmental Exposures & Diet,Continuous,4274,20293,21.1,"Mean: 21.69 ± 0.14, Median: 20.40 (15.80-26.20)"
