"VARNAME","Metric","LEVEL","group_mean","group_N","REF_LEVEL","group_mean-REF_group_mean","wilcox_effsize","wilcox_p_val","wilcox_p_FDR"
"Gender","Observed_OTUs","Male",135.012914893617,4853,"Female",6.94829884715543,-0.797287824780691,3.5344756798811e-14,3.5344756798811e-14
"Gender","Observed_OTUs","Female",128.064616046462,4809,"Female",0,NA,NA,NA
"Gender","Shannon_Diversity","Male",4.67947681336383,4853,"Female",0.132533718603666,-0.77578148274123,4.61268815310658e-22,4.61268815310658e-22
"Gender","Shannon_Diversity","Female",4.54694309476016,4809,"Female",0,NA,NA,NA
"Gender","Inverse_Simpson","Male",0.904951089078723,4853,"Female",0.0103778123245827,-0.784883316529947,1.68698817431043e-18,1.68698817431043e-18
"Gender","Inverse_Simpson","Female",0.894573276754141,4809,"Female",0,NA,NA,NA
"AgeGroup","Observed_OTUs","40-49",133.657993730408,1648,"14-19",6.17493972668314,-0.794109048814202,0.000309461022853636,0.000386826278567045
"AgeGroup","Observed_OTUs","20-29",142.498557692308,1711,"14-19",15.0155036885833,-0.711430826719116,9.22515055743866e-26,4.61257527871933e-25
"AgeGroup","Observed_OTUs","14-19",127.483054003724,1658,"14-19",0,NA,NA,NA
"AgeGroup","Observed_OTUs","30-39",140.341767323586,1632,"14-19",12.8587133198611,-0.699974507462447,1.77324656077513e-16,2.95541093462522e-16
"AgeGroup","Observed_OTUs","60-69",115.939014373717,1517,"14-19",-11.5440396300078,-0.940667561818776,5.8424001734631e-18,1.46060004336577e-17
"AgeGroup","Observed_OTUs","50-59",127.412664359862,1496,"14-19",-0.0703896438627964,-0.786218372290037,0.574114486679615,0.574114486679615
"AgeGroup","Shannon_Diversity","40-49",4.61402730376803,1648,"14-19",0.053584108237299,-0.79785017621078,0.000685239321399813,0.00114206553566635
"AgeGroup","Shannon_Diversity","20-29",4.72685121322115,1711,"14-19",0.166408017690427,-0.754477850690972,9.72306460095975e-16,4.86153230047987e-15
"AgeGroup","Shannon_Diversity","14-19",4.56044319553073,1658,"14-19",0,NA,NA,NA
"AgeGroup","Shannon_Diversity","30-39",4.69792170146217,1632,"14-19",0.137478505931449,-0.732496396388613,1.53977169322266e-10,3.84942923305665e-10
"AgeGroup","Shannon_Diversity","60-69",4.48667087901437,1517,"14-19",-0.0737723165163526,-0.836400155774071,0.00428341047414042,0.00535426309267552
"AgeGroup","Shannon_Diversity","50-59",4.57833531031142,1496,"14-19",0.0178921147806923,-0.752573752697434,0.194332470872063,0.194332470872063
"AgeGroup","Inverse_Simpson","40-49",0.899644031623824,1648,"14-19",0.00662060250526453,-0.766665914779799,2.4547794230666e-07,4.09129903844434e-07
"AgeGroup","Inverse_Simpson","20-29",0.901867894939904,1711,"14-19",0.00884446582134391,-0.789368980597725,1.60377642251691e-09,4.00944105629228e-09
"AgeGroup","Inverse_Simpson","14-19",0.89302342911856,1658,"14-19",0,NA,NA,NA
"AgeGroup","Inverse_Simpson","30-39",0.902225641207883,1632,"14-19",0.00920221208932315,-0.73653562285166,6.68112809408831e-10,3.34056404704416e-09
"AgeGroup","Inverse_Simpson","60-69",0.900236191882272,1517,"14-19",0.00721276276371252,-0.725257430589306,0.000954467645872215,0.000954467645872215
"AgeGroup","Inverse_Simpson","50-59",0.90200285149481,1496,"14-19",0.00897942237624982,-0.692359146612264,3.71720460023935e-06,4.64650575029918e-06
"age_group","Observed_OTUs","40–49",133.657993730408,1648,"14–19",6.17493972668314,-0.794109048814202,0.000309461022853636,0.000386826278567045
"age_group","Observed_OTUs","20–29",142.498557692308,1711,"14–19",15.0155036885833,-0.711430826719116,9.22515055743866e-26,4.61257527871933e-25
"age_group","Observed_OTUs","14–19",127.483054003724,1658,"14–19",0,NA,NA,NA
"age_group","Observed_OTUs","30–39",140.341767323586,1632,"14–19",12.8587133198611,-0.699974507462447,1.77324656077513e-16,2.95541093462522e-16
"age_group","Observed_OTUs","60–69",115.939014373717,1517,"14–19",-11.5440396300078,-0.940667561818776,5.8424001734631e-18,1.46060004336577e-17
"age_group","Observed_OTUs","50–59",127.412664359862,1496,"14–19",-0.0703896438627964,-0.786218372290037,0.574114486679615,0.574114486679615
"age_group","Shannon_Diversity","40–49",4.61402730376803,1648,"14–19",0.053584108237299,-0.79785017621078,0.000685239321399813,0.00114206553566635
"age_group","Shannon_Diversity","20–29",4.72685121322115,1711,"14–19",0.166408017690427,-0.754477850690972,9.72306460095975e-16,4.86153230047987e-15
"age_group","Shannon_Diversity","14–19",4.56044319553073,1658,"14–19",0,NA,NA,NA
"age_group","Shannon_Diversity","30–39",4.69792170146217,1632,"14–19",0.137478505931449,-0.732496396388613,1.53977169322266e-10,3.84942923305665e-10
"age_group","Shannon_Diversity","60–69",4.48667087901437,1517,"14–19",-0.0737723165163526,-0.836400155774071,0.00428341047414042,0.00535426309267552
"age_group","Shannon_Diversity","50–59",4.57833531031142,1496,"14–19",0.0178921147806923,-0.752573752697434,0.194332470872063,0.194332470872063
"age_group","Inverse_Simpson","40–49",0.899644031623824,1648,"14–19",0.00662060250526453,-0.766665914779799,2.4547794230666e-07,4.09129903844434e-07
"age_group","Inverse_Simpson","20–29",0.901867894939904,1711,"14–19",0.00884446582134391,-0.789368980597725,1.60377642251691e-09,4.00944105629228e-09
"age_group","Inverse_Simpson","14–19",0.89302342911856,1658,"14–19",0,NA,NA,NA
"age_group","Inverse_Simpson","30–39",0.902225641207883,1632,"14–19",0.00920221208932315,-0.73653562285166,6.68112809408831e-10,3.34056404704416e-09
"age_group","Inverse_Simpson","60–69",0.900236191882272,1517,"14–19",0.00721276276371252,-0.725257430589306,0.000954467645872215,0.000954467645872215
"age_group","Inverse_Simpson","50–59",0.90200285149481,1496,"14–19",0.00897942237624982,-0.692359146612264,3.71720460023935e-06,4.64650575029918e-06
"EducationLevel","Observed_OTUs","High School",136.951060358891,1897,"< 9th Grade",3.47770302315715,-1,0.0631933909699523,0.0842578546266031
"EducationLevel","Observed_OTUs","9-11th Grade",136.606228543404,2108,"< 9th Grade",3.13287120767006,-1,0.0902375598671946,0.0902375598671946
"EducationLevel","Observed_OTUs","< 9th Grade",133.473357335734,1141,"< 9th Grade",0,NA,NA,NA
