"variable_name","variable_group","variable_description","source","levels","reference_level","n_non_na","missing_prop","mean","sd","median","q1","q3","n_levels","most_common_level","most_common_prop"
"RIDAGEYR","demoWAS","Best age in years of the sample person at time of HH screening.  Individual","DEMO",NA,NA,9847,0,38.8991571036864,16.5432630212975,39,24,53,NA,NA,NA
"AGE_SQUARED","demoWAS","Age squared (RIDAGEYR²)","DEMO",NA,NA,9847,0,1786.79618157815,1341.28042956382,1521,576,2809,NA,NA,NA
"RIAGENDR","demoWAS","Gender of the sample person","DEMO",NA,NA,9847,0,1.49822280897735,0.50002223179877,1,1,2,NA,NA,NA
"INDFMPIR","demoWAS","Poverty income ratio (PIR) - a ratio of family income to poverty threshold","DEMO",NA,NA,9031,0.0828678785416878,2.35558520651091,1.66299269528184,1.81,0.93,3.89,NA,NA,NA
"EDUCATION_LESS9","demoWAS","Edu: <9th grade (DMDEDUC2=1)","DEMO","0; 1","0",9839,0.000812430181781253,NA,NA,NA,NA,NA,2,"0",0.881898566927533
"EDUCATION_9_11","demoWAS","Edu: 9–11th grade (DMDEDUC2=2)","DEMO","0; 1","0",9838,0.00091398395450391,NA,NA,NA,NA,NA,2,"0",0.781154706241106
"EDUCATION_AA","demoWAS","Edu: AA/some college (DMDEDUC2=4)","DEMO","0; 1","0",9838,0.00091398395450391,NA,NA,NA,NA,NA,2,"0",0.750762350071153
"EDUCATION_COLLEGEGRAD","demoWAS","Edu: college graduate or above (DMDEDUC2=5)","DEMO","0; 1","0",9838,0.00091398395450391,NA,NA,NA,NA,NA,2,"0",0.801280748119537
"ETHNICITY_MEXICAN","demoWAS","Mexican American (RIDRETH1=1)","DEMO","0; 1","0",9847,0,NA,NA,NA,NA,NA,2,"0",0.826343048644257
"ETHNICITY_OTHERHISPANIC","demoWAS","Other Hispanic (RIDRETH1=2)","DEMO","0; 1","0",9847,0,NA,NA,NA,NA,NA,2,"0",0.898040012186453
"ETHNICITY_OTHER","demoWAS","Other race/multi-racial (RIDRETH1=5)","DEMO","0; 1","0",9847,0,NA,NA,NA,NA,NA,2,"0",0.878338580278257
"ETHNICITY_NONHISPANICBLACK","demoWAS","Non-Hispanic Black (RIDRETH1=4)","DEMO","0; 1","0",9847,0,NA,NA,NA,NA,NA,2,"0",0.757184929420128
"BORN_INUSA","demoWAS","Born in USA (DMDBORN4=1)","DEMO","0; 1","0",9842,0.000507768863613283,NA,NA,NA,NA,NA,2,"1",0.718045112781955
"TOOTH_DECAY_OHAROCDT","oradWAS","Tooth Decay","d_outcome_oh","0; 1","0",8500,0.136792931857419,NA,NA,NA,NA,NA,2,"0",0.711058823529412
"GUM_DISEASE_OHAROCGP","oradWAS","Gum Disease","d_outcome_oh","0; 1","0",8463,0.140550421448157,NA,NA,NA,NA,NA,2,"0",0.685808814841073
"ORAL_HYGIENE_OHAROCOH","oradWAS","Oral Hygiene","d_outcome_oh","0; 1","0",8457,0.141159744084493,NA,NA,NA,NA,NA,2,"0",0.660163178432068
"DENTURE_OHAROCDE","oradWAS","Denture","d_outcome_oh","0; 1","0",8444,0.142479943129887,NA,NA,NA,NA,NA,2,"0",0.940431075319754
"DR1TACAR","exWAS","Alpha-carotene (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,367.904741654263,1234.21570628409,41,8,201,NA,NA,NA
"DR1TALCO","exWAS","Alcohol (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,9.94727833297895,29.5176821826867,0,0,0,NA,NA,NA
"DR1TATOA","exWAS","Added alpha-tocopherol (Vitamin E) (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,0.480905804805443,2.61000756877108,0,0,0,NA,NA,NA
"DR1TATOC","exWAS","Vitamin E as alpha-tocopherol (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,7.96752817350627,6.2040895211803,6.52,4.1325,9.98,NA,NA,NA
"DR1TB12A","exWAS","Added vitamin B12 (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,0.913987880076547,2.37735612142623,0,0,0.08,NA,NA,NA
"DR1TBCAR","exWAS","Beta-carotene (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,1973.73793323411,4221.72432581141,641,249,2008.75,NA,NA,NA
"DR1TCAFF","exWAS","Caffeine (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,134.95300871784,193.711710038513,75,5,188,NA,NA,NA
"DR1TCALC","exWAS","Calcium (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,984.472677014671,628.763698428307,850.5,550,1267,NA,NA,NA
"DR1TCARB","exWAS","Carbohydrate (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,272.751860514565,132.715838679528,250.82,181.99,338.1125,NA,NA,NA
"DR1TCHOL","exWAS","Cholesterol (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,290.806400170104,236.352333533411,223,130,384,NA,NA,NA
"DR1TCOPP","exWAS","Copper (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,1.27981968955986,1.09699227949179,1.109,0.791,1.539,NA,NA,NA
"DR1TCRYP","exWAS","Beta-cryptoxanthin (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,85.0090367850308,246.126791888801,23,6,88,NA,NA,NA
"DR1TFA","exWAS","Folic acid (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,193.56357644057,185.846018900681,146,76,253,NA,NA,NA
"DR1TFDFE","exWAS","Folate as dietary folate equivalents (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,547.893365936636,371.953859195097,465,300,690,NA,NA,NA
"DR1TFF","exWAS","Food folate (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,218.695938762492,143.872883222769,187,121,280,NA,NA,NA
"DR1TFIBE","exWAS","Dietary fiber (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,16.8369551350202,10.5293062295281,14.7,9.5,21.6,NA,NA,NA
"DR1TFOLA","exWAS","Total Folate (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,412.267595152031,256.376753656238,359,236,523,NA,NA,NA
"DR1TIRON","exWAS","Iron (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,15.233683818839,8.9093579619147,13.28,9.29,18.95,NA,NA,NA
"DR1TKCAL","exWAS","Energy (kcal)","DR1TOT_C",NA,NA,9406,0.0447852137706916,2201.06687220923,1025.37977699713,2008.5,1496,2697.75,NA,NA,NA
"DR1TLYCO","exWAS","Lycopene (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,5224.64628960238,9578.40270568984,1897,5,6009.75,NA,NA,NA
"DR1TLZ","exWAS","Lutein + zeaxanthin (mcg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,1453.54741654263,3346.42951303872,651.5,310,1280,NA,NA,NA
"DR1TM161","exWAS","MFA 16:1 (Hexadecenoic) (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,1.18601679778865,0.89730542407062,0.973,0.56125,1.564,NA,NA,NA
"DR1TM181","exWAS","MFA 18:1 (Octadecenoic) (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,27.243239634276,16.7607034485919,23.9015,15.53625,35.20325,NA,NA,NA
"DR1TM201","exWAS","MFA 20:1 (Eicosenoic) (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,0.297130554964916,0.27704643439907,0.226,0.131,0.375,NA,NA,NA
"DR1TM221","exWAS","MFA 22:1 (Docosenoic) (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,0.0273196895598554,0.120088618568877,0.005,0,0.022,NA,NA,NA
"DR1TMAGN","exWAS","Magnesium (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,297.901126940251,149.483878337545,270,195,368,NA,NA,NA
"DR1TMFAT","exWAS","Total monounsaturated fatty acids (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,29.1879948968743,17.8249775918185,25.6735,16.69625,37.72575,NA,NA,NA
"DR1TMOIS","exWAS","Moisture (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,2896.34701573464,1536.79670844072,2605.26,1852.105,3576.11,NA,NA,NA
"DR1TNIAC","exWAS","Niacin (mg)","DR1TOT_C",NA,NA,9406,0.0447852137706916,25.8302729109079,15.0152963839183,22.676,15.8145,32.04725,NA,NA,NA
"DR1TNUMF","exWAS","Total number of foods reported in the individual foods file","DR1TOT_C",NA,NA,9406,0.0447852137706916,15.2217733361684,5.86220815086947,14,11,19,NA,NA,NA
"DR1TP182","exWAS","PFA 18:2 (Octadecadienoic) (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,16.5125086115246,11.2120149798049,14.1605,8.7965,21.3975,NA,NA,NA
"DR1TP183","exWAS","PFA 18:3 (Octadecatrienoic) (gm)","DR1TOT_C",NA,NA,9406,0.0447852137706916,1.6540962151818,1.22619597541108,1.3585,0.83725,2.127,NA,NA,NA
