var_name,var_description
RIDAGEYR,Age at screening
AGE_SQUARED,Age squared (RIDAGEYR²)
RIAGENDR,Gender of the sample person
INDFMPIR,Poverty income ratio
EDUCATION_LESS9,Edu: <9th grade (DMDEDUC2=1)
EDUCATION_9_11,Edu: 9–11th grade (DMDEDUC2=2)
EDUCATION_AA,Edu: AA/some college (DMDEDUC2=4)
EDUCATION_COLLEGEGRAD,Edu: college graduate or above (DMDEDUC2=5)
ETHNICITY_MEXICAN,Mexican American (RIDRETH1=1)
ETHNICITY_OTHERHISPANIC,Other Hispanic (RIDRETH1=2)
ETHNICITY_OTHER,Other race/multi-racial (RIDRETH1=5)
ETHNICITY_NONHISPANICBLACK,Non-Hispanic Black (RIDRETH1=4)
BORN_INUSA,Born in USA (DMDBORN4=1)
TOOTH_DECAY_OHAROCDT,Tooth Decay
GUM_DISEASE_OHAROCGP,Gum Disease
ORAL_HYGIENE_OHAROCOH,Oral Hygiene
DENTURE_OHAROCDE,Denture
DR1TACAR,Alpha-carotene (mcg)
DR1TALCO,Alcohol (gm)
DR1TATOA,"Added α-tocopherol (Vit E, mg)"
DR1TATOC,Vitamin E as alpha-tocopherol (mg)
DR1TB12A,Added vitamin B12 (mcg)
DR1TBCAR,Beta-carotene (mcg)
DR1TCAFF,Caffeine (mg)
DR1TCALC,Calcium (mg)
DR1TCARB,Carbohydrate (gm)
DR1TCHOL,Cholesterol (mg)
DR1TCOPP,Copper (mg)
DR1TCRYP,Beta-cryptoxanthin (mcg)
DR1TFA,Folic acid (mcg)
DR1TFDFE,Dietary folate equivalents (mcg)
DR1TFF,Food folate (mcg)
DR1TFIBE,Dietary fiber (gm)
DR1TFOLA,Total folate (mcg)
DR1TIRON,Iron (mg)
DR1TKCAL,Energy (kcal)
DR1TLYCO,Lycopene (mcg)
DR1TLZ,Lutein + zeaxanthin (mcg)
DR1TM161,MFA 16:1 (Hexadecenoic) (gm)
DR1TM181,MFA 18:1 (Octadecenoic) (gm)
DR1TM201,MFA 20:1 (Eicosenoic) (gm)
DR1TM221,MFA 22:1 (Docosenoic) (gm)
DR1TMAGN,Magnesium (mg)
DR1TMFAT,Total monounsaturated FA (g)
DR1TMOIS,Moisture (gm)
DR1TNIAC,Niacin (mg)
DR1TNUMF,Total foods
DR1TP182,PFA 18:2 (Octadecadienoic) (gm)
DR1TP183,PFA 18:3 (Octadecatrienoic) (gm)
DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR1TP225,PFA 22:5 (Docosapentaenoic) (gm)
DR1TP226,PFA 22:6 (Docosahexaenoic) (gm)
DR1TPFAT,Total polyunsaturated FA (g)
DR1TPHOS,Phosphorus (mg)
DR1TPOTA,Potassium (mg)
DR1TPROT,Protein (gm)
DR1TRET,Retinol (mcg)
DR1TS040,SFA 4:0 (Butanoic) (gm)
DR1TS060,SFA 6:0 (Hexanoic) (gm)
DR1TS080,SFA 8:0 (Octanoic) (gm)
DR1TS100,SFA 10:0 (Decanoic) (gm)
DR1TS120,SFA 12:0 (Dodecanoic) (gm)
DR1TS140,SFA 14:0 (Tetradecanoic) (gm)
DR1TS160,SFA 16:0 (Hexadecanoic) (gm)
DR1TS180,SFA 18:0 (Octadecanoic) (gm)
DR1TSELE,Selenium (mcg)
DR1TSFAT,Total saturated fatty acids (gm)
DR1TSODI,Sodium (mg)
DR1TSUGR,Total sugars (gm)
DR1TTFAT,Total fat (gm)
DR1TTHEO,Theobromine (mg)
DR1TVARA,Vitamin A (retinol activity equiv.)
DR1TVB1,Thiamin (Vitamin B1) (mg)
DR1TVB12,Vitamin B12 (mcg)
DR1TVB2,Riboflavin (Vitamin B2) (mg)
DR1TVB6,Vitamin B6 (mg)
DR1TVC,Vitamin C (mg)
DR1TVD,Vitamin D (D2 + D3) (mcg)
DR1TVK,Vitamin K (mcg)
DR1TZINC,Zinc (mg)
DR2TACAR,Alpha-carotene (mcg)
DR2TALCO,Alcohol (gm)
DR2TATOA,"Added α-tocopherol (Vit E, mg)"
DR2TATOC,Vitamin E as alpha-tocopherol (mg)
DR2TB12A,Added vitamin B12 (mcg)
DR2TBCAR,Beta-carotene (mcg)
DR2TCAFF,Caffeine (mg)
DR2TCALC,Calcium (mg)
DR2TCARB,Carbohydrate (gm)
DR2TCHL,Total choline (mg)
DR2TCHOL,Cholesterol (mg)
DR2TCOPP,Copper (mg)
DR2TCRYP,Beta-cryptoxanthin (mcg)
DR2TFA,Folic acid (mcg)
DR2TFDFE,Dietary folate equivalents (mcg)
DR2TFF,Food folate (mcg)
DR2TFIBE,Dietary fiber (gm)
DR2TFOLA,Total folate (mcg)
DR2TIRON,Iron (mg)
DR2TKCAL,Energy (kcal)
DR2TLYCO,Lycopene (mcg)
DR2TLZ,Lutein + zeaxanthin (mcg)
DR2TM161,MFA 16:1 (Hexadecenoic) (gm)
DR2TM181,MFA 18:1 (Octadecenoic) (gm)
DR2TM201,MFA 20:1 (Eicosenoic) (gm)
DR2TM221,MFA 22:1 (Docosenoic) (gm)
DR2TMAGN,Magnesium (mg)
DR2TMFAT,Total monounsaturated FA (g)
DR2TMOIS,Moisture (gm)
DR2TNIAC,Niacin (mg)
DR2TNUMF,Total foods reported (foods file)
DR2TP182,PFA 18:2 (Octadecadienoic) (gm)
DR2TP183,PFA 18:3 (Octadecatrienoic) (gm)
DR2TP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR2TP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR2TP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR2TP225,PFA 22:5 (Docosapentaenoic) (gm)
DR2TP226,PFA 22:6 (Docosahexaenoic) (gm)
DR2TPFAT,Total polyunsaturated FA (g)
DR2TPHOS,Phosphorus (mg)
DR2TPOTA,Potassium (mg)
DR2TPROT,Protein (gm)
DR2TRET,Retinol (mcg)
DR2TS040,SFA 4:0 (Butanoic) (gm)
DR2TS060,SFA 6:0 (Hexanoic) (gm)
DR2TS080,SFA 8:0 (Octanoic) (gm)
DR2TS100,SFA 10:0 (Decanoic) (gm)
DR2TS120,SFA 12:0 (Dodecanoic) (gm)
DR2TS140,SFA 14:0 (Tetradecanoic) (gm)
DR2TS160,SFA 16:0 (Hexadecanoic) (gm)
DR2TS180,SFA 18:0 (Octadecanoic) (gm)
DR2TSELE,Selenium (mcg)
DR2TSFAT,Total saturated fatty acids (gm)
DR2TSODI,Sodium (mg)
DR2TSUGR,Total sugars (gm)
DR2TTFAT,Total fat (gm)
DR2TTHEO,Theobromine (mg)
DR2TVARA,Vitamin A (retinol activity equiv.)
DR2TVB1,Thiamin (Vitamin B1) (mg)
DR2TVB12,Vitamin B12 (mcg)
DR2TVB2,Riboflavin (Vitamin B2) (mg)
DR2TVB6,Vitamin B6 (mg)
DR2TVC,Vitamin C (mg)
DR2TVD,Vitamin D (D2 + D3) (mcg)
DR2TVK,Vitamin K (mcg)
DR2TZINC,Zinc (mg)
DS1DSCNT,Dietary supplements
DS1TCALC,Calcium (mg)
DS1TCOPP,Copper (mg)
DS1TFA,Folic acid (mcg)
DS1TFDFE,"Folate, DFE (mcg)"
DS1TIRON,Iron (mg)
DS1TKCAL,Energy (kcal)
DS1TMAGN,Magnesium (mg)
DS1TNIAC,Niacin (mg)
DS1TPOTA,Potassium (mg)
DS1TSELE,Selenium (mcg)
DS1TVB1,Thiamin (Vitamin B1) (mg)
DS1TVB12,Vitamin B12 (mcg)
DS1TVB2,Riboflavin (Vitamin B2) (mg)
DS1TVB6,Vitamin B6 (mg)
DS1TVC,Vitamin C (mg)
DS1TVD,Vitamin D (D2 + D3) (mcg)
DS1TVK,Vitamin K (mcg)
DS1TZINC,Zinc (mg)
DS2AN,Any Antacids Taken?
DS2ANCNT,Total # of Antacids Taken
DS2DS,Any Dietary Supplements taken in the past 24 hour?
DS2DSCNT,Dietary supplements
DS2TCALC,Calcium (mg)
DS2TCOPP,Copper (mg)
DS2TFA,Folic acid (mcg)
DS2TFDFE,"Folate, DFE (mcg)"
DS2TIRON,Iron (mg)
DS2TMAGN,Magnesium (mg)
DS2TNIAC,Niacin (mg)
DS2TPOTA,Potassium (mg)
DS2TSELE,Selenium (mcg)
DS2TVB1,Thiamin (Vitamin B1) (mg)
DS2TVB12,Vitamin B12 (mcg)
DS2TVB2,Riboflavin (Vitamin B2) (mg)
DS2TVB6,Vitamin B6 (mg)
DS2TVC,Vitamin C (mg)
DS2TVD,Vitamin D (D2 + D3) (mcg)
DS2TVK,Vitamin K (mcg)
DS2TZINC,Zinc (mg)
DS2TIODI,Iodine (mcg)
DS2TKCAL,Energy (kcal)
DSQTCALC,Calcium (mg)
DSQTCOPP,Copper (mg)
DSQTFA,Folic acid (mcg)
DSQTFDFE,"Folate, DFE (mcg)"
DSQTIRON,Iron (mg)
DSQTKCAL,Energy (kcal)
DSQTMAGN,Magnesium (mg)
DSQTNIAC,Niacin (mg)
DSQTPHOS,Phosphorus (mg)
DSQTPOTA,Potassium (mg)
DSQTSELE,Selenium (mcg)
DSQTVB1,Thiamin (Vitamin B1) (mg)
DSQTVB12,Vitamin B12 (mcg)
DSQTVB2,Riboflavin (Vitamin B2) (mg)
DSQTVB6,Vitamin B6 (mg)
