"","SMQ_current_ever_never","URXP01","URXP03","URXP04","URXP05","URXUCD","URX1DC","LBXCOT","LBX2DF","LBXVFN","LBXVBZ","LBXV06","LBXVEB","LBXVXY","LBXVCB","LBXV1D","LBXV3B","LBXVMC","LBXVDM","LBXVTC","LBXV4C","LBXV2A","LBXV2T","LBXV4E"
"SMQ_current_ever_never",4115,0,0,0,0,0,0,3923,1874,1796,1813,1840,1801,1766,1809,1741,1846,1716,1837,1882,1858,1897,1814,1892
"URXP01",0,1803,1800,1803,1803,1801,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URXP03",0,1800,1800,1800,1800,1798,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URXP04",0,1803,1800,1803,1803,1801,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URXP05",0,1803,1800,1803,1803,1801,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URXUCD",0,1801,1798,1801,1801,1810,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URX1DC",0,1785,1782,1785,1785,1788,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBXCOT",3923,0,0,0,0,0,0,4700,2256,2164,2183,2215,2166,2122,2183,2086,2229,2057,2218,2262,2244,2285,2189,2281
"LBX2DF",1874,0,0,0,0,0,0,2256,2257,2123,2141,2174,2131,2081,2165,2043,2187,2017,2177,2219,2202,2242,2150,2238
"LBXVFN",1796,0,0,0,0,0,0,2164,2123,2165,2053,2080,2035,2028,2068,1968,2094,1924,2114,2128,2112,2150,2089,2146
"LBXVBZ",1813,0,0,0,0,0,0,2183,2141,2053,2184,2116,2057,2006,2069,1975,2113,1956,2106,2146,2129,2173,2092,2168
"LBXV06",1840,0,0,0,0,0,0,2215,2174,2080,2116,2216,2083,2037,2099,2002,2145,1989,2134,2178,2192,2201,2122,2197
"LBXVEB",1801,0,0,0,0,0,0,2166,2131,2035,2057,2083,2167,2002,2061,2002,2105,1974,2092,2135,2112,2153,2078,2152
"LBXVXY",1766,0,0,0,0,0,0,2122,2081,2028,2006,2037,2002,2122,2006,1978,2051,1902,2067,2084,2067,2109,2028,2105
"LBXVCB",1809,0,0,0,0,0,0,2183,2165,2068,2069,2099,2061,2006,2184,1977,2162,1948,2102,2146,2128,2169,2073,2165
"LBXV1D",1741,0,0,0,0,0,0,2086,2043,1968,1975,2002,2002,1978,1977,2087,2026,1886,2022,2050,2031,2078,2006,2085
"LBXV3B",1846,0,0,0,0,0,0,2229,2187,2094,2113,2145,2105,2051,2162,2026,2230,1993,2151,2192,2193,2215,2122,2215
"LBXVMC",1716,0,0,0,0,0,0,2057,2017,1924,1956,1989,1974,1902,1948,1886,1993,2057,1980,2019,2001,2043,1962,2038
"LBXVDM",1837,0,0,0,0,0,0,2218,2177,2114,2106,2134,2092,2067,2102,2022,2151,1980,2219,2183,2164,2209,2124,2218
"LBXVTC",1882,0,0,0,0,0,0,2262,2219,2128,2146,2178,2135,2084,2146,2050,2192,2019,2183,2263,2207,2248,2152,2244
"LBXV4C",1858,0,0,0,0,0,0,2244,2202,2112,2129,2192,2112,2067,2128,2031,2193,2001,2164,2207,2245,2230,2134,2227
"LBXV2A",1897,0,0,0,0,0,0,2285,2242,2150,2173,2201,2153,2109,2169,2078,2215,2043,2209,2248,2230,2286,2180,2272
"LBXV2T",1814,0,0,0,0,0,0,2189,2150,2089,2092,2122,2078,2028,2073,2006,2122,1962,2124,2152,2134,2180,2190,2186
"LBXV4E",1892,0,0,0,0,0,0,2281,2238,2146,2168,2197,2152,2105,2165,2085,2215,2038,2218,2244,2227,2272,2186,2282
