"genus","cluster","phylum","trait","value"
"RSV_genus35","i","Actinobacteria","OXYGEN_INDEX",0.264705882352941
"RSV_genus35","i","Actinobacteria","STAIN_INDEX",1
"RSV_genus35","i","Actinobacteria","MOTILITY_INDEX",0
"RSV_genus35","i","Actinobacteria","SPORULATION_INDEX",0
"RSV_genus38","d","Actinobacteria","OXYGEN_INDEX",0
"RSV_genus38","d","Actinobacteria","STAIN_INDEX",1
"RSV_genus38","d","Actinobacteria","MOTILITY_INDEX",1
"RSV_genus38","d","Actinobacteria","SPORULATION_INDEX",NA
"RSV_genus44","h","Actinobacteria","OXYGEN_INDEX",0.166666666666667
"RSV_genus44","h","Actinobacteria","STAIN_INDEX",1
"RSV_genus44","h","Actinobacteria","MOTILITY_INDEX",0
"RSV_genus44","h","Actinobacteria","SPORULATION_INDEX",0
"RSV_genus45","h","Actinobacteria","OXYGEN_INDEX",0.0388349514563107
"RSV_genus45","h","Actinobacteria","STAIN_INDEX",1
"RSV_genus45","h","Actinobacteria","MOTILITY_INDEX",0.00970873786407767
"RSV_genus45","h","Actinobacteria","SPORULATION_INDEX",0.0202020202020202
"RSV_genus49","h","Actinobacteria","OXYGEN_INDEX",0
"RSV_genus49","h","Actinobacteria","STAIN_INDEX",1
"RSV_genus49","h","Actinobacteria","MOTILITY_INDEX",0
"RSV_genus49","h","Actinobacteria","SPORULATION_INDEX",0
"RSV_genus51","b","Actinobacteria","OXYGEN_INDEX",0.333333333333333
"RSV_genus51","b","Actinobacteria","STAIN_INDEX",1
"RSV_genus51","b","Actinobacteria","MOTILITY_INDEX",0
"RSV_genus51","b","Actinobacteria","SPORULATION_INDEX",0
"RSV_genus52","c","Actinobacteria","OXYGEN_INDEX",0.576612903225807
"RSV_genus52","c","Actinobacteria","STAIN_INDEX",1
"RSV_genus52","c","Actinobacteria","MOTILITY_INDEX",0
"RSV_genus52","c","Actinobacteria","SPORULATION_INDEX",0
"RSV_genus135","h","Actinobacteria","OXYGEN_INDEX",0.833333333333333
"RSV_genus135","h","Actinobacteria","STAIN_INDEX",1
"RSV_genus135","h","Actinobacteria","MOTILITY_INDEX",NA
"RSV_genus135","h","Actinobacteria","SPORULATION_INDEX",NA
"RSV_genus193","h","Actinobacteria","OXYGEN_INDEX",0
