"genus","cluster","phylum"
"RSV_genus35","i","Actinobacteria"
"RSV_genus38","d","Actinobacteria"
"RSV_genus44","h","Actinobacteria"
"RSV_genus45","h","Actinobacteria"
"RSV_genus49","h","Actinobacteria"
"RSV_genus51","b","Actinobacteria"
"RSV_genus52","c","Actinobacteria"
"RSV_genus135","h","Actinobacteria"
"RSV_genus193","h","Actinobacteria"
"RSV_genus196","h","Actinobacteria"
"RSV_genus201","f","Actinobacteria"
"RSV_genus204","h","Actinobacteria"
"RSV_genus231","a","Bacteroidetes"
"RSV_genus233","f","Bacteroidetes"
"RSV_genus253","d","Bacteroidetes"
"RSV_genus255","f","Bacteroidetes"
"RSV_genus256","c","Bacteroidetes"
"RSV_genus259","d","Bacteroidetes"
"RSV_genus261","e","Bacteroidetes"
"RSV_genus262","h","Bacteroidetes"
"RSV_genus263","h","Bacteroidetes"
"RSV_genus318","c","Bacteroidetes"
"RSV_genus319","h","Bacteroidetes"
"RSV_genus322","h","Bacteroidetes"
"RSV_genus475","c","Firmicutes"
"RSV_genus494","e","Firmicutes"
"RSV_genus499","c","Firmicutes"
"RSV_genus511","c","Firmicutes"
"RSV_genus519","h","Firmicutes"
"RSV_genus530","a","Firmicutes"
"RSV_genus535","c","Firmicutes"
"RSV_genus555","f","Firmicutes"
"RSV_genus560","f","Firmicutes"
"RSV_genus568","f","Firmicutes"
"RSV_genus569","h","Firmicutes"
"RSV_genus578","d","Firmicutes"
"RSV_genus579","f","Firmicutes"
"RSV_genus580","h","Firmicutes"
"RSV_genus582","d","Firmicutes"
"RSV_genus583","h","Firmicutes"
"RSV_genus591","i","Firmicutes"
"RSV_genus592","d","Firmicutes"
"RSV_genus600","f","Firmicutes"
"RSV_genus603","d","Firmicutes"
"RSV_genus604","i","Firmicutes"
"RSV_genus627","i","Firmicutes"
"RSV_genus630","d","Firmicutes"
"RSV_genus631","h","Firmicutes"
"RSV_genus644","d","Firmicutes"
"RSV_genus646","f","Firmicutes"
"RSV_genus649","d","Firmicutes"
"RSV_genus650","d","Firmicutes"
"RSV_genus673","b","Firmicutes"
"RSV_genus683","i","Firmicutes"
"RSV_genus685","a","Firmicutes"
"RSV_genus698","d","Firmicutes"
"RSV_genus703","d","Firmicutes"
"RSV_genus709","d","Firmicutes"
"RSV_genus716","i","Firmicutes"
"RSV_genus726","f","Firmicutes"
"RSV_genus729","d","Firmicutes"
"RSV_genus731","h","Firmicutes"
"RSV_genus735","f","Firmicutes"
"RSV_genus736","f","Firmicutes"
"RSV_genus737","d","Firmicutes"
"RSV_genus740","i","Firmicutes"
"RSV_genus742","d","Fusobacteria"
"RSV_genus746","h","Fusobacteria"
"RSV_genus750","c","Fusobacteria"
"RSV_genus993","c","Proteobacteria"
"RSV_genus998","g","Proteobacteria"
"RSV_genus1007","c","Proteobacteria"
"RSV_genus1017","h","Proteobacteria"
"RSV_genus1054","d","Proteobacteria"
"RSV_genus1060","e","Proteobacteria"
"RSV_genus1061","h","Proteobacteria"
"RSV_genus1063","i","Proteobacteria"
"RSV_genus1090","f","Proteobacteria"
"RSV_genus1133","d","Proteobacteria"
"RSV_genus1161","g","Proteobacteria"
"RSV_genus1181","b","Proteobacteria"
"RSV_genus1228","c","Proteobacteria"
"RSV_genus1229","b","Proteobacteria"
"RSV_genus1233","c","Proteobacteria"
"RSV_genus1234","c","Proteobacteria"
"RSV_genus1238","a","Proteobacteria"
"RSV_genus1241","c","Proteobacteria"
"RSV_genus1248","h","Proteobacteria"
"RSV_genus1282","i","Proteobacteria"
"RSV_genus1299","g","Saccharibacteria"
"RSV_genus1307","d","Spirochaetae"
"RSV_genus1309","f","Synergistetes"
"RSV_genus1322","f","Tenericutes"
