"k","gap","gap_se","decision_signal","passes_se_rule"
2,0.595365772303304,0.0392677367717158,-0.164981760637257,FALSE
3,0.80171030189412,0.041362768953559,0.0357209633528166,TRUE
4,0.806379997921661,0.0403906593803569,0.0106227597755403,TRUE
5,0.834681676393045,0.0389244382469251,-0.000155267690811756,FALSE
6,0.873519743684612,0.0386827996007545,0.00148509566301436,TRUE
7,0.911083493120759,0.0390488450991617,0.0214865283472819,TRUE
8,0.929661508231209,0.0400645434577324,0.0125343575770053,TRUE
9,0.956540302013943,0.0394131513597389,0.0112234702033903,TRUE
10,0.983598133748582,0.0382813019380289,0.0276845704952593,TRUE
11,0.994146040588229,0.038232477334907,0.0269594815239618,TRUE
12,1.00548890764914,0.0383023485848692,0.0240693249580768,TRUE
13,1.01974479462944,0.0383252119383796,0.0335166920587507,TRUE
14,1.02488708333069,0.0386589807600041,0.0349949854104347,TRUE
15,1.02875723674937,0.038865138829108,NA,FALSE
