"k","s_bar","n_neg","frac_neg"
2,0.258426800306368,4,0.043010752688172
3,0.301933736962739,7,0.0752688172043011
4,0.268168995975743,6,0.0645161290322581
5,0.193516350738723,14,0.150537634408602
6,0.211404974490788,14,0.150537634408602
7,0.239357630244487,9,0.0967741935483871
8,0.235296801668669,11,0.118279569892473
9,0.253144359790184,7,0.0752688172043011
10,0.252907870735547,11,0.118279569892473
11,0.257038375244145,8,0.0860215053763441
12,0.261304085296182,8,0.0860215053763441
13,0.23048005916272,8,0.0860215053763441
14,0.230656202608988,8,0.0860215053763441
15,0.215649612596914,8,0.0860215053763441
