"age_group","n_total","n_known","n_missing","n_non_us","prop_non_us","bar_label","overall_prop_non_us"
"14-19",1690,1689,1,261,0.154529307282416,"261 / 1689",0.281954887218045
"20-24",945,945,0,206,0.217989417989418,"206 / 945",0.281954887218045
"25-29",799,799,0,234,0.292866082603254,"234 / 799",0.281954887218045
"30-34",834,834,0,254,0.304556354916067,"254 / 834",0.281954887218045
"35-39",841,841,0,284,0.33769322235434,"284 / 841",0.281954887218045
"40-44",853,851,2,312,0.36662749706228,"312 / 851",0.281954887218045
"45-49",821,821,0,258,0.314250913520097,"258 / 821",0.281954887218045
"50-54",848,847,1,294,0.347107438016529,"294 / 847",0.281954887218045
"55-59",677,677,0,201,0.296898079763663,"201 / 677",0.281954887218045
"60-64",908,907,1,276,0.304299889746417,"276 / 907",0.281954887218045
"65-69",631,631,0,195,0.309033280507132,"195 / 631",0.281954887218045
