"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"CHD","Observed_OTUs","control","CHD",3.23451935967823e-09,3.23451935967823e-09,TRUE
"CHD","Shannon_Diversity","control","CHD",2.44583927394689e-05,2.44583927394689e-05,TRUE
"CHD","Inverse_Simpson","control","CHD",0.0180142291380937,0.0180142291380937,TRUE
"CVD","Observed_OTUs","control","CVD",7.53967299071769e-15,7.53967299071769e-15,TRUE
"CVD","Shannon_Diversity","control","CVD",1.4215940213727e-07,1.4215940213727e-07,TRUE
"CVD","Inverse_Simpson","control","CVD",0.00286969427310077,0.00286969427310077,TRUE
"Gender","Observed_OTUs","Female","Male",5.95194169159307e-14,5.95194169159307e-14,TRUE
"Gender","Shannon_Diversity","Female","Male",4.35840838030745e-22,4.35840838030745e-22,TRUE
"Gender","Inverse_Simpson","Female","Male",1.86897819327142e-18,1.86897819327142e-18,TRUE
"AgeGroup","Observed_OTUs","18-29","30-39",0.825804563018715,0.825804563018715,FALSE
"AgeGroup","Observed_OTUs","18-29","40-49",3.08824658471894e-06,3.08824658471894e-06,TRUE
"AgeGroup","Observed_OTUs","18-29","50-59",8.74071744572488e-18,8.74071744572488e-18,TRUE
"AgeGroup","Observed_OTUs","18-29","60-69",7.12537961287546e-61,7.12537961287546e-61,TRUE
"AgeGroup","Observed_OTUs","30-39","40-49",4.84563021685682e-05,4.84563021685682e-05,TRUE
"AgeGroup","Observed_OTUs","30-39","50-59",2.60831856193962e-14,2.60831856193962e-14,TRUE
"AgeGroup","Observed_OTUs","30-39","60-69",2.79409917226522e-49,2.79409917226522e-49,TRUE
"AgeGroup","Observed_OTUs","40-49","50-59",0.000232255954981389,0.000232255954981389,TRUE
"AgeGroup","Observed_OTUs","40-49","60-69",5.07774133591986e-27,5.07774133591986e-27,TRUE
"AgeGroup","Observed_OTUs","50-59","60-69",3.49046561025338e-12,3.49046561025338e-12,TRUE
"AgeGroup","Shannon_Diversity","18-29","30-39",0.879570826189653,0.879570826189653,FALSE
"AgeGroup","Shannon_Diversity","18-29","40-49",0.00396391390946698,0.00396391390946698,TRUE
"AgeGroup","Shannon_Diversity","18-29","50-59",1.11093736432462e-06,1.11093736432462e-06,TRUE
"AgeGroup","Shannon_Diversity","18-29","60-69",2.29575561392403e-19,2.29575561392403e-19,TRUE
"AgeGroup","Shannon_Diversity","30-39","40-49",0.00566067025806634,0.00566067025806634,TRUE
"AgeGroup","Shannon_Diversity","30-39","50-59",6.88495834611838e-06,6.88495834611838e-06,TRUE
"AgeGroup","Shannon_Diversity","30-39","60-69",1.4104589338388e-16,1.4104589338388e-16,TRUE
"AgeGroup","Shannon_Diversity","40-49","50-59",0.0691800779065004,0.0691800779065004,FALSE
"AgeGroup","Shannon_Diversity","40-49","60-69",3.45729188989256e-08,3.45729188989256e-08,TRUE
"AgeGroup","Shannon_Diversity","50-59","60-69",0.000183689434302452,0.000183689434302452,TRUE
"EducationLevel","Observed_OTUs","< 9th Grade","9-11th Grade",0.397010793859948,0.397010793859948,FALSE
"EducationLevel","Observed_OTUs","< 9th Grade","College Graduate",2.8917184370292e-21,2.8917184370292e-21,TRUE
"EducationLevel","Observed_OTUs","< 9th Grade","College/AA",2.34128855141649e-08,2.34128855141649e-08,TRUE
"EducationLevel","Observed_OTUs","< 9th Grade","High School",0.211332131591114,0.211332131591114,FALSE
"EducationLevel","Observed_OTUs","9-11th Grade","College Graduate",4.83507930059554e-33,4.83507930059554e-33,TRUE
"EducationLevel","Observed_OTUs","9-11th Grade","College/AA",3.12816846828814e-14,3.12816846828814e-14,TRUE
"EducationLevel","Observed_OTUs","9-11th Grade","High School",0.0129709906296668,0.0129709906296668,TRUE
"EducationLevel","Observed_OTUs","College Graduate","College/AA",2.52418436312994e-09,2.52418436312994e-09,TRUE
"EducationLevel","Observed_OTUs","College Graduate","High School",2.0614338162407e-27,2.0614338162407e-27,TRUE
"EducationLevel","Observed_OTUs","College/AA","High School",1.24650218056793e-08,1.24650218056793e-08,TRUE
"EducationLevel","Shannon_Diversity","< 9th Grade","9-11th Grade",0.475796431868767,0.475796431868767,FALSE
"EducationLevel","Shannon_Diversity","< 9th Grade","College Graduate",7.99076145131304e-11,7.99076145131304e-11,TRUE
"EducationLevel","Shannon_Diversity","< 9th Grade","College/AA",2.10497073431836e-05,2.10497073431836e-05,TRUE
"EducationLevel","Shannon_Diversity","< 9th Grade","High School",0.250755300143649,0.250755300143649,FALSE
"EducationLevel","Shannon_Diversity","9-11th Grade","College Graduate",4.46092849611301e-10,4.46092849611301e-10,TRUE
"EducationLevel","Shannon_Diversity","9-11th Grade","College/AA",0.000122671174660429,0.000122671174660429,TRUE
"EducationLevel","Shannon_Diversity","9-11th Grade","High School",0.67615103884259,0.67615103884259,FALSE
"EducationLevel","Shannon_Diversity","College Graduate","College/AA",0.00307706009161616,0.00307706009161616,TRUE
"EducationLevel","Shannon_Diversity","College Graduate","High School",1.85833545253144e-11,1.85833545253144e-11,TRUE
"EducationLevel","Shannon_Diversity","College/AA","High School",6.41545622962318e-05,6.41545622962318e-05,TRUE
"EducationLevel","Inverse_Simpson","< 9th Grade","9-11th Grade",0.145686571697241,0.145686571697241,FALSE
"EducationLevel","Inverse_Simpson","< 9th Grade","College Graduate",0.000197415448510156,0.000197415448510156,TRUE
"EducationLevel","Inverse_Simpson","< 9th Grade","College/AA",0.00774234309181121,0.00774234309181121,TRUE
"EducationLevel","Inverse_Simpson","< 9th Grade","High School",0.225149486680476,0.225149486680476,FALSE
"EducationLevel","Inverse_Simpson","9-11th Grade","College Graduate",0.0174491274759166,0.0174491274759166,TRUE
"EducationLevel","Inverse_Simpson","9-11th Grade","College/AA",0.225149486680476,0.225149486680476,FALSE
"EducationLevel","Inverse_Simpson","9-11th Grade","High School",0.544221733738689,0.544221733738689,FALSE
"EducationLevel","Inverse_Simpson","College Graduate","College/AA",0.126783992869098,0.126783992869098,FALSE
"EducationLevel","Inverse_Simpson","College Graduate","High School",0.000648407274249139,0.000648407274249139,TRUE
"EducationLevel","Inverse_Simpson","College/AA","High School",0.0465451861838729,0.0465451861838729,TRUE
"Ethnicity","Observed_OTUs","White","Black",6.51510756722682e-21,6.51510756722682e-21,TRUE
"Ethnicity","Observed_OTUs","White","Mexican American",1.68572426398191e-60,1.68572426398191e-60,TRUE
"Ethnicity","Observed_OTUs","White","Other",6.8830382927717e-06,6.8830382927717e-06,TRUE
"Ethnicity","Observed_OTUs","White","Other Hispanic",7.13668767054348e-15,7.13668767054348e-15,TRUE
"Ethnicity","Observed_OTUs","Black","Mexican American",3.73971561121269e-13,3.73971561121269e-13,TRUE
"Ethnicity","Observed_OTUs","Black","Other",0.00180838819265326,0.00180838819265326,TRUE
"Ethnicity","Observed_OTUs","Black","Other Hispanic",0.658778812674809,0.658778812674809,FALSE
"Ethnicity","Observed_OTUs","Mexican American","Other",6.51510756722682e-21,6.51510756722682e-21,TRUE
"Ethnicity","Observed_OTUs","Mexican American","Other Hispanic",1.13492667123996e-08,1.13492667123996e-08,TRUE
"Ethnicity","Observed_OTUs","Other","Other Hispanic",0.00175107889067159,0.00175107889067159,TRUE
"Ethnicity","Shannon_Diversity","White","Black",1.02698862904569e-08,1.02698862904569e-08,TRUE
"Ethnicity","Shannon_Diversity","White","Mexican American",2.65169298476644e-28,2.65169298476644e-28,TRUE
"Ethnicity","Shannon_Diversity","White","Other",7.74596622125163e-05,7.74596622125163e-05,TRUE
"Ethnicity","Shannon_Diversity","White","Other Hispanic",0.00237077534478003,0.00237077534478003,TRUE
"Ethnicity","Shannon_Diversity","Black","Mexican American",5.35806857308186e-07,5.35806857308186e-07,TRUE
"Ethnicity","Shannon_Diversity","Black","Other",0.500190610581925,0.500190610581925,FALSE
"Ethnicity","Shannon_Diversity","Black","Other Hispanic",0.215118105839089,0.215118105839089,FALSE
"Ethnicity","Shannon_Diversity","Mexican American","Other",3.82598958678015e-07,3.82598958678015e-07,TRUE
"Ethnicity","Shannon_Diversity","Mexican American","Other Hispanic",5.80809812183211e-08,5.80809812183211e-08,TRUE
"Ethnicity","Shannon_Diversity","Other","Other Hispanic",0.543355713356412,0.543355713356412,FALSE
"Ethnicity","Inverse_Simpson","White","Black",0.022966357852661,0.022966357852661,TRUE
"Ethnicity","Inverse_Simpson","White","Mexican American",1.07868795275431e-09,1.07868795275431e-09,TRUE
"Ethnicity","Inverse_Simpson","White","Other",0.233110967760307,0.233110967760307,FALSE
"Ethnicity","Inverse_Simpson","White","Other Hispanic",0.98596070809221,0.98596070809221,FALSE
"Ethnicity","Inverse_Simpson","Black","Mexican American",0.000378397989176207,0.000378397989176207,TRUE
"Ethnicity","Inverse_Simpson","Black","Other",0.622120995534251,0.622120995534251,FALSE
"Ethnicity","Inverse_Simpson","Black","Other Hispanic",0.131852349315924,0.131852349315924,FALSE
"Ethnicity","Inverse_Simpson","Mexican American","Other",0.000378397989176207,0.000378397989176207,TRUE
"Ethnicity","Inverse_Simpson","Mexican American","Other Hispanic",9.76716461179146e-06,9.76716461179146e-06,TRUE
"Ethnicity","Inverse_Simpson","Other","Other Hispanic",0.361340738301377,0.361340738301377,FALSE
