"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"CHD","Beta Diversity ( Braycurtis )","control","CHD",7.09890444888618e-08,7.09890444888618e-08,TRUE
"CHD","Beta Diversity ( Unwunifrac )","control","CHD",2.76910189594235e-09,2.76910189594235e-09,TRUE
"CHD","Beta Diversity ( Wunifrac )","control","CHD",6.06693677391573e-05,6.06693677391573e-05,TRUE
"CVD","Beta Diversity ( Braycurtis )","control","CVD",2.69490487398876e-10,2.69490487398876e-10,TRUE
"CVD","Beta Diversity ( Unwunifrac )","control","CVD",3.43770918059419e-18,3.43770918059419e-18,TRUE
"CVD","Beta Diversity ( Wunifrac )","control","CVD",3.02314885979819e-05,3.02314885979819e-05,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","18-29","30-39",0.000671488890130099,0.000671488890130099,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","18-29","40-49",1.50823525672871e-07,1.50823525672871e-07,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","18-29","50-59",4.87531350208393e-07,4.87531350208393e-07,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","18-29","60-69",3.57183016131239e-14,3.57183016131239e-14,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","30-39","40-49",0.0750950122148988,0.0750950122148988,FALSE
"AgeGroup","Beta Diversity ( Braycurtis )","30-39","50-59",0.110478571003203,0.110478571003203,FALSE
"AgeGroup","Beta Diversity ( Braycurtis )","30-39","60-69",0.000103355527094567,0.000103355527094567,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","40-49","50-59",0.804952231684919,0.804952231684919,FALSE
"AgeGroup","Beta Diversity ( Braycurtis )","40-49","60-69",0.0400330961421971,0.0400330961421971,TRUE
"AgeGroup","Beta Diversity ( Braycurtis )","50-59","60-69",0.0248311968182118,0.0248311968182118,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","18-29","30-39",2.04915052646663e-05,2.04915052646663e-05,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","18-29","40-49",1.23413821833301e-11,1.23413821833301e-11,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","18-29","50-59",2.94622587291546e-14,2.94622587291546e-14,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","18-29","60-69",2.44471350374708e-20,2.44471350374708e-20,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","30-39","40-49",0.0186524659143466,0.0186524659143466,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","30-39","50-59",0.00146629208090413,0.00146629208090413,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","30-39","60-69",1.18496858001024e-06,1.18496858001024e-06,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","40-49","50-59",0.334558165536232,0.334558165536232,FALSE
"AgeGroup","Beta Diversity ( Unwunifrac )","40-49","60-69",0.0104104178694816,0.0104104178694816,TRUE
"AgeGroup","Beta Diversity ( Unwunifrac )","50-59","60-69",0.10107499369201,0.10107499369201,FALSE
"AgeGroup","Beta Diversity ( Wunifrac )","18-29","30-39",0.0110548201053294,0.0110548201053294,TRUE
"AgeGroup","Beta Diversity ( Wunifrac )","18-29","40-49",0.000248837767184978,0.000248837767184978,TRUE
"AgeGroup","Beta Diversity ( Wunifrac )","18-29","50-59",0.00896422884714603,0.00896422884714603,TRUE
"AgeGroup","Beta Diversity ( Wunifrac )","18-29","60-69",0.000248837767184978,0.000248837767184978,TRUE
"AgeGroup","Beta Diversity ( Wunifrac )","30-39","40-49",0.381094035640645,0.381094035640645,FALSE
"AgeGroup","Beta Diversity ( Wunifrac )","30-39","50-59",0.917885124231109,0.917885124231109,FALSE
"AgeGroup","Beta Diversity ( Wunifrac )","30-39","60-69",0.381094035640645,0.381094035640645,FALSE
"AgeGroup","Beta Diversity ( Wunifrac )","40-49","50-59",0.40060203459173,0.40060203459173,FALSE
"AgeGroup","Beta Diversity ( Wunifrac )","40-49","60-69",0.978192912664713,0.978192912664713,FALSE
"AgeGroup","Beta Diversity ( Wunifrac )","50-59","60-69",0.40060203459173,0.40060203459173,FALSE
"EducationLevel","Beta Diversity ( Braycurtis )","< 9th Grade","9-11th Grade",0.00484011049793105,0.00484011049793105,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","< 9th Grade","College Graduate",0.00484011049793105,0.00484011049793105,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","< 9th Grade","College/AA",0.938427441292371,0.938427441292371,FALSE
"EducationLevel","Beta Diversity ( Braycurtis )","< 9th Grade","High School",0.317473809461984,0.317473809461984,FALSE
"EducationLevel","Beta Diversity ( Braycurtis )","9-11th Grade","College Graduate",3.62678817448622e-12,3.62678817448622e-12,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","9-11th Grade","College/AA",0.000468579203484772,0.000468579203484772,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","9-11th Grade","High School",0.0214558101773764,0.0214558101773764,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","College Graduate","College/AA",6.42730113385313e-05,6.42730113385313e-05,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","College Graduate","High School",4.16372850629218e-07,4.16372850629218e-07,TRUE
"EducationLevel","Beta Diversity ( Braycurtis )","College/AA","High School",0.221284656106327,0.221284656106327,FALSE
"EducationLevel","Beta Diversity ( Unwunifrac )","< 9th Grade","9-11th Grade",0.0165028311271513,0.0165028311271513,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","< 9th Grade","College Graduate",2.90758747178853e-05,2.90758747178853e-05,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","< 9th Grade","College/AA",0.187450669339714,0.187450669339714,FALSE
"EducationLevel","Beta Diversity ( Unwunifrac )","< 9th Grade","High School",0.998623536270592,0.998623536270592,FALSE
"EducationLevel","Beta Diversity ( Unwunifrac )","9-11th Grade","College Graduate",2.91464134901723e-15,2.91464134901723e-15,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","9-11th Grade","College/AA",4.84759801491098e-06,4.84759801491098e-06,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","9-11th Grade","High School",0.00340642447188272,0.00340642447188272,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","College Graduate","College/AA",7.40247675213448e-05,7.40247675213448e-05,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","College Graduate","High School",1.12836497188711e-07,1.12836497188711e-07,TRUE
"EducationLevel","Beta Diversity ( Unwunifrac )","College/AA","High School",0.0934038871873412,0.0934038871873412,FALSE
"EducationLevel","Beta Diversity ( Wunifrac )","< 9th Grade","9-11th Grade",0.473137417253059,0.473137417253059,FALSE
"EducationLevel","Beta Diversity ( Wunifrac )","< 9th Grade","College Graduate",0.0012997184093939,0.0012997184093939,TRUE
"EducationLevel","Beta Diversity ( Wunifrac )","< 9th Grade","College/AA",0.259887834838304,0.259887834838304,FALSE
"EducationLevel","Beta Diversity ( Wunifrac )","< 9th Grade","High School",0.473137417253059,0.473137417253059,FALSE
"EducationLevel","Beta Diversity ( Wunifrac )","9-11th Grade","College Graduate",5.01082436589401e-06,5.01082436589401e-06,TRUE
"EducationLevel","Beta Diversity ( Wunifrac )","9-11th Grade","College/AA",0.0267916379229561,0.0267916379229561,TRUE
"EducationLevel","Beta Diversity ( Wunifrac )","9-11th Grade","High School",0.12742255913474,0.12742255913474,FALSE
"EducationLevel","Beta Diversity ( Wunifrac )","College Graduate","College/AA",0.00452744851514725,0.00452744851514725,TRUE
"EducationLevel","Beta Diversity ( Wunifrac )","College Graduate","High School",0.00108190267522953,0.00108190267522953,TRUE
"EducationLevel","Beta Diversity ( Wunifrac )","College/AA","High School",0.473137417253059,0.473137417253059,FALSE
"Ethnicity","Beta Diversity ( Braycurtis )","White","Black",0.0886685768349932,0.0886685768349932,FALSE
"Ethnicity","Beta Diversity ( Braycurtis )","White","Mexican American",7.75844858635822e-06,7.75844858635822e-06,TRUE
"Ethnicity","Beta Diversity ( Braycurtis )","White","Other",7.75844858635822e-06,7.75844858635822e-06,TRUE
"Ethnicity","Beta Diversity ( Braycurtis )","White","Other Hispanic",2.03366529753456e-06,2.03366529753456e-06,TRUE
"Ethnicity","Beta Diversity ( Braycurtis )","Black","Mexican American",0.0060745894991903,0.0060745894991903,TRUE
"Ethnicity","Beta Diversity ( Braycurtis )","Black","Other",0.0035584932618309,0.0035584932618309,TRUE
"Ethnicity","Beta Diversity ( Braycurtis )","Black","Other Hispanic",0.000601788054271998,0.000601788054271998,TRUE
"Ethnicity","Beta Diversity ( Braycurtis )","Mexican American","Other",0.683419848450475,0.683419848450475,FALSE
"Ethnicity","Beta Diversity ( Braycurtis )","Mexican American","Other Hispanic",0.293838844966682,0.293838844966682,FALSE
"Ethnicity","Beta Diversity ( Braycurtis )","Other","Other Hispanic",0.501643694740929,0.501643694740929,FALSE
"Ethnicity","Beta Diversity ( Unwunifrac )","White","Black",0.562376701219582,0.562376701219582,FALSE
"Ethnicity","Beta Diversity ( Unwunifrac )","White","Mexican American",0.000181327271766223,0.000181327271766223,TRUE
"Ethnicity","Beta Diversity ( Unwunifrac )","White","Other",7.92523670506068e-05,7.92523670506068e-05,TRUE
"Ethnicity","Beta Diversity ( Unwunifrac )","White","Other Hispanic",4.3874354028039e-07,4.3874354028039e-07,TRUE
"Ethnicity","Beta Diversity ( Unwunifrac )","Black","Mexican American",0.00162713287489387,0.00162713287489387,TRUE
"Ethnicity","Beta Diversity ( Unwunifrac )","Black","Other",0.0006324268419627,0.0006324268419627,TRUE
"Ethnicity","Beta Diversity ( Unwunifrac )","Black","Other Hispanic",5.15976409236176e-06,5.15976409236176e-06,TRUE
"Ethnicity","Beta Diversity ( Unwunifrac )","Mexican American","Other",0.472885972212797,0.472885972212797,FALSE
"Ethnicity","Beta Diversity ( Unwunifrac )","Mexican American","Other Hispanic",0.0556742214736098,0.0556742214736098,FALSE
"Ethnicity","Beta Diversity ( Unwunifrac )","Other","Other Hispanic",0.275837768156904,0.275837768156904,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","White","Black",0.48248983387017,0.48248983387017,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","White","Mexican American",0.954036510561899,0.954036510561899,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","White","Other",0.00337822413971958,0.00337822413971958,TRUE
"Ethnicity","Beta Diversity ( Wunifrac )","White","Other Hispanic",0.450366548243126,0.450366548243126,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","Black","Mexican American",0.560878616798038,0.560878616798038,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","Black","Other",0.0251780056404457,0.0251780056404457,TRUE
"Ethnicity","Beta Diversity ( Wunifrac )","Black","Other Hispanic",0.691962994045879,0.691962994045879,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","Mexican American","Other",0.00697045454654273,0.00697045454654273,TRUE
"Ethnicity","Beta Diversity ( Wunifrac )","Mexican American","Other Hispanic",0.48248983387017,0.48248983387017,FALSE
"Ethnicity","Beta Diversity ( Wunifrac )","Other","Other Hispanic",0.180331951204856,0.180331951204856,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Divorced","Living with partner",0.297593772915357,0.297593772915357,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Divorced","Married",0.0986064297891469,0.0986064297891469,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Divorced","Never married",0.0986064297891469,0.0986064297891469,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Divorced","Separated",0.95632670433656,0.95632670433656,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Divorced","Widowed",0.407062719800943,0.407062719800943,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Living with partner","Married",0.795965542260579,0.795965542260579,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Living with partner","Never married",0.795965542260579,0.795965542260579,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Living with partner","Separated",0.419240435565743,0.419240435565743,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Living with partner","Widowed",0.0986064297891469,0.0986064297891469,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Married","Never married",0.95632670433656,0.95632670433656,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Married","Separated",0.297593772915357,0.297593772915357,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Married","Widowed",0.0609409153152149,0.0609409153152149,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Never married","Separated",0.297593772915357,0.297593772915357,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Never married","Widowed",0.0609409153152149,0.0609409153152149,FALSE
"Marital_Status","Beta Diversity ( Braycurtis )","Separated","Widowed",0.419240435565743,0.419240435565743,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Divorced","Living with partner",0.0274673630316639,0.0274673630316639,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Divorced","Married",2.56093933305265e-06,2.56093933305265e-06,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Divorced","Never married",0.000226994434325259,0.000226994434325259,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Divorced","Separated",0.4109291250277,0.4109291250277,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Divorced","Widowed",0.324062906738698,0.324062906738698,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Living with partner","Married",0.0887047863275485,0.0887047863275485,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Living with partner","Never married",0.324062906738698,0.324062906738698,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Living with partner","Separated",0.324062906738698,0.324062906738698,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Living with partner","Widowed",0.0146918590789691,0.0146918590789691,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Married","Never married",0.324062906738698,0.324062906738698,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Married","Separated",0.0274673630316639,0.0274673630316639,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Married","Widowed",0.000157280293710147,0.000157280293710147,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Never married","Separated",0.0887047863275485,0.0887047863275485,FALSE
"Marital_Status","Beta Diversity ( Unwunifrac )","Never married","Widowed",0.000847778906268705,0.000847778906268705,TRUE
"Marital_Status","Beta Diversity ( Unwunifrac )","Separated","Widowed",0.196406335357318,0.196406335357318,FALSE
"Interview_Language","Beta Diversity ( Braycurtis )","English","Spanish",0.000126426388135509,0.000126426388135509,TRUE
"Interview_Language","Beta Diversity ( Unwunifrac )","English","Spanish",0.0032612665233959,0.0032612665233959,TRUE
"Age_group","Beta Diversity ( Braycurtis )","30-39","18-29",0.000671488890130099,0.000671488890130099,TRUE
"Age_group","Beta Diversity ( Braycurtis )","30-39","40-49",0.0750950122148988,0.0750950122148988,FALSE
"Age_group","Beta Diversity ( Braycurtis )","30-39","50-59",0.110478571003203,0.110478571003203,FALSE
"Age_group","Beta Diversity ( Braycurtis )","30-39","60-69",0.000103355527094567,0.000103355527094567,TRUE
"Age_group","Beta Diversity ( Braycurtis )","18-29","40-49",1.50823525672871e-07,1.50823525672871e-07,TRUE
"Age_group","Beta Diversity ( Braycurtis )","18-29","50-59",4.87531350208393e-07,4.87531350208393e-07,TRUE
"Age_group","Beta Diversity ( Braycurtis )","18-29","60-69",3.57183016131239e-14,3.57183016131239e-14,TRUE
"Age_group","Beta Diversity ( Braycurtis )","40-49","50-59",0.804952231684919,0.804952231684919,FALSE
"Age_group","Beta Diversity ( Braycurtis )","40-49","60-69",0.0400330961421971,0.0400330961421971,TRUE
"Age_group","Beta Diversity ( Braycurtis )","50-59","60-69",0.0248311968182118,0.0248311968182118,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","30-39","18-29",2.04915052646663e-05,2.04915052646663e-05,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","30-39","40-49",0.0186524659143466,0.0186524659143466,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","30-39","50-59",0.00146629208090413,0.00146629208090413,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","30-39","60-69",1.18496858001024e-06,1.18496858001024e-06,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","18-29","40-49",1.23413821833301e-11,1.23413821833301e-11,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","18-29","50-59",2.94622587291546e-14,2.94622587291546e-14,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","18-29","60-69",2.44471350374708e-20,2.44471350374708e-20,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","40-49","50-59",0.334558165536232,0.334558165536232,FALSE
"Age_group","Beta Diversity ( Unwunifrac )","40-49","60-69",0.0104104178694816,0.0104104178694816,TRUE
"Age_group","Beta Diversity ( Unwunifrac )","50-59","60-69",0.10107499369201,0.10107499369201,FALSE
"Age_group","Beta Diversity ( Wunifrac )","30-39","18-29",0.0110548201053294,0.0110548201053294,TRUE
"Age_group","Beta Diversity ( Wunifrac )","30-39","40-49",0.381094035640645,0.381094035640645,FALSE
"Age_group","Beta Diversity ( Wunifrac )","30-39","50-59",0.917885124231109,0.917885124231109,FALSE
"Age_group","Beta Diversity ( Wunifrac )","30-39","60-69",0.381094035640645,0.381094035640645,FALSE
"Age_group","Beta Diversity ( Wunifrac )","18-29","40-49",0.000248837767184978,0.000248837767184978,TRUE
"Age_group","Beta Diversity ( Wunifrac )","18-29","50-59",0.00896422884714603,0.00896422884714603,TRUE
"Age_group","Beta Diversity ( Wunifrac )","18-29","60-69",0.000248837767184978,0.000248837767184978,TRUE
"Age_group","Beta Diversity ( Wunifrac )","40-49","50-59",0.40060203459173,0.40060203459173,FALSE
"Age_group","Beta Diversity ( Wunifrac )","40-49","60-69",0.978192912664713,0.978192912664713,FALSE
"Age_group","Beta Diversity ( Wunifrac )","50-59","60-69",0.40060203459173,0.40060203459173,FALSE
"Education_level","Beta Diversity ( Braycurtis )","College/AA","< 9th Grade",0.938427441292371,0.938427441292371,FALSE
"Education_level","Beta Diversity ( Braycurtis )","College/AA","9-11th Grade",0.000468579203484772,0.000468579203484772,TRUE
"Education_level","Beta Diversity ( Braycurtis )","College/AA","High School",0.221284656106327,0.221284656106327,FALSE
"Education_level","Beta Diversity ( Braycurtis )","College/AA","College Graduate",6.42730113385313e-05,6.42730113385313e-05,TRUE
"Education_level","Beta Diversity ( Braycurtis )","< 9th Grade","9-11th Grade",0.00484011049793105,0.00484011049793105,TRUE
"Education_level","Beta Diversity ( Braycurtis )","< 9th Grade","High School",0.317473809461984,0.317473809461984,FALSE
"Education_level","Beta Diversity ( Braycurtis )","< 9th Grade","College Graduate",0.00484011049793105,0.00484011049793105,TRUE
"Education_level","Beta Diversity ( Braycurtis )","9-11th Grade","High School",0.0214558101773764,0.0214558101773764,TRUE
"Education_level","Beta Diversity ( Braycurtis )","9-11th Grade","College Graduate",3.62678817448622e-12,3.62678817448622e-12,TRUE
"Education_level","Beta Diversity ( Braycurtis )","High School","College Graduate",4.16372850629218e-07,4.16372850629218e-07,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","College/AA","< 9th Grade",0.187450669339714,0.187450669339714,FALSE
"Education_level","Beta Diversity ( Unwunifrac )","College/AA","9-11th Grade",4.84759801491098e-06,4.84759801491098e-06,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","College/AA","High School",0.0934038871873412,0.0934038871873412,FALSE
"Education_level","Beta Diversity ( Unwunifrac )","College/AA","College Graduate",7.40247675213448e-05,7.40247675213448e-05,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","< 9th Grade","9-11th Grade",0.0165028311271513,0.0165028311271513,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","< 9th Grade","High School",0.998623536270592,0.998623536270592,FALSE
"Education_level","Beta Diversity ( Unwunifrac )","< 9th Grade","College Graduate",2.90758747178853e-05,2.90758747178853e-05,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","9-11th Grade","High School",0.00340642447188272,0.00340642447188272,TRUE
"Education_level","Beta Diversity ( Unwunifrac )","9-11th Grade","College Graduate",2.91464134901723e-15,2.91464134901723e-15,TRUE
