"var_name","var_description"
"AGE_SQUARED","Age squared (RIDAGEYR²)"
"BORN_INUSA","Born in USA (DMDBORN4=1)"
"EDUCATION_9_11","Edu: 9–11th grade (DMDEDUC2=2)"
"EDUCATION_AA","Edu: AA/some college (DMDEDUC2=4)"
"EDUCATION_COLLEGEGRAD","Edu: college grad./above (DMDEDUC2=5)"
"EDUCATION_LESS9","Edu: <9th grade (DMDEDUC2=1)"
"ETHNICITY_MEXICAN","Mexican American (RIDRETH1=1)"
"ETHNICITY_NONHISPANICBLACK","Non-Hispanic Black (RIDRETH1=4)"
"ETHNICITY_OTHER","Other race/multi-racial (RIDRETH1=5)"
"ETHNICITY_OTHERHISPANIC","Other Hispanic (RIDRETH1=2)"
"INDFMPIR","Poverty income ratio (PIR) - a ratio of family income to poverty threshold"
"RIAGENDR","Gender of the sample person"
"RIDAGEYR","Best age in years of the sample person at time of HH screening.  Individual"
