"ANGINA","ASTHMA","BRONCHITIS","CANCER_BREAST","CANCER_COLON","CANCER_ESOPHAGEAL","CANCER_LUNG","CANCER_MOUTH","CANCER_PROSTATE","CHD","CVD","DIABETES","EMPHYSEMA","HEART_ATTACK","HEART_FAILURE","STROKE","var_name"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"ANGINA"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"ASTHMA"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"BRONCHITIS"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CANCER_BREAST"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CANCER_COLON"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CANCER_ESOPHAGEAL"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CANCER_LUNG"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CANCER_MOUTH"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CANCER_PROSTATE"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CHD"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"CVD"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"DIABETES"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"EMPHYSEMA"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"HEART_ATTACK"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"HEART_FAILURE"
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,"STROKE"
