"var_name","var_description"
"ANGINA","ANGINA (MCQ)"
"ASTHMA","ASTHMA (MCQ)"
"BRONCHITIS","BRONCHITIS (MCQ)"
"CANCER_BREAST","CANCER_BREAST (MCQ)"
"CANCER_COLON","CANCER_COLON (MCQ)"
"CANCER_ESOPHAGEAL","CANCER_ESOPHAGEAL (MCQ)"
"CANCER_LUNG","CANCER_LUNG (MCQ)"
"CANCER_MOUTH","CANCER_MOUTH (MCQ)"
"CANCER_PROSTATE","CANCER_PROSTATE (MCQ)"
"CHD","CHD (MCQ)"
"CVD","CVD (MCQ)"
"DIABETES","DIABETES (MCQ)"
"EMPHYSEMA","EMPHYSEMA (MCQ)"
"HEART_ATTACK","HEART_ATTACK (MCQ)"
"HEART_FAILURE","HEART_FAILURE (MCQ)"
"STROKE","STROKE (MCQ)"
