"var_name","var_description"
"BMXARMC","Arm Circumference (cm)"
"BMXARML","Upper Arm Length (cm)"
"BMXBMI","Body Mass Index (kg/m**2)"
"BMXHT","Standing Height (cm)"
"BMXLEG","Upper Leg Length (cm)"
"BMXSUB","Subscapular Skinfold (mm)"
"BMXTRI","Triceps Skinfold (mm)"
"BMXWAIST","Waist Circumference (cm)"
"BMXWT","Weight (kg)"
"BPXPLS","60 sec. pulse (30 sec. pulse * 2):"
"DXAFMRD0","Calculated DO for femur"
"DXAFMRK","Calculated K for femur"
"DXASPND0","Calculated D0 for spine"
"DXASPNK","Calculated K for spine"
"DXXINA","Intertrochanter area (cm^2)"
"DXXINBMC","Intertrochanter bone mineral content (gm)"
"DXXINBMD","Intertrochanter bone mineral density (gm/cm^2)"
"DXXL1A","L1 area"
"DXXL1BMC","L1 Bone Mineral Composition"
"DXXL1BMD","L1 Bone Mineral Density"
"DXXL2A","L2 area"
"DXXL2BMC","L2 Bone Mineral Composition"
"DXXL2BMD","L2 Bone Mineral Density"
"DXXL3A","L3 area"
"DXXL3BMC","L3 Bone Mineral Composition"
"DXXL4A","L4 area"
"DXXL4BMC","L4 Bone Mineral Composition"
"DXXL4BMD","L4 Bone Mineral Density"
"DXXNKA","Femoral neck area (cm^2)"
"DXXNKBMC","Femoral neck bone mineral content (gm)"
"DXXNKBMD","Femoral neck bone mineral density (gm/cm^2)"
"DXXOFA","Total femur area (cm^2)"
"DXXOFBMC","Total femur bone mineral content (gm)"
"DXXOFBMD","Total femur bone mineral density (gm/cm^2)"
"DXXOSA","Total spine area"
"DXXOSBMC","Total spine BMC"
"DXXOSBMD","Total spine BMD"
"DXXTRA","Trochanter area (cm^2)"
"DXXTRBMC","Trochanter bone mineral content (gm)"
"DXXTRBMD","Trochanter bone mineral density (gm/cm^2)"
"DXXWDA","Ward's triangle area (cm^2)"
"DXXWDBMC","Ward's triangle bone mineral content (gm)"
"DXXWDBMD","Ward's triangle bone mineral density (gm/cm^2)"
"ENXMEAN","Mean of two reproducible FENO measurements, in parts per billion"
"LBDBANO","Basophils number (1000 cells/uL)"
"LBDEONO","Eosinophils number (1000 cells/uL)"
"LBDFOT","Serum total folate (ng/mL)"
"LBDHDD","Direct HDL-Cholesterol (mg/dL)"
"LBDLDL","LDL-cholesterol (mg/dL)"
"LBDLYMNO","Lymphocyte number (1000 cells/uL)"
"LBDMONO","Monocyte number (1000 cells/uL)"
"LBDNENO","Segmented neutrophils num (1000 cell/uL)"
"LBDP3","Prostate specific antigen ratio (%)"
"LBDRFO","RBC folate (ng/mL)"
"LBXAPB","Apolipoprotein (B) (mg/dL)"
"LBXATG","Thyroglobulin antibodies (IU/mL)"
"LBXBAPCT","Basophils percent (%)"
"LBXCRP","C-reactive protein (mg/dL)"
"LBXEOPCT","Eosinophils percent (%)"
"LBXFER","Ferritin(ng/mL)"
"LBXFOLSI","Serum folate ( nmol/L)"
"LBXGH","Glycohemoglobin (%)"
"LBXGLT","Two hour oral glucose tolerance (OGTT) (mg/dL)"
"LBXGLU","Fasting Glucose (mg/dL)"
"LBXHCT","Hematocrit (%)"
"LBXHGB","Hemoglobin (g/dL)"
"LBXIN","Insulin (uU/mL )"
"LBXLYPCT","Lymphocyte percent (%)"
"LBXMC","Mean cell hemoglobin concentration (g/dL)"
"LBXMCHSI","Mean cell hemoglobin (pg)"
"LBXMCVSI","Mean cell volume (fL)"
"LBXMMASI","Methylmalonic Acid (nmol/L)"
"LBXMOPCT","Monocyte percent (%)"
"LBXMPSI","Mean platelet volume (fL)"
"LBXNEPCT","Segmented neutrophils percent (%)"
"LBXP1","Prostate specific antigen, total (ng/mL)"
"LBXP2","Prostate specific antigen (PSA), free (ng/mL)"
"LBXPLTSI","Platelet count SI (1000 cells/uL)"
"LBXPS4","Complexed prostate specific antigen (ng/mL)"
"LBXRBCSI","Red blood cell count (million cells/uL)"
"LBXRBFSI","RBC folate (nmol/L)"
"LBXRDW","Red cell distribution width (%)"
"LBXSAL","Albumin (g/dL)"
"LBXSAPSI","Alkaline phosphotase (U/L)"
"LBXSASSI","Aspartate aminotransferase AST (U/L)"
"LBXSATSI","Alanine aminotransferase ALT (U/L)"
"LBXSBU","Blood urea nitrogen (mg/dL)"
"LBXSC3SI","Bicarbonate (mmol/L)"
"LBXSCA","Total calcium (mg/dL)"
"LBXSCH","Cholesterol (mg/dL)"
"LBXSCK","Creatine Phosphokinase(CPK) (IU/L)"
"LBXSCLSI","Chloride (mmol/L)"
"LBXSCR","Creatinine (mg/dL)"
"LBXSF1SI","5-Methyl-tetrahydrofolate (nmol/L)"
"LBXSF2SI","Folic acid (nmol/L)"
"LBXSF3SI","5-Formyl-tetrahydrofolate (nmol/L)"
"LBXSF4SI","Tetrahydrofolate (nmol/L)"
"LBXSF5SI","5,10-Methenyl-tetrahydrofolate (nmol/L)"
"LBXSF6SI","Mefox oxidation product (nmol/L)"
"LBXSGB","Globulin (g/dL)"
"LBXSGL","Glucose, serum (mg/dL)"
"LBXSGTSI","Gamma glutamyl transferase (U/L)"
"LBXSIR","Iron, refigerated (ug/dL)"
"LBXSKSI","Potassium (mmol/L)"
