"dataset","transformation","host_variable","Variable.Description","otu","estimate","direction","rank_within_direction","Phylum","raw_genus_label","annotation_label_clean"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus135",0.00089755120999988,"positive",1,"Actinobacteria","Rothia","Rothia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus519",0.000100587985946848,"positive",2,"Firmicutes","Lactobacillus","Lactobacillus"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus746",9.59873222485193e-05,"positive",3,"Fusobacteria","Leptotrichia","Leptotrichia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus1063",8.69956665317642e-05,"positive",4,"Proteobacteria","Neisseria","Neisseria"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus631",2.73655756611764e-05,"positive",5,"Firmicutes","Stomatobaculum","Stomatobaculum"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus319",2.15560769136612e-05,"positive",6,"Bacteroidetes","Capnocytophaga","Capnocytophaga"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus45",1.44325813391958e-05,"positive",7,"Actinobacteria","Bifidobacterium","Bifidobacterium"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus580",1.09930861747793e-05,"positive",8,"Firmicutes","Mogibacterium","Mogibacterium"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus44",1.00106428630146e-05,"positive",9,"Actinobacteria","Alloscardovia","Alloscardovia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus49",2.98184255997804e-06,"positive",10,"Actinobacteria","Parascardovia","Parascardovia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus1090",1.12128574502969e-06,"positive",11,"Proteobacteria","Desulfobulbus","Desulfobulbus"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus233",8.38189284132928e-07,"positive",12,"Bacteroidetes","Phocaeicola","Phocaeicola"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus560",7.92381809776803e-07,"positive",13,"Firmicutes","Pseudoramibacter","Pseudoramibacter"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus204",1.19745742588219e-07,"positive",14,"Actinobacteria","Slackia","Slackia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus256",-0.000276186151480761,"negative",1,"Bacteroidetes","Alloprevotella","Alloprevotella"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus475",-0.000256093681956703,"negative",2,"Firmicutes","Gemella","Gemella"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus1233",-0.000216576493162042,"negative",3,"Proteobacteria","Haemophilus","Haemophilus"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus318",-0.000172911082546115,"negative",4,"Bacteroidetes","Bergeyella","Bergeyella"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus511",-0.000115374229393711,"negative",5,"Firmicutes","Granulicatella","Granulicatella"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus259",-8.76047356737549e-05,"negative",6,"Bacteroidetes","Prevotella","Prevotella"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus1228",-8.59547532571063e-05,"negative",7,"Proteobacteria","Actinobacillus","Actinobacillus"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus253",-6.4311989296566e-05,"negative",8,"Bacteroidetes","Porphyromonas","Porphyromonas"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus52",-2.70822911404939e-05,"negative",9,"Actinobacteria","Corynebacterium","Corynebacterium"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus750",-2.60252503110897e-05,"negative",10,"Fusobacteria","Streptobacillus","Streptobacillus"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus499",-2.51225754096715e-05,"negative",11,"Firmicutes","Abiotrophia","Abiotrophia"
"demoWAS","none","RIDAGEYR","Best age in years of the sample person at time of HH screening. Individual","RSV_genus650",-2.21824889626598e-05,"negative",12,"Firmicutes","Peptostreptococcus","Peptostreptococcus"
