"OTU","Genus","Phylum","p_value","p_adj_BH","White","Black","Mexican","Other","Other.Hispanic","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",1.17442783729334e-38,1.62600123814645e-38,-0.224402430199899,-0.240306818443556,-0.253467941123577,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",7.81715358649244e-39,1.19090531344522e-38,-0.223046792740273,-0.240306818443556,-0.252487287091022,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",5.05334248563133e-39,1.12956332195711e-38,-0.224688516430577,-0.240306818443556,-0.254111533559821,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",1.18650063445182e-39,1.12956332195711e-38,-0.217039410545803,-0.236975547809861,-0.253299410325422,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",4.7300458563117e-39,1.12956332195711e-38,-0.223420698966772,-0.237486140045632,-0.254111533559821,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",9.7896279363022e-41,2.36174773963291e-39,-0.204311137403469,-0.232361986283218,-0.249613663905059,-0.209864531908244,-0.240713524260608,FALSE
"RSV_genus19","Geothrix","Acidobacteria",8.32867583504455e-39,1.24414430043622e-38,-0.224688516430577,-0.240306818443556,-0.252893348708222,-0.223528096397009,-0.239618197950869,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",1.10024092983364e-39,1.12956332195711e-38,-0.219621774648468,-0.239846763046291,-0.254111533559821,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",4.18043872931595e-39,1.12956332195711e-38,-0.222909226515544,-0.234107571416668,-0.254111533559821,-0.225365240692441,-0.240713524260608,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",2.66000835943713e-39,1.12956332195711e-38,-0.223497303874616,-0.240306818443556,-0.254111533559821,-0.222708005048337,-0.240713524260608,FALSE
"RSV_genus31","Iamia","Actinobacteria",2.41716306947095e-40,4.66512472407893e-39,-0.21819164034918,-0.235629849225882,-0.250396172447506,-0.218878697039973,-0.240713524260608,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",5.87459263367019e-31,6.45669919304298e-31,6.79579312049755,6.97806774588546,6.71111954364515,6.55713063508572,6.93071576055495,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",7.0506786105681e-39,1.14854797758773e-38,-0.222417565046452,-0.2396328494685,-0.252706791162165,-0.225365240692441,-0.238236050033501,FALSE
