"OTU","Genus","Phylum","p_value","p_adj_BH","Female","Male","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",3.33785928442342e-12,5.41407995096274e-12,-0.22942609497779,-0.240712995969866,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",1.81315927704168e-12,5.41407995096274e-12,-0.227879779265654,-0.240935522258841,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",2.5549210509996e-12,5.41407995096274e-12,-0.229632839492745,-0.240935522258841,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",1.04293313915762e-12,5.41407995096274e-12,-0.223152873047657,-0.239987146478585,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",2.84950746305232e-12,5.41407995096274e-12,-0.228716632145103,-0.239571175486663,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",9.56549261982246e-13,5.41407995096274e-12,-0.215354218975761,-0.231338987428839,FALSE
"RSV_genus19","Geothrix","Acidobacteria",4.2580164863763e-12,5.89524520710635e-12,-0.22969163411209,-0.239788477397561,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",5.14741055550331e-12,6.68539863534413e-12,-0.229108631571743,-0.237603607761627,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",5.31437271323896e-12,6.84695549836528e-12,-0.228537132939361,-0.237748550641653,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.74615592768223e-12,5.41407995096274e-12,-0.228122481547062,-0.240935522258841,FALSE
"RSV_genus31","Iamia","Actinobacteria",2.48080895581642e-12,5.41407995096274e-12,-0.223218186201649,-0.237521569374627,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",5.98817451018732e-07,6.44212753883029e-07,6.75817288710153,6.86156117542385,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",1.63802535545956e-12,5.41407995096274e-12,-0.22699378655654,-0.240609527137829,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",7.64819266205528e-12,9.35425338261515e-12,-0.226936668035976,-0.234446686050977,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.359042395282032,0.363563390815489,0.101604502337844,0.202800875991489,FALSE
"RSV_genus40","Trueperella","Actinobacteria",2.62241150361977e-12,5.41407995096274e-12,-0.229467106769219,-0.240935522258841,FALSE
