"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",6.20184876828569e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.235455542556455,-0.228158292199548,-0.228598949993392,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",1.1213675060245e-09,1.40137306200162e-09,-0.241792281917187,-0.239097311636833,-0.236687214371431,-0.240234425432843,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",7.0465995905577e-10,1.18456701964472e-09,-0.241792281917187,-0.23746445608781,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",8.28209433191589e-10,1.18456701964472e-09,-0.239577754183768,-0.235568769500727,-0.233112178992757,-0.237302629994548,-0.22643826919837,-0.228158292199548,-0.227228650968211,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",6.49759068313887e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.237534735151497,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.227574656075696,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",4.19549069522897e-10,1.18456701964472e-09,-0.240037310210049,-0.22670910018129,-0.224751405775089,-0.23975401653698,-0.219495357067008,-0.228158292199548,-0.214924883921015,FALSE
"RSV_genus19","Geothrix","Acidobacteria",5.99493992819588e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.23907547938889,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.228386921281892,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",2.18209485614975e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.224347944014992,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",6.80163223155695e-10,1.18456701964472e-09,-0.240037310210049,-0.239097311636833,-0.238564617866941,-0.243519483160615,-0.229414189876381,-0.228158292199548,-0.22693021627024,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.0644548202691e-09,1.349801447516e-09,-0.241792281917187,-0.235354020906152,-0.241297104967608,-0.240791301770812,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus31","Iamia","Actinobacteria",7.08698387645614e-10,1.18456701964472e-09,-0.235148698716932,-0.23396573469138,-0.236785064235949,-0.241612566202755,-0.2338255539976,-0.228158292199548,-0.223895907311302,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.0508606653719403,0.0526615258411184,6.73654142938925,6.7409912133479,6.78640250419028,6.76633023197497,6.76902644142375,6.73378955044735,6.85496683480171,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",6.26621895278685e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.23842701726602,-0.240575280968923,-0.234000306276022,-0.228158292199548,-0.227923719745641,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",2.46179982317366e-09,2.87955979316677e-09,-0.235711351422346,-0.23306905037368,-0.227793037456341,-0.237789291327734,-0.23708553111531,-0.228158292199548,-0.226381980251291,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00450332245756939,0.00471846489853905,0.191297730027894,0.158932816862176,0.112044083144218,0.162874665584262,0.188408415155848,0.0835734969255888,0.150090522485495,FALSE
"RSV_genus40","Trueperella","Actinobacteria",5.94269969430086e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.228646333864812,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",8.40532003373486e-10,1.18456701964472e-09,-0.233037267662647,-0.225366949144905,-0.220150213078849,-0.237448435791654,-0.226824813832474,-0.228158292199548,-0.213085164443386,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",6.4323920653365e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.000813006671056155,0.000857433265102939,-0.161746137700336,-0.0511929759455197,-0.129480364539112,-0.0840801251951614,-0.141768177204172,-0.174325326928119,-0.196867200948532,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",2.27487642810571e-05,2.44733082845263e-05,0.702973651057147,0.686436506817369,0.831174869010964,0.800853281710195,0.765734284854264,0.778424390686707,0.87578660181077,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.16723095981094e-05,1.26275546661161e-05,1.66557909135627,1.7712747399862,1.78413098506405,1.84441646901773,1.72953742425161,1.54652436298493,1.47520402147655,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",8.58173530393844e-05,9.16081257555376e-05,-0.0912520184993605,-0.0180359905899978,-0.0156366784482118,-0.0594883078205968,-0.074640531520819,-0.0604397945413718,-0.0723727990895688,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",3.73381912840948e-08,4.17997153006397e-08,-0.191653339858854,-0.117375584402268,-0.119129388746442,-0.167440471204675,-0.146633764794173,-0.106700174351572,-0.167716787991123,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.139302713548302,0.14255261778803,0.365391760193024,0.550898806408664,0.580981898991862,0.618838134202727,0.518049376415466,0.534781988766464,0.341736360028225,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",6.20090895084225e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.228905746447733,FALSE
"RSV_genus51","Scardovia","Actinobacteria",3.45152519966561e-08,3.87293234613641e-08,2.27721715307001,2.42259778948665,2.47287645100928,2.42216746615147,2.29163644074994,2.12325289362412,2.12736768101434,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.248188657327302,0.252373081476129,4.7461358326192,4.7450289393372,4.74395075128013,4.75600254195579,4.71061022407886,4.56203527421445,4.82056947731735,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",8.3619954269062e-06,9.05648214025195e-06,-0.0571195825515099,-0.0971199845050597,-0.0475568756410139,-0.0188415467889225,-0.0674969419015848,-0.0600117369978259,-0.0758183086216945,FALSE
"RSV_genus55","Turicella","Actinobacteria",4.23397387921158e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.234687094853465,-0.241213902415289,-0.23708553111531,-0.228158292199548,-0.225685821089511,FALSE
"RSV_genus56","Dietzia","Actinobacteria",9.06278441549303e-10,1.21670126424682e-09,-0.241792281917187,-0.236170448680663,-0.237144214171321,-0.2394131610009,-0.234697641037514,-0.228158292199548,-0.226989778275854,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",1.05599341898709e-10,1.18456701964472e-09,-0.167586078338279,-0.119263306852371,-0.131807393680753,-0.0952972409709841,-0.143863713701296,-0.0891047980441418,-0.0973301502169545,FALSE
"RSV_genus59","Gordonia","Actinobacteria",5.81373480953039e-10,1.18456701964472e-09,-0.241792281917187,-0.22663141117329,-0.23928717277791,-0.243519483160615,-0.234000306276022,-0.228158292199548,-0.226824791681849,FALSE
"RSV_genus61","Nocardia","Actinobacteria",5.12752493453419e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23054737199474,-0.228158292199548,-0.226721368097016,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",5.76718279040987e-10,1.18456701964472e-09,-0.240037310210049,-0.216210535825917,-0.233553188671099,-0.226031838508028,-0.229483210671091,-0.215369036633636,-0.217050200487459,FALSE
"RSV_genus63","Williamsia","Actinobacteria",7.30589304164336e-10,1.18456701964472e-09,-0.241792281917187,-0.235511301698407,-0.238377953114018,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.226897135059763,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",7.82021306728442e-10,1.18456701964472e-09,-0.238282338502912,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",5.2969761348067e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.228837816796622,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",5.03728461655019e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.22778329303779,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",6.35791405583131e-10,1.18456701964472e-09,-0.241792281917187,-0.234587722241675,-0.241297104967608,-0.243519483160615,-0.233669232757752,-0.228158292199548,-0.228705676114701,FALSE
"RSV_genus68","Frankia","Actinobacteria",8.28938115851563e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.237986344727914,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",4.97627085619198e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.238345072797103,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.224701755739257,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",6.0772540388819e-10,1.18456701964472e-09,-0.23736322645035,-0.235456507804844,-0.23923372302859,-0.240480443637557,-0.225238136558635,-0.228158292199548,-0.225651633689872,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",7.53988930532925e-10,1.18456701964472e-09,-0.237961778286519,-0.237803304229685,-0.240265413998099,-0.239970037338869,-0.232089543236991,-0.228158292199548,-0.224471451829603,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",5.50097209693807e-10,1.18456701964472e-09,-0.241792281917187,-0.235354020906152,-0.241297104967608,-0.243519483160615,-0.219935427949962,-0.228158292199548,-0.226810675050821,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",4.13269692864296e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.222024246353885,-0.228175866293457,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",7.67328573805417e-10,1.18456701964472e-09,-0.241792281917187,-0.235692869048027,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",6.4323920653365e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.241297104967608,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",5.63872507088752e-10,1.18456701964472e-09,-0.238683799250964,-0.236385197275238,-0.238196924258024,-0.241213902415289,-0.229456950170944,-0.221036885507362,-0.225164179259948,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",8.28938115851563e-10,1.18456701964472e-09,-0.241792281917187,-0.239097311636833,-0.238283976527998,-0.243519483160615,-0.23708553111531,-0.228158292199548,-0.229165159030653,FALSE
