"OTU","Genus","Phylum","p_value","p_adj_BH","English","Spanish","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",3.00408121909643e-18,5.57650022856119e-18,-0.232343752232455,-0.252738065493785,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",6.03324177743333e-18,8.26999760685109e-18,-0.231909260020722,-0.250647123772639,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",3.36320732588288e-18,5.57650022856119e-18,-0.232591895835506,-0.252738065493785,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",1.83974534418848e-18,5.57650022856119e-18,-0.228475913629271,-0.251692594633212,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",2.76371111547925e-18,5.57650022856119e-18,-0.231272659879925,-0.252738065493785,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",1.22269542970357e-18,5.57650022856119e-18,-0.219260265822052,-0.249818607717836,FALSE
"RSV_genus19","Geothrix","Acidobacteria",5.52332817707047e-18,7.80382385193705e-18,-0.232204332704508,-0.251169859202925,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",2.08022179176733e-18,5.57650022856119e-18,-0.230355934966478,-0.252738065493785,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",1.92934893338941e-18,5.57650022856119e-18,-0.230111254838355,-0.252738065493785,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",2.78819907886122e-18,5.57650022856119e-18,-0.231722871678847,-0.252738065493785,FALSE
"RSV_genus31","Iamia","Actinobacteria",1.42304789460993e-18,5.57650022856119e-18,-0.227664865905593,-0.247955168496257,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",6.65626123806302e-05,6.96669424591195e-05,6.82524590661248,6.71295344632184,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",6.51749807055485e-18,8.62735104402042e-18,-0.231458367847888,-0.249055711102694,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",3.73376733995231e-18,5.8491647452175e-18,-0.227661049830074,-0.250252517329377,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",3.52509169523778e-05,3.6975146585918e-05,0.14699266382071,0.187294978565405,FALSE
"RSV_genus40","Trueperella","Actinobacteria",3.39915799840949e-18,5.57650022856119e-18,-0.23249653715533,-0.252738065493785,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",2.58358910375338e-19,5.57650022856119e-18,-0.21669516846524,-0.249818607717836,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",3.18491599263556e-18,5.57650022856119e-18,-0.232591895835506,-0.252738065493785,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",2.68636304872043e-23,1.52490608353836e-21,-0.144818868737153,-0.235464914349361,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",2.78396021760393e-06,2.94574737937258e-06,0.824527005880718,0.746891288521281,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.09847509829365e-10,1.1857141720955e-10,1.66132051921161,1.35431065855679,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",3.10526353160025e-15,3.42858044392934e-15,-0.0525825942074386,-0.0879944323106839,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",8.48282536985414e-21,3.72087567359511e-19,-0.143922862500522,-0.227299537005254,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",5.80073472097286e-12,6.28250168994254e-12,0.461270957132037,0.364714183178678,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",3.46235226616982e-18,5.57650022856119e-18,-0.232625724865662,-0.252738065493785,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.187431211081055,0.189990670896237,2.2722997380116,2.19184034948533,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0994427606370182,0.101440025385542,4.76134113773104,4.88786603054858,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",1.31106135485696e-16,1.48146862697537e-16,-0.0661844351129845,-0.0950082793880738,FALSE
"RSV_genus55","Turicella","Actinobacteria",2.13738753117573e-18,5.57650022856119e-18,-0.229045317209173,-0.251270561610636,FALSE
"RSV_genus56","Dietzia","Actinobacteria",1.55738172710393e-18,5.57650022856119e-18,-0.229329575865554,-0.252738065493785,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",6.15572007000807e-16,6.8753123467104e-16,-0.114423987541163,-0.129728857471752,FALSE
"RSV_genus59","Gordonia","Actinobacteria",2.40290171851977e-18,5.57650022856119e-18,-0.230100344518914,-0.250373439388257,FALSE
"RSV_genus61","Nocardia","Actinobacteria",2.75104119297925e-18,5.57650022856119e-18,-0.231019708689445,-0.252738065493785,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",1.7992381395536e-18,5.57650022856119e-18,-0.220726678132518,-0.245030858041417,FALSE
"RSV_genus63","Williamsia","Actinobacteria",2.37978541551436e-18,5.57650022856119e-18,-0.23073192564678,-0.252738065493785,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",3.28699884673616e-18,5.57650022856119e-18,-0.23249653715533,-0.252738065493785,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",3.20807896138962e-18,5.57650022856119e-18,-0.232591895835506,-0.252738065493785,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",2.99664450386413e-18,5.57650022856119e-18,-0.231726858220671,-0.252738065493785,FALSE
