"OTU","Genus","Phylum","p_value","p_adj_BH","Married","Divorced","Living.with.Partner","Never.Married","Separated","Widowed","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",4.42609244084729e-14,7.43594259703598e-14,-0.233560217456903,-0.232831604604082,-0.255759328525257,-0.237153485514238,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",3.86291332601537e-14,7.31233080044867e-14,-0.232869831818895,-0.232831604604082,-0.255759328525257,-0.235187055621438,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",3.56893419934396e-14,7.31233080044867e-14,-0.233560217456903,-0.231275718676899,-0.255759328525257,-0.23901431976728,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",5.5041303777053e-14,8.42254600119594e-14,-0.232739540946444,-0.221369417398592,-0.252130285695101,-0.227575433649278,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",4.64253703840228e-14,7.59330210518339e-14,-0.233560217456903,-0.232831604604082,-0.255759328525257,-0.232305923318437,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",1.56681072123801e-13,1.91631476044953e-13,-0.226133162251942,-0.219835155479219,-0.2360416134081,-0.21195296788849,-0.231263187739487,-0.198457661628397,FALSE
"RSV_genus19","Geothrix","Acidobacteria",7.70771875028715e-14,1.06560868109271e-13,-0.233560217456903,-0.231275718676899,-0.25303754640264,-0.237844961290784,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",5.41514643305288e-14,8.36098609263364e-14,-0.229318780763343,-0.232831604604082,-0.251351873250406,-0.23901431976728,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",1.44545689853577e-13,1.78599988103331e-13,-0.231653994686777,-0.232831604604082,-0.248962264584302,-0.236156077070033,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.84676600653377e-14,7.31233080044867e-14,-0.232739540946444,-0.232831604604082,-0.255759328525257,-0.237788888637427,-0.248491644174372,-0.204531757147091,FALSE
"RSV_genus31","Iamia","Actinobacteria",3.84281389401138e-14,7.31233080044867e-14,-0.230590691130334,-0.230497775713308,-0.248506365769814,-0.22713371876615,-0.248491644174372,-0.200214339578074,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.409321456479227,0.41017155296205,6.79115017720779,6.89311449478867,6.81483762388367,6.80894203856384,6.84490578550622,6.68709602113196,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",3.47811294575824e-14,7.31233080044867e-14,-0.231733290934566,-0.227708879361132,-0.255759328525257,-0.236881625150339,-0.248491644174372,-0.216172979968878,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",1.08290567902468e-13,1.38228039716775e-13,-0.233560217456903,-0.232831604604082,-0.250336377312703,-0.232276518853066,-0.248491644174372,-0.216172979968878,FALSE
