"OTU","Genus","Phylum","p_value","p_adj_BH","US.Born","non.US.Born","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",3.94559135550845e-14,8.0113734350321e-14,-0.231452433096774,-0.24442402058041,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",6.01256249016647e-14,8.75131644496326e-14,-0.230928924770255,-0.24342200080367,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",4.59958246009776e-14,8.0113734350321e-14,-0.231751414848027,-0.24442402058041,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",1.4712116681792e-14,8.0113734350321e-14,-0.226792175306823,-0.24392301069204,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",3.53051745344938e-14,8.0113734350321e-14,-0.230161901874628,-0.24442402058041,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",1.29876514187188e-13,1.5136574419159e-13,-0.218758284968005,-0.235194576434359,FALSE
"RSV_genus19","Geothrix","Acidobacteria",9.52261084138048e-14,1.16467927274172e-13,-0.231595759947394,-0.242878423862298,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",4.28296566152436e-14,8.0113734350321e-14,-0.229534453187469,-0.243207072322374,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",3.82226812938682e-14,8.0113734350321e-14,-0.229342655075069,-0.24294431528145,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",6.45481421937066e-14,9.07775011964343e-14,-0.231154627146429,-0.243275464805077,FALSE
"RSV_genus31","Iamia","Actinobacteria",2.14749152225247e-14,8.0113734350321e-14,-0.226947622337747,-0.239242807568073,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",4.04466264612557e-17,8.48499881198081e-16,6.86136728143544,6.68057795766468,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",5.17091098979605e-14,8.19364385082625e-14,-0.230385656558611,-0.242659365024723,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",8.09448430458388e-14,1.01312287340122e-13,-0.227139187884547,-0.239843372445986,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",1.01464286492624e-06,1.06900547894478e-06,0.153436570506789,0.150521447834715,FALSE
"RSV_genus40","Trueperella","Actinobacteria",4.68233715810974e-14,8.0113734350321e-14,-0.231636519662958,-0.24442402058041,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",3.65465401119291e-15,4.99304081956748e-14,-0.215250425230571,-0.236258864871107,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",4.27542867548581e-14,8.0113734350321e-14,-0.231751414848027,-0.24442402058041,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.55383840197312e-21,5.99781623161626e-20,-0.128842879039821,-0.228884600584899,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",1.3455797332093e-18,3.32944728858199e-17,0.884107978652514,0.636469590821917,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",2.43647113776302e-27,1.30621924885629e-25,1.7471150027177,1.29726165557089,TRUE
