"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.65047376323336,0.912369000572833,-0.235290347326319,-0.246685108785642,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.743558460313272,0.912369000572833,-0.233138045972926,-0.21688066217267,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.65047376323336,0.912369000572833,-0.236804817448774,-0.246685108785642,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.896953056111148,0.939346754198367,-0.229577932613374,-0.199999113049521,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.837984630618295,0.914347717911412,-0.239752652554305,-0.239397025110985,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.997419799505453,0.998454467347263,-0.236263208622213,-0.213920066197204,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.0860677212722512,0.912369000572833,6.75552470290326,6.87153041550392,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.61225337002086,0.912369000572833,-0.237505621046833,-0.243919893969578,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.708950334209425,0.912369000572833,-0.237329045239471,-0.244097462310834,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.250311945770166,0.912369000572833,0.0755656415093447,0.136652729010747,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.74211551073198,0.912369000572833,-0.224884127842669,-0.223266297863969,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.940119429739797,0.960016137247518,-0.16979952813134,-0.124287401335676,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.790590958953737,0.912369000572833,0.738698782900619,0.774803994746227,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0334776322832882,0.912369000572833,1.47704758760061,1.71271453577867,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.131293221713576,0.912369000572833,-0.065841717568779,0.0887750197748658,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.778123442233731,0.912369000572833,-0.152828210656521,-0.0414136958632894,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.280786469602608,0.912369000572833,0.446947300239342,0.568022442633888,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.706821063329701,0.912369000572833,-0.243527952515364,-0.246685108785642,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.15131295731451,0.912369000572833,2.48410226476194,2.60264057947542,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.222829253512246,0.912369000572833,4.92703943381285,4.7924929749732,FALSE
