"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.0292942145836452,0.035507402696907,-0.247119284571271,-0.288279809991923,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.0292942145836452,0.035507402696907,-0.245816843989534,-0.288279809991923,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.0295005522624753,0.035507402696907,-0.247057787762282,-0.288279809991923,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.027818670054657,0.035507402696907,-0.239513966737426,-0.288279809991923,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.0292942145836452,0.035507402696907,-0.246099471697294,-0.288279809991923,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.0833108134929801,0.0968613674948504,-0.226944046689105,-0.203675020902561,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.0291915122196193,0.035507402696907,-0.246649591416646,-0.288279809991923,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.142280386271734,0.156378784455835,-0.244454463274696,0.00894885423751473,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.0287725402072852,0.035507402696907,-0.243931212148137,-0.288279809991923,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.0291004814957452,0.035507402696907,-0.245478014049536,-0.288279809991923,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.139372281289367,0.154413606709804,-0.239115244036517,-0.203675020902562,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.329191019196245,0.341579928520835,6.88714332388744,7.21465551091388,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.0290891198513691,0.035507402696907,-0.245254549369299,-0.288279809991923,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.0288965552207749,0.035507402696907,-0.241779989826451,-0.288279809991923,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.095493394755869,0.109323905116534,0.13219644846723,-0.00803112219254999,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.0255220024856385,0.035507402696907,-0.226344370681133,-0.288279809991923,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0855288551836239,0.0993205117354959,-0.164843159075183,-0.0831276851530058,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0192447768094232,0.035507402696907,0.873010056343192,0.544025132891083,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.597798524486386,0.608518540220846,1.69722412166167,1.75570057803016,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.114581100621317,0.130083249528907,-0.0156767304243975,0.0911817629785582,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.0294201617574904,0.035507402696907,-0.157793285010727,-0.0988576870923754,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.0214253384908432,0.035507402696907,0.505589212287466,0.187116123488528,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.00936544689021101,0.035507402696907,2.45598753562187,1.48062066776881,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.847640148885331,0.854725959952293,4.89037448561643,4.80794328700421,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0111817527297446,0.035507402696907,-0.0508655733310525,-0.0557968738737721,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.0286153659306398,0.035507402696907,-0.244635000502968,-0.288279809991923,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.14144478473924,0.155993391169562,-0.243501462545448,-0.0627412966944988,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.162052935475917,0.17472746674219,-0.033343209432456,0.0249117344029942,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.029454591726023,0.035507402696907,-0.246861915438239,-0.288279809991923,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.029066408015534,0.035507402696907,-0.244199754523698,-0.288279809991923,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.0247905053338214,0.035507402696907,-0.230550901585825,-0.288279809991923,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.0290210301271554,0.035507402696907,-0.244821661167529,-0.288279809991923,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.0294431112207048,0.035507402696907,-0.246884437993959,-0.288279809991923,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.0292599459726335,0.035507402696907,-0.245485261067851,-0.288279809991923,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.0290323688788717,0.035507402696907,-0.246043479910986,-0.288279809991923,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.0292942145836452,0.035507402696907,-0.246250072582119,-0.288279809991923,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.0290210301271554,0.035507402696907,-0.242711992701422,-0.288279809991923,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.090049643056515,0.103944863097532,-0.242029927436932,-0.148328687171566,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.13982621443413,0.154738872624925,-0.241452217092234,-0.173538186965173,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.0285594117421566,0.035507402696907,-0.242776827567486,-0.288279809991923,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",0.0295465744721413,0.035507402696907,-0.247354131148584,-0.288279809991923,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",0.0273520462754305,0.035507402696907,-0.240788005718451,-0.288279809991923,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",0.0292942145836452,0.035507402696907,-0.246349325597966,-0.288279809991923,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",0.0292713650084144,0.035507402696907,-0.245993928475745,-0.288279809991923,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.0291915122196193,0.035507402696907,-0.245219303198369,-0.288279809991923,FALSE
