"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.462648730842226,0.5813003169247,-0.247416155864566,-0.245987218090601,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.462455192985074,0.5813003169247,-0.246093068559165,-0.245987218090601,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.460281007148137,0.5813003169247,-0.247353684187595,-0.245987218090601,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.321007951216893,0.5813003169247,-0.241209045364782,-0.166510707008519,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.462455192985074,0.5813003169247,-0.246380176575865,-0.245987218090601,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.19699617636806,0.5813003169247,-0.229102802644985,-0.109706747799025,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.465071762149438,0.5813003169247,-0.246939016976979,-0.245987218090601,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.476750783307733,0.5813003169247,-0.243224561227723,-0.245987218090601,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.471942568727819,0.5813003169247,-0.244177545051228,-0.245987218090601,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.466577578035861,0.5813003169247,-0.245748867373647,-0.245987218090601,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.491685201416907,0.5813003169247,-0.238862667966491,-0.245987218090601,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.62485130094884,0.651871897746628,6.89285283821641,6.78996996054541,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.46798869054606,0.5813003169247,-0.245521860256568,-0.245987218090601,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.473362617372485,0.5813003169247,-0.241992220833888,-0.245987218090601,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.60536132080936,0.635662322721472,0.134893906086306,-0.0147726307073065,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.458449490086997,0.5813003169247,-0.247654725308359,-0.245987218090601,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.550238362453621,0.596606763783983,-0.226311911091912,-0.245987218090601,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.458449490086997,0.5813003169247,-0.247654725308359,-0.245987218090601,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0529687229788169,0.5813003169247,-0.1715908898832,0.150710545317893,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.141138108875114,0.5813003169247,0.867884850933164,1.12056462762226,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",8.06599305770047e-05,0.0059874486928315,1.68049121096384,2.62126663526153,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.13647690350637,0.5813003169247,-0.017614780431092,0.131064493344053,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.0878691751598746,0.5813003169247,-0.161972308660447,0.0807720818633617,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.0002504311869201,0.0151041309611185,0.489739721327991,1.23255208731018,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.458449490086997,0.5813003169247,-0.247654725308359,-0.245987218090601,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.878888126713815,0.884386905400241,2.45345675417444,2.37838361136322,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0028355119427767,0.118968218468674,4.90325144660057,4.27124525769504,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.826327219392847,0.837611099489598,-0.0530115200515689,-0.0374500244135706,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.475030490863467,0.5813003169247,-0.244892490094419,-0.245987218090601,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.369889528294404,0.5813003169247,-0.24336711757144,-0.206603855558786,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.570510028618168,0.607834859997997,-0.032275021001932,-0.0582263206129578,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.461149994548444,0.5813003169247,-0.247154706829967,-0.245987218090601,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.467745226752367,0.5813003169247,-0.244450344450331,-0.245987218090601,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.56458991752238,0.6048471943608,-0.23058512533125,-0.245987218090601,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.467696542416959,0.5813003169247,-0.245082109766258,-0.245987218090601,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.461198298493173,0.5813003169247,-0.247177586420772,-0.245987218090601,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.458449490086997,0.5813003169247,-0.247654725308359,-0.245987218090601,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.464053230537552,0.5813003169247,-0.24575622927412,-0.245987218090601,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.466869338475066,0.5813003169247,-0.246323297189036,-0.245987218090601,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.462455192985074,0.5813003169247,-0.24653316483628,-0.245987218090601,FALSE
