"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.633857882098736,0.801374493584401,-0.247187393613614,-0.249499244080858,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.634022104920316,0.801374493584401,-0.245812039879671,-0.249499244080858,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.639253754547415,0.801374493584401,-0.247122454093873,-0.249499244080858,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.57652634320622,0.801374493584401,-0.239156315323157,-0.249499244080858,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.634022104920316,0.801374493584401,-0.246110489635179,-0.249499244080858,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.798550936694614,0.838208159285948,-0.227259609261238,-0.219810726439517,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.629365215438487,0.801374493584401,-0.246691406124373,-0.249499244080858,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.762671142805882,0.831307932478757,-0.243992179431708,-0.230504799516971,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.664170439760724,0.801374493584401,-0.24438177371618,-0.240329846849168,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.625637210318063,0.801374493584401,-0.245454241581858,-0.249499244080858,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.57599137012739,0.801374493584401,-0.238296013981416,-0.249499244080858,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.849034116501652,0.879096483287655,6.8915947526626,6.84217266273498,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.623874640782284,0.801374493584401,-0.245218266915007,-0.249499244080858,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.614316371415188,0.801374493584401,-0.241549194783757,-0.249499244080858,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.284092613299827,0.801374493584401,0.130052160884313,0.155347591888435,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.642685469652859,0.801374493584401,-0.247435387358234,-0.249499244080858,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.512221953560018,0.801374493584401,-0.226166038271058,-0.234516059540097,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.642685469652859,0.801374493584401,-0.247435387358234,-0.249499244080858,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.531367597534306,0.801374493584401,-0.162917468948765,-0.189386891030251,FALSE
