"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoker","Former.smoker","Current.smoker","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.000736243470414153,0.00114187772431908,-0.250117798421627,-0.25310959962678,-0.240130046621945,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.000736627096836659,0.00114187772431908,-0.247409879736575,-0.25310959962678,-0.240130046621945,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.00072525953353517,0.00114187772431908,-0.24998993972276,-0.25310959962678,-0.240130046621945,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.00158171450272786,0.00179360105185944,-0.241437772959595,-0.237544498232838,-0.240130046621945,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.000503779374561238,0.00114187772431908,-0.247997494144087,-0.25310959962678,-0.231975349268141,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.00114529392960814,0.00136614170837065,-0.232904025489288,-0.206898868629909,-0.216155045082099,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.000821759322945602,0.00116044471638801,-0.250606070549924,-0.25097844096787,-0.238451724150856,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.000313054020090743,0.00114187772431908,-0.245811624773987,-0.25310959962678,-0.228491544690386,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.000193344786039436,0.00114187772431908,-0.250606070549924,-0.25310959962678,-0.219403202511563,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.000923673314664633,0.00117909422490904,-0.248117883012592,-0.250027103186094,-0.240130046621945,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.000643827956204245,0.00114187772431908,-0.241178106487428,-0.241527172949475,-0.224304041927955,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",5.73412732149245e-07,1.04404393683778e-05,6.85589697766579,6.96660605895677,6.87897053239039,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.000763641866690127,0.00114187772431908,-0.248786361855603,-0.248403459700573,-0.234604201353825,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.000906157453616248,0.00117183185615074,-0.250606070549924,-0.248662492469971,-0.240130046621945,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0548612291416119,0.0560816590271775,0.133154231630036,0.116730200673063,0.103592521806312,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.000712724377188752,0.00114187772431908,-0.250606070549924,-0.25310959962678,-0.240130046621945,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.000986634460442574,0.00122478624252244,-0.22975597454309,-0.228359063846102,-0.218997241388075,FALSE
