"OTU","Genus","Phylum","p_value","p_adj_BH","control","Denture","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.0199127872190956,0.0277190580245246,-0.224559183297077,-0.211244755905151,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.0223713829148963,0.0277829932696714,-0.218804242118265,-0.211244755905151,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.143886955762727,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.00294875504492525,0.0277190580245246,-0.215042970310909,-0.0811980850252968,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.020046939208249,0.0277190580245246,-0.224724708079846,-0.211244755905151,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.0203490469786979,0.0277190580245246,-0.221423415221038,-0.211244755905151,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.00513796455757638,0.0277190580245246,-0.2229041858771,-0.132689309125994,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.00890880295299703,0.0277190580245246,-0.218631142682395,-0.135934592584371,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.125140035497356,0.130410512154372,6.88545025494946,6.58065191605717,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.021719323784099,0.0277190580245246,-0.219938881746866,-0.211244755905151,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.0215644310415709,0.0277190580245246,-0.21609226756904,-0.211244755905151,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.921665783953882,0.922621868792008,0.153627872797362,-0.0905353561897638,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.0134449516598334,0.0277190580245246,-0.199704345498153,-0.190450340488352,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",5.4454523986138e-05,0.00169511663376204,-0.199686808220927,0.145283994588852,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00834415886371244,0.0277190580245246,0.76190525382509,0.98242013847235,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.33410462624131e-12,4.29136988107623e-10,1.25786383942163,2.82453433739725,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.00331414921538199,0.0277190580245246,-0.0204757581975227,0.215503176033859,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.00432436239536845,0.0277190580245246,-0.170556460086963,0.0686507183292858,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.95259509542464e-12,4.57021935567492e-10,0.177768914690592,1.27752617899594,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.165717451288816,0.171769431249954,2.15488332549785,1.91910822457001,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",8.62476265551312e-11,1.38714932709503e-08,4.79554001891403,3.34193708980362,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",4.62121451178302e-05,0.00148649066795687,-0.0385287414650712,0.486972217902305,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.0203490469786979,0.0277190580245246,-0.224160364435996,-0.211244755905151,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.0235594492347205,0.0285255564761673,-0.216867752525723,-0.211244755905151,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.00266936353144216,0.0277190580245246,-0.0197183690973345,0.214050863987074,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.177922710803399,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.0201818793278801,0.0277190580245246,-0.221707729293855,-0.211244755905151,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.0188282688890135,0.0277190580245246,-0.213683057397667,-0.180799531527916,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.15767889315843,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.0131348306758994,0.0277190580245246,-0.225356821019241,-0.182341038326189,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.191785654414598,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.0121685098509164,0.0277190580245246,-0.221516451979071,-0.185595262330535,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.0206657440962641,0.0277190580245246,-0.223206263126097,-0.211244755905151,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",0.00745522453491187,0.0277190580245246,-0.225356821019241,-0.169348208484886,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",0.0233222711323922,0.0284525810907186,-0.218705168476987,-0.211244755905151,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",0.0210730565547462,0.0277190580245246,-0.222513528486094,-0.211244755905151,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",0.0202966778028048,0.0277190580245246,-0.218827529130672,-0.211244755905151,FALSE
"RSV_genus87","Georgenia","Actinobacteria",0.0193337918852584,0.0277190580245246,-0.225356821019241,-0.211244755905151,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",0.0120621868265666,0.0277190580245246,-0.209054842928297,-0.148900648647967,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",0.0200365918914587,0.0277190580245246,-0.222098500835043,-0.211244755905151,FALSE
