"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",1.28125490599324e-61,2.87268876007016e-61,-0.224559183297077,-0.273878869653688,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",1.66229366627369e-62,2.4304748302335e-61,-0.218804242118265,-0.273878869653688,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",6.11756076414521e-61,8.39750517411113e-61,-0.225356821019241,-0.267864780355258,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",4.86228738135329e-60,6.06215416409034e-60,-0.215042970310909,-0.250043775973011,FALSE
"RSV_genus19","Geothrix","Acidobacteria",1.17784764327734e-61,2.87268876007016e-61,-0.224724708079846,-0.273878869653688,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",2.58612580924742e-61,4.26928829517441e-61,-0.221423415221038,-0.269282892442248,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",1.12621988197829e-60,1.49697270813918e-60,-0.2229041858771,-0.264467153561576,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus31","Iamia","Actinobacteria",2.90937697405328e-61,4.74248104723212e-61,-0.218631142682395,-0.265298103694976,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.208372806817633,0.209458081853141,6.88545025494946,6.89738877809782,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",5.84640479668494e-62,2.87268876007016e-61,-0.219938881746866,-0.271660203002092,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",4.85111205421635e-62,2.87268876007016e-61,-0.21609226756904,-0.273878869653688,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",4.69673150161745e-40,5.15625244489288e-40,0.153627872797362,0.0577945560914685,FALSE
"RSV_genus40","Trueperella","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",7.05241033812052e-63,1.44799488857155e-61,-0.199704345498153,-0.269441536350495,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",8.92939469819358e-44,9.87040765607881e-44,-0.199686808220927,-0.143543153364942,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.838451308249287,0.838451308249287,0.76190525382509,1.17938957559571,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",5.9638568989978e-25,6.37333544577284e-25,1.25786383942163,2.24351610815162,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",6.5266323475416e-39,7.13272957573912e-39,-0.0204757581975227,-0.00941817215899074,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",1.67394537419557e-52,1.89595925598441e-52,-0.170556460086963,-0.142157173118869,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.203478159368265,0.204751223973281,0.177768914690592,0.900754718113913,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.138078206692776,0.139087128871116,2.15488332549785,2.41668875825282,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.310256382803411,0.311547772534123,4.79554001891403,4.99379184863984,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",2.16418409037738e-51,2.44261713124465e-51,-0.0385287414650712,-0.0990555049905602,FALSE
"RSV_genus55","Turicella","Actinobacteria",6.7672324791868e-62,2.87268876007016e-61,-0.224160364435996,-0.273878869653688,FALSE
"RSV_genus56","Dietzia","Actinobacteria",9.76123103370046e-63,1.71265235409472e-61,-0.216867752525723,-0.273878869653688,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",5.44416544684231e-45,6.03171028266685e-45,-0.0197183690973345,-0.0815789769571223,FALSE
"RSV_genus59","Gordonia","Actinobacteria",6.11756076414521e-61,8.39750517411113e-61,-0.225356821019241,-0.270903687055317,FALSE
