"OTU","Genus","Phylum","p_value","p_adj_BH","control","Poor.oral.hygiene","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",1.76987737806722e-49,4.15724567871936e-49,-0.224559183297077,-0.262954846400456,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",5.04383361417e-50,4.15724567871936e-49,-0.218804242118265,-0.262297781634506,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",5.62175154787451e-49,8.0812076173136e-49,-0.225356821019241,-0.258926269836914,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",8.93587976207274e-47,1.06065485490777e-46,-0.215042970310909,-0.235626926804465,FALSE
"RSV_genus19","Geothrix","Acidobacteria",1.60679184034384e-49,4.15724567871936e-49,-0.224724708079846,-0.262954846400456,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",2.3684081141861e-49,4.24028539923857e-49,-0.221423415221038,-0.260940913487785,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",1.56099602027484e-48,2.03562318860164e-48,-0.2229041858771,-0.254201576911588,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",5.88796879767936e-49,8.36802634721736e-49,-0.225356821019241,-0.259082902204073,FALSE
"RSV_genus31","Iamia","Actinobacteria",3.794254192067e-49,6.20585643278756e-49,-0.218631142682395,-0.25460127779971,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.0288183536956099,0.0290592594736296,6.88545025494946,6.85225386518936,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",6.7117072098947e-50,4.15724567871936e-49,-0.219938881746866,-0.261468658212784,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",2.5093425236452e-49,4.44314777122499e-49,-0.21609226756904,-0.258153333805102,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",1.35152390546912e-32,1.48883626572797e-32,0.153627872797362,0.0773261273873341,FALSE
"RSV_genus40","Trueperella","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",5.84583996873603e-50,4.15724567871936e-49,-0.199704345498153,-0.252919924745763,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",2.29617818316831e-49,4.15724567871936e-49,-0.225356821019241,-0.262954846400456,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.00729461580881e-34,1.11472397277008e-34,-0.199686808220927,-0.145130913892303,FALSE
