"OTU","Genus","Phylum","p_value","p_adj_BH","control","Tooth.decay","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",8.69226923583062e-37,1.70335483798209e-36,-0.224559183297077,-0.263413925360724,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",4.55673808595975e-37,1.70335483798209e-36,-0.218804242118265,-0.261799644606026,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",3.20144861295562e-36,4.19185605359861e-36,-0.225356821019241,-0.256657877202006,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",1.84355912771585e-36,2.69550690643302e-36,-0.215042970310909,-0.248653259513643,FALSE
"RSV_genus19","Geothrix","Acidobacteria",8.13129394498752e-37,1.70335483798209e-36,-0.224724708079846,-0.263413925360724,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",5.57705447850982e-37,1.70335483798209e-36,-0.221423415221038,-0.263413925360724,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",5.55606529879348e-36,7.05474080702067e-36,-0.2229041858771,-0.252841084815924,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus31","Iamia","Actinobacteria",6.38309959231042e-37,1.70335483798209e-36,-0.218631142682395,-0.255860247996554,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.0212960510510349,0.0216550993300829,6.88545025494946,6.86111518935666,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",3.38116973490441e-37,1.70335483798209e-36,-0.219938881746866,-0.263413925360724,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",2.2567874923932e-36,3.2073636673924e-36,-0.21609226756904,-0.255361639443541,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",1.34809706833952e-30,1.53228936507378e-30,0.153627872797362,0.0272859634750741,FALSE
"RSV_genus40","Trueperella","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",8.55923187210214e-38,1.54556583674068e-36,-0.199704345498153,-0.258612027925637,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",4.88210119456176e-21,5.3114178723248e-21,-0.199686808220927,-0.0782582406220716,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.716028789622431,0.716771558076396,0.76190525382509,1.03373380669645,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",8.89683457003479e-31,1.01482805674747e-30,1.25786383942163,2.32997179466459,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",3.49276812732057e-25,3.87416234811994e-25,-0.0204757581975227,-0.017418481194015,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",6.01728311190285e-31,6.87180852424409e-31,-0.170556460086963,-0.127410772176489,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",6.56933684843653e-13,6.96638467993544e-13,0.177768914690592,1.18933829613625,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus51","Scardovia","Actinobacteria",6.19485439502878e-09,6.49080835092592e-09,2.15488332549785,2.74640378527381,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.991469964586583,0.991469964586583,4.79554001891403,4.94528662014477,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",1.2769618012495e-30,1.45314638939359e-30,-0.0385287414650712,-0.0683515504438272,FALSE
"RSV_genus55","Turicella","Actinobacteria",5.56988598559814e-37,1.70335483798209e-36,-0.224160364435996,-0.263413925360724,FALSE
"RSV_genus56","Dietzia","Actinobacteria",3.33137478149396e-37,1.70335483798209e-36,-0.216867752525723,-0.260360241872536,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",3.69413092956308e-24,4.07409868231814e-24,-0.0197183690973345,-0.0440700808464962,FALSE
"RSV_genus59","Gordonia","Actinobacteria",3.20144861295562e-36,4.19185605359861e-36,-0.225356821019241,-0.260071694156938,FALSE
"RSV_genus61","Nocardia","Actinobacteria",2.14728059059068e-36,3.07114541247139e-36,-0.221707729293855,-0.258993946175906,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",7.70953337112003e-37,1.70335483798209e-36,-0.213683057397667,-0.257896113715243,FALSE
"RSV_genus63","Williamsia","Actinobacteria",3.20144861295562e-36,4.19185605359861e-36,-0.225356821019241,-0.258041220972889,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",9.6242084174065e-36,1.18764208731423e-35,-0.225356821019241,-0.259152646281437,FALSE
"RSV_genus68","Frankia","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",1.05555045918475e-36,1.70335483798209e-36,-0.225356821019241,-0.263413925360724,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",4.02225385976838e-36,5.2030495639095e-36,-0.221516451979071,-0.255237197160261,FALSE
