"OTU","Genus","Phylum","p_value","p_adj_BH","control","Angina","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.00102101170328997,0.00159587888504181,-0.253506957326854,-0.223097576429212,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.00117912395005408,0.00159723681949813,-0.246241505388386,-0.223097576429212,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.00103786081879979,0.00159587888504181,-0.251558856215011,-0.223097576429212,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.000626915736605647,0.00159587888504181,-0.230480207579393,-0.200105606251582,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.00109570860549492,0.00159587888504181,-0.250510923738235,-0.223097576429212,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.001076857999157,0.00159587888504181,-0.250564973266683,-0.223097576429212,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.00103731330667443,0.00159587888504181,-0.251973043416483,-0.223097576429212,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.00120275695141587,0.00160091097671216,-0.242076853128859,-0.223097576429212,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.789589447593177,0.794529527557264,6.89164062822022,6.89013463277381,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.000830921700857868,0.00159587888504181,-0.252520777355586,-0.193391268690928,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.00104665746134992,0.00159587888504181,-0.252342109141293,-0.223097576429212,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.185273525648718,0.1911666604754,0.160339936231602,0.0189070210981667,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.00123195056562449,0.0016240878358301,-0.235114318392955,-0.152100243578126,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.00394802528264225,0.0043791314916664,-0.175852546934908,-0.14486238283019,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00105775027445252,0.00159587888504181,0.933381989714899,1.44402199415151,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.00340022556015699,0.00378456478148962,1.7472695477804,2.46079627198265,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.00287044912458685,0.00322091093630967,-0.0173290432073946,0.0687949786171113,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.000952062822579678,0.00159587888504181,-0.155105023804229,-0.061036575015782,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.00307943053042703,0.00343941025678482,0.529236703578272,0.802394143636151,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.399001992061301,0.406157091075059,2.39151625535254,2.04712856610757,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.000598051123950417,0.00159587888504181,4.91624521843736,3.98923329931552,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.000354084422826859,0.00159587888504181,-0.0784619198905568,0.190452295661853,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.00107346301511305,0.00159587888504181,-0.252353431277881,-0.223097576429212,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.00112721448265048,0.00159587888504181,-0.249851961381793,-0.223097576429212,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.0451849487063037,0.0479686199137327,-0.0274327970490464,-0.100323944535607,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.00106389758605307,0.00159587888504181,-0.251959799554804,-0.223097576429212,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.00105108160611889,0.00159587888504181,-0.250242878578553,-0.223097576429212,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.00130782123703342,0.0016658337902059,-0.238143793448927,-0.171904448736982,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.00105219034258897,0.00159587888504181,-0.250513953992695,-0.223097576429212,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.00102587711465142,0.00159587888504181,-0.253211644065304,-0.223097576429212,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.00103786081879979,0.00159587888504181,-0.251880625164198,-0.223097576429212,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.00103786081879979,0.00159587888504181,-0.253303164250403,-0.223097576429212,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.00102047242239589,0.00159587888504181,-0.24946131326572,-0.223097576429212,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.00110902687211727,0.00159587888504181,-0.249329844458168,-0.223097576429212,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.00115410692282531,0.00159587888504181,-0.248432965569716,-0.223097576429212,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.00109340753971641,0.00159587888504181,-0.25030187050896,-0.223097576429212,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",0.00103786081879979,0.00159587888504181,-0.252486068622955,-0.223097576429212,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",0.00103676606184154,0.00159587888504181,-0.252959223387751,-0.223097576429212,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",0.00120841796434851,0.0016026535520356,-0.249072262071571,-0.223097576429212,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",0.00103348819936078,0.00159587888504181,-0.252920854663914,-0.223097576429212,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.00103021992961973,0.00159587888504181,-0.251132234366801,-0.223097576429212,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",0.00110669995151572,0.00159587888504181,-0.246173933579284,-0.223097576429212,FALSE
"RSV_genus87","Georgenia","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",0.00128628752763274,0.00165281952618588,-0.245753875139029,-0.223097576429212,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",0.001076857999157,0.00159587888504181,-0.251047159766953,-0.223097576429212,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus92","Demequina","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",0.000358132508265676,0.00159587888504181,-0.243327559817299,-0.179604398747449,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",0.00111896684368108,0.00159587888504181,-0.247661399511686,-0.223097576429212,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",0.000911915461016877,0.00159587888504181,-0.251765798503195,-0.163245365828834,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",0.00102263112900842,0.00159587888504181,-0.253254536649301,-0.223097576429212,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",0.00103457975306806,0.00159587888504181,-0.252811566756976,-0.223097576429212,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",0.00102967614883418,0.00159587888504181,-0.252334752000974,-0.223097576429212,FALSE
"RSV_genus101","Janibacter","Actinobacteria",0.00128361894778648,0.00165281952618588,-0.240285727042527,-0.223097576429212,FALSE
"RSV_genus102","Knoellia","Actinobacteria",0.00114988507314785,0.00159587888504181,-0.248839195677717,-0.223097576429212,FALSE
