"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",1.73410549855178e-05,4.57556527101212e-05,-0.25401179868196,-0.241087005135476,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",1.75606606677277e-05,4.57556527101212e-05,-0.25401179868196,-0.233080675251944,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",3.00199607450676e-05,4.57556527101212e-05,-0.253506957326854,-0.242530648090362,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",2.10259941690445e-05,4.57556527101212e-05,-0.246241505388386,-0.231383996649302,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",2.01615627669583e-05,4.57556527101212e-05,-0.251558856215011,-0.234818037166402,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",2.06491539652955e-05,4.57556527101212e-05,-0.230480207579393,-0.211355210781831,FALSE
"RSV_genus19","Geothrix","Acidobacteria",1.72999740350429e-05,4.57556527101212e-05,-0.25401179868196,-0.23964336218059,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",1.45151238883773e-05,4.57556527101212e-05,-0.250510923738235,-0.228355217083978,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",2.27550645437145e-05,4.57556527101212e-05,-0.250564973266683,-0.235736319581771,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.97171000449233e-05,4.57556527101212e-05,-0.251973043416483,-0.238354493254162,FALSE
"RSV_genus31","Iamia","Actinobacteria",6.28369101685402e-06,4.57556527101212e-05,-0.242076853128859,-0.22273727312877,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.988169138748116,0.988169138748116,6.89164062822022,6.91397600858035,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",3.24616241004375e-05,4.57556527101212e-05,-0.252520777355586,-0.23653281866662,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",2.99933051926375e-05,4.57556527101212e-05,-0.252342109141293,-0.235419418061643,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.358660699528496,0.365477903954592,0.160339936231602,0.062933187447507,FALSE
"RSV_genus40","Trueperella","Actinobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",1.20465228689094e-05,4.57556527101212e-05,-0.235114318392955,-0.208446155488754,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",7.31588429202661e-06,4.57556527101212e-05,-0.175852546934908,-0.11429472456258,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.710704177289848,0.716645278040442,0.933381989714899,0.838129068324558,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0460531456621119,0.0479927489891339,1.7472695477804,1.82735321579255,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",2.51814437310435e-05,4.57556527101212e-05,-0.0173290432073946,0.0409511770001524,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",3.22840004219217e-05,4.57556527101212e-05,-0.155105023804229,-0.136870639208968,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.00287859785090669,0.00309337074178725,0.529236703578272,0.554852616306081,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus51","Scardovia","Actinobacteria",4.97254882657326e-05,5.86614867682542e-05,2.39151625535254,2.73975937589184,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.981391205878129,0.982409246548127,4.91624521843736,4.81039496549001,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",2.5015003444893e-05,4.57556527101212e-05,-0.0784619198905568,-0.0296989523010522,FALSE
"RSV_genus55","Turicella","Actinobacteria",3.63237284656034e-05,4.79166914575817e-05,-0.252353431277881,-0.242530648090362,FALSE
"RSV_genus56","Dietzia","Actinobacteria",2.6442469074893e-05,4.57556527101212e-05,-0.249851961381793,-0.235714109580716,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.000377026563281853,0.000413914258893046,-0.0274327970490464,-0.0330980623035016,FALSE
"RSV_genus59","Gordonia","Actinobacteria",3.52896772335888e-05,4.73971520407602e-05,-0.251959799554804,-0.242530648090362,FALSE
