"OTU","Genus","Phylum","p_value","p_adj_BH","control","Bronchitis","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",5.83598200716147e-06,9.88373175507391e-06,-0.253506957326854,-0.230491773275225,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",3.98247092860316e-06,9.88373175507391e-06,-0.246241505388386,-0.222640856629205,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",6.08272388383255e-06,9.88373175507391e-06,-0.251558856215011,-0.230491773275225,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",4.47713144186255e-06,9.88373175507391e-06,-0.230480207579393,-0.212259238551891,FALSE
"RSV_genus19","Geothrix","Acidobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",6.83494247503447e-06,9.88373175507391e-06,-0.250510923738235,-0.230491773275225,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",2.14418829313497e-06,9.88373175507391e-06,-0.250564973266683,-0.205269900128697,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",1.9631401880474e-06,9.88373175507391e-06,-0.251973043416483,-0.214989071663771,FALSE
"RSV_genus31","Iamia","Actinobacteria",2.75073628392158e-06,9.88373175507391e-06,-0.242076853128859,-0.209239535096251,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.47752645330821,0.483032523524552,6.89164062822022,6.96332282822345,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",5.20638677183134e-06,9.88373175507391e-06,-0.252520777355586,-0.210204538722251,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",6.19362943299794e-06,9.88373175507391e-06,-0.252342109141293,-0.230491773275225,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.37405155913953,0.37955810154537,0.160339936231602,-0.0698574269003539,FALSE
"RSV_genus40","Trueperella","Actinobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",1.842910357726e-06,9.88373175507391e-06,-0.235114318392955,-0.179199135499344,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.26358394922179e-08,1.83168180185943e-06,-0.175852546934908,0.0402018155652581,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.000595504636689436,0.000642798629088709,0.933381989714899,1.12351958832554,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",2.95941003335811e-08,3.24321968043436e-06,1.7472695477804,2.51707435967146,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",1.93605990490555e-06,9.88373175507391e-06,-0.0173290432073946,0.0773409251145712,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",2.08737814752962e-06,9.88373175507391e-06,-0.155105023804229,0.0174025668092107,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",7.97302362985774e-10,1.92349195070318e-07,0.529236703578272,0.951104395520602,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.0157782218689289,0.0165499827212135,2.39151625535254,2.72486487839038,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0141733212863128,0.0148989706332156,4.91624521843736,4.35029729250163,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",1.99287211639276e-07,9.88373175507391e-06,-0.0784619198905568,0.118878619953642,FALSE
"RSV_genus55","Turicella","Actinobacteria",6.51716308280695e-06,9.88373175507391e-06,-0.252353431277881,-0.230491773275225,FALSE
"RSV_genus56","Dietzia","Actinobacteria",7.28854274644638e-06,9.90997623821936e-06,-0.249851961381793,-0.230491773275225,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.00057910465624163,0.000625796185076342,-0.0274327970490464,-0.0134820918604077,FALSE
"RSV_genus59","Gordonia","Actinobacteria",6.42642149809115e-06,9.88373175507391e-06,-0.251959799554804,-0.230491773275225,FALSE
"RSV_genus61","Nocardia","Actinobacteria",2.01500550156174e-06,9.88373175507391e-06,-0.250242878578553,-0.208995581825155,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",9.35592426471708e-06,1.16346223137268e-05,-0.238143793448927,-0.2183702774226,FALSE
"RSV_genus63","Williamsia","Actinobacteria",2.02860228092323e-06,9.88373175507391e-06,-0.250513953992695,-0.21564044431072,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",5.92111241452383e-06,9.88373175507391e-06,-0.253211644065304,-0.230491773275225,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",6.077839123079e-06,9.88373175507391e-06,-0.251880625164198,-0.230491773275225,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",6.04258082084053e-07,9.88373175507391e-06,-0.253303164250403,-0.200583351375307,FALSE
"RSV_genus68","Frankia","Actinobacteria",5.60109397265414e-06,9.88373175507391e-06,-0.25401179868196,-0.230491773275225,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",5.82894093113221e-06,9.88373175507391e-06,-0.24946131326572,-0.230491773275225,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",2.26798235454471e-06,9.88373175507391e-06,-0.249329844458168,-0.203236901770833,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",4.1911112058859e-06,9.88373175507391e-06,-0.248432965569716,-0.214989071663771,FALSE
