"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.139395024060661,0.186796757689188,-0.253506957326854,-0.217835215046443,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.143707627727271,0.186796757689188,-0.246241505388386,-0.217835215046443,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.139821748782368,0.186796757689188,-0.251558856215011,-0.217835215046443,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.15093284190004,0.186796757689188,-0.230480207579393,-0.217835215046443,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.141430923457628,0.186796757689188,-0.250510923738235,-0.217835215046443,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.140892958175734,0.186796757689188,-0.250564973266683,-0.217835215046443,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.139821748782368,0.186796757689188,-0.251973043416483,-0.217835215046443,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.144035152809729,0.186796757689188,-0.242076853128859,-0.217835215046443,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.30933514252223,0.333528952551901,6.89164062822022,6.21551640579498,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.140892958175734,0.186796757689188,-0.252520777355586,-0.217835215046443,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.140142451473068,0.186796757689188,-0.252342109141293,-0.217835215046443,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.319291215559141,0.343879489971619,0.160339936231602,0.0654861193591781,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.15332536172277,0.186796757689188,-0.235114318392955,-0.217835215046443,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
