"OTU","Genus","Phylum","p_value","p_adj_BH","control","Diabetes","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",1.33836479747793e-05,2.33627662037503e-05,-0.253506957326854,-0.238283304872835,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",1.09128721924979e-05,2.33627662037503e-05,-0.246241505388386,-0.227419900996727,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",1.42738721414138e-05,2.33627662037503e-05,-0.251558856215011,-0.238283304872835,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",2.44609622491478e-06,2.33627662037503e-05,-0.230480207579393,-0.197488133903114,FALSE
"RSV_genus19","Geothrix","Acidobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",1.67391314677681e-05,2.38533624332154e-05,-0.250510923738235,-0.238283304872835,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",1.32293301938118e-05,2.33627662037503e-05,-0.250564973266683,-0.233138570608264,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",7.26817296969663e-06,2.33627662037503e-05,-0.251973043416483,-0.231703483277912,FALSE
"RSV_genus31","Iamia","Actinobacteria",1.1338312657907e-05,2.33627662037503e-05,-0.242076853128859,-0.229263203782381,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.109020194550359,0.113366904893423,6.89164062822022,6.90324139852687,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",1.38837299847451e-05,2.33627662037503e-05,-0.252520777355586,-0.229672780890724,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",1.45129528174901e-05,2.34313225420484e-05,-0.252342109141293,-0.238283304872835,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.360662225629306,0.369076402685345,0.160339936231602,0.034823679352135,FALSE
"RSV_genus40","Trueperella","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",3.64824596926385e-05,4.41726143078998e-05,-0.235114318392955,-0.222529949532895,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.65125252170872e-05,2.38120546405837e-05,-0.175852546934908,-0.141595754769302,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.000270757427691157,0.000302058864418458,0.933381989714899,1.09483319047353,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0103977863635468,0.0111860243487432,1.7472695477804,1.99453908720019,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.000664613259862323,0.000732973480876733,-0.0173290432073946,-0.0516919891934483,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",5.45733021863839e-05,6.42234592803177e-05,-0.155105023804229,-0.171617571499722,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",4.76178048533125e-06,2.33627662037503e-05,0.529236703578272,0.710394351969971,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.333714508468983,0.342225824306662,2.39151625535254,2.2884669523733,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.105260977574032,0.109575882803604,4.91624521843736,4.67647030422411,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",4.66766150427631e-07,2.33627662037503e-05,-0.0784619198905568,0.0298155548051287,FALSE
"RSV_genus55","Turicella","Actinobacteria",1.58235484754816e-05,2.35386188683286e-05,-0.252353431277881,-0.238283304872835,FALSE
"RSV_genus56","Dietzia","Actinobacteria",1.82533026911829e-05,2.47800718304713e-05,-0.249851961381793,-0.238283304872835,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.000202245323326056,0.00022720225495884,-0.0274327970490464,-0.0171137851235081,FALSE
"RSV_genus59","Gordonia","Actinobacteria",1.53525047326612e-05,2.35386188683286e-05,-0.251959799554804,-0.238283304872835,FALSE
"RSV_genus61","Nocardia","Actinobacteria",1.45724404193186e-05,2.34313225420484e-05,-0.250242878578553,-0.238283304872835,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",8.13302756861207e-06,2.33627662037503e-05,-0.238143793448927,-0.20859904143127,FALSE
"RSV_genus63","Williamsia","Actinobacteria",7.54556574981321e-06,2.33627662037503e-05,-0.250513953992695,-0.231979945788522,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",1.36776339307765e-05,2.33627662037503e-05,-0.253211644065304,-0.238283304872835,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",1.1779558499279e-05,2.33627662037503e-05,-0.251880625164198,-0.232299098334748,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",7.29709709574161e-06,2.33627662037503e-05,-0.253303164250403,-0.230356511091285,FALSE
"RSV_genus68","Frankia","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",1.32773712188302e-05,2.33627662037503e-05,-0.24946131326572,-0.238283304872835,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",7.45076365021814e-06,2.33627662037503e-05,-0.249329844458168,-0.228205593795288,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",7.03194849983612e-06,2.33627662037503e-05,-0.248432965569716,-0.225501139026247,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",1.65758370853454e-05,2.38120546405837e-05,-0.25030187050896,-0.238283304872835,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",1.42738721414138e-05,2.33627662037503e-05,-0.252486068622955,-0.238283304872835,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",1.42155475339987e-05,2.33627662037503e-05,-0.252959223387751,-0.238283304872835,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",1.30451272228745e-05,2.33627662037503e-05,-0.249072262071571,-0.23425450539239,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",9.27174571781126e-06,2.33627662037503e-05,-0.252920854663914,-0.23425450539239,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",1.37836389429879e-05,2.33627662037503e-05,-0.251132234366801,-0.238283304872835,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",1.71930545309954e-05,2.42562830736996e-05,-0.246173933579284,-0.238283304872835,FALSE
"RSV_genus87","Georgenia","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",2.93203851112197e-06,2.33627662037503e-05,-0.245753875139029,-0.215092478257309,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",1.60257747113905e-05,2.35386188683286e-05,-0.251047159766953,-0.238283304872835,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",1.19931727487211e-05,2.33627662037503e-05,-0.25401179868196,-0.230752070587688,FALSE
"RSV_genus92","Demequina","Actinobacteria",1.27024769237911e-05,2.33627662037503e-05,-0.25401179868196,-0.238283304872835,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",2.7503050483842e-05,3.42457338282677e-05,-0.243327559817299,-0.238283304872835,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",1.76713284278561e-05,2.44309652242525e-05,-0.247661399511686,-0.238283304872835,FALSE
