"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",5.65978554222163e-06,8.45499025250447e-06,-0.253506957326854,-0.21157767744101,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",6.85717065223827e-06,8.6612168578664e-06,-0.246241505388386,-0.21157767744101,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",5.77355377514254e-06,8.45499025250447e-06,-0.251558856215011,-0.21157767744101,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",2.59536507241174e-08,1.39140405270963e-06,-0.230480207579393,-0.0272392534082961,FALSE
"RSV_genus19","Geothrix","Acidobacteria",3.71722406773123e-06,8.45499025250447e-06,-0.25401179868196,-0.191486454816084,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",6.21999135933941e-06,8.45499025250447e-06,-0.250510923738235,-0.21157767744101,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",3.42981379557302e-06,8.45499025250447e-06,-0.250564973266683,-0.17556453758901,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",7.58591282670266e-07,8.36270470769503e-06,-0.251973043416483,-0.165518926276547,FALSE
"RSV_genus31","Iamia","Actinobacteria",9.51855608256145e-07,8.36270470769503e-06,-0.242076853128859,-0.148436969807827,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.430077966523709,0.437329017592602,6.89164062822022,6.60083673893482,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",5.66381147930899e-06,8.45499025250447e-06,-0.252520777355586,-0.181440843503621,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",5.86864055267284e-06,8.45499025250447e-06,-0.252342109141293,-0.21157767744101,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0137835835768352,0.0143641016756436,0.160339936231602,-0.00347122330568768,FALSE
"RSV_genus40","Trueperella","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",1.05227112556874e-05,1.20170607831223e-05,-0.235114318392955,-0.21157767744101,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",7.3787944547848e-11,1.18675610814456e-08,-0.175852546934908,0.312707663615587,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0711774470905001,0.0733044145595866,0.933381989714899,0.917277953566643,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",4.65404935911772e-06,8.45499025250447e-06,1.7472695477804,2.78553827848278,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",1.87380470189796e-05,2.08320453609624e-05,-0.0173290432073946,0.129161414159221,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",3.55243793296793e-07,8.36270470769503e-06,-0.155105023804229,0.17234024635812,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",2.09914045671098e-05,2.32035571675383e-05,0.529236703578272,0.859795649187367,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.892693713725496,0.895477581855617,2.39151625535254,2.30494896849905,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",2.02373280113687e-12,9.7645107654854e-10,4.91624521843736,2.8447294969367,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",3.3833664581646e-09,2.51149894779142e-07,-0.0784619198905568,0.252728134993813,FALSE
"RSV_genus55","Turicella","Actinobacteria",6.00769121921363e-06,8.45499025250447e-06,-0.252353431277881,-0.21157767744101,FALSE
"RSV_genus56","Dietzia","Actinobacteria",6.47598727365757e-06,8.46792373859018e-06,-0.249851961381793,-0.21157767744101,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",5.544217824344e-06,8.45499025250447e-06,-0.0274327970490464,0.160793901976105,FALSE
"RSV_genus59","Gordonia","Actinobacteria",5.98217696091168e-06,8.45499025250447e-06,-0.251959799554804,-0.21157767744101,FALSE
"RSV_genus61","Nocardia","Actinobacteria",5.89787627004611e-06,8.45499025250447e-06,-0.250242878578553,-0.21157767744101,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",4.91790800721108e-06,8.45499025250447e-06,-0.238143793448927,-0.147362941225889,FALSE
"RSV_genus63","Williamsia","Actinobacteria",7.7690716133105e-07,8.36270470769503e-06,-0.250513953992695,-0.167454163850815,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",5.69611780673018e-06,8.45499025250447e-06,-0.253211644065304,-0.21157767744101,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",3.26440163601192e-06,8.45499025250447e-06,-0.251880625164198,-0.169688231674399,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",7.57424007727881e-07,8.36270470769503e-06,-0.253303164250403,-0.156090120970153,FALSE
"RSV_genus68","Frankia","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",5.69611780673018e-06,8.45499025250447e-06,-0.24946131326572,-0.21157767744101,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",6.41219302312293e-06,8.45499025250447e-06,-0.249329844458168,-0.21157767744101,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",6.66161982535646e-06,8.52581317170953e-06,-0.248432965569716,-0.21157767744101,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",6.21118727050338e-06,8.45499025250447e-06,-0.25030187050896,-0.21157767744101,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",5.77355377514254e-06,8.45499025250447e-06,-0.252486068622955,-0.21157767744101,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",5.76126041251228e-06,8.45499025250447e-06,-0.252959223387751,-0.21157767744101,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",7.09308691886743e-06,8.80930357362558e-06,-0.249072262071571,-0.21157767744101,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",1.6536388911426e-06,8.45499025250447e-06,-0.252920854663914,-0.183376081077889,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",5.77355377514254e-06,8.45499025250447e-06,-0.251132234366801,-0.21157767744101,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",6.30869153149081e-06,8.45499025250447e-06,-0.246173933579284,-0.21157767744101,FALSE
"RSV_genus87","Georgenia","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",2.86009427172405e-07,7.66664158948253e-06,-0.245753875139029,-0.124176441785049,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",6.0590325071562e-06,8.45499025250447e-06,-0.251047159766953,-0.21157767744101,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus92","Demequina","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",4.95320869214068e-06,8.45499025250447e-06,-0.243327559817299,-0.17556453758901,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",6.40765937263264e-06,8.45499025250447e-06,-0.247661399511686,-0.21157767744101,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",5.52452205877635e-06,8.45499025250447e-06,-0.251765798503195,-0.21157767744101,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",5.68802472818613e-06,8.45499025250447e-06,-0.253254536649301,-0.21157767744101,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",5.7408271321806e-06,8.45499025250447e-06,-0.252811566756976,-0.21157767744101,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
