"OTU","Genus","Phylum","p_value","p_adj_BH","control","Heart.failure","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.216636278901236,0.282531313901713,-0.253506957326854,-0.246778702133957,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.124630626282594,0.282531313901713,-0.246241505388386,-0.190959297110973,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.219168462402688,0.282531313901713,-0.251558856215011,-0.246778702133957,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.00907037194137406,0.282531313901713,-0.230480207579393,-0.0904959445244159,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.190032299474468,0.282531313901713,-0.25401179868196,-0.232030889781617,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.225518263340191,0.282531313901713,-0.250510923738235,-0.246778702133957,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.223614283611014,0.282531313901713,-0.250564973266683,-0.246778702133957,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.113899093419216,0.282531313901713,-0.251973043416483,-0.212969618832383,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.124630626282594,0.282531313901713,-0.242076853128859,-0.200430735892578,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.52056047116237,0.541315576154835,6.89164062822022,6.96778891875998,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.223322387125882,0.282531313901713,-0.252520777355586,-0.246778702133957,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.219264430878452,0.282531313901713,-0.252342109141293,-0.246778702133957,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.446084102091122,0.467288109527023,0.160339936231602,0.16242774679932,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.167446230128413,0.282531313901713,-0.235114318392955,-0.220343525008552,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.214691913293649,0.282531313901713,-0.25401179868196,-0.246778702133957,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0783866463947641,0.282531313901713,-0.175852546934908,-0.130052542568071,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00835430356363918,0.282531313901713,0.933381989714899,1.4742537463113,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.00150469547244899,0.181503891364159,1.7472695477804,2.38246049270192,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.0723613332638555,0.282531313901713,-0.0173290432073946,0.07777541621561,FALSE
