"OTU","Genus","Phylum","p_value","p_adj_BH","control","Prostate.cancer","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.0528980916326425,0.0768312909638584,-0.253506957326854,-0.221003813446089,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.0558874438902236,0.0768312909638584,-0.246241505388386,-0.221003813446089,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.0532129780109304,0.0768312909638584,-0.251558856215011,-0.221003813446089,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.0132724798238529,0.0768312909638584,-0.230480207579393,-0.153943900428001,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.0543917037092995,0.0768312909638584,-0.250510923738235,-0.221003813446089,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.0539750984934766,0.0768312909638584,-0.250564973266683,-0.221003813446089,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.251973043416483,-0.221003813446089,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.0564488183349697,0.0768312909638584,-0.242076853128859,-0.221003813446089,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.291322965371902,0.312016272568131,6.89164062822022,6.94460049604732,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.0539431625544852,0.0768312909638584,-0.252520777355586,-0.221003813446089,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.0533710074587355,0.0768312909638584,-0.252342109141293,-0.221003813446089,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.22273737886681,0.240965886330125,0.160339936231602,0.0945171442630939,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.0625051885595969,0.0776287090862432,-0.235114318392955,-0.221003813446089,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.0916330194819017,0.103964103043233,-0.175852546934908,-0.221003813446089,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00896833912312249,0.0768312909638584,0.933381989714899,1.83169789789596,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.367637703808322,0.389857565027507,1.7472695477804,1.91554000712679,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.0123312732832351,0.0768312909638584,-0.0173290432073946,0.370837672638595,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.0839214052368456,0.0964097095875667,-0.155105023804229,-0.221003813446089,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.000542853219990673,0.0768312909638584,0.529236703578272,1.10869453492278,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.27230218941976,0.292293228909976,2.39151625535254,1.86461532797877,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0335709936115816,0.0768312909638584,4.91624521843736,4.42452376763065,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.00595690298251695,0.0768312909638584,-0.0784619198905568,0.16777895843108,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.0539112423893023,0.0768312909638584,-0.252353431277881,-0.221003813446089,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.0547786401276709,0.0768312909638584,-0.249851961381793,-0.221003813446089,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.10133880856957,0.113843946763254,-0.0274327970490464,-0.0885849038482578,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.0537200523293382,0.0768312909638584,-0.251959799554804,-0.221003813446089,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.0534026603398356,0.0768312909638584,-0.250242878578553,-0.221003813446089,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.0646273323738346,0.0784470135103779,-0.238143793448927,-0.221003813446089,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.0535294286920882,0.0768312909638584,-0.250513953992695,-0.221003813446089,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.052960944036527,0.0768312909638584,-0.253211644065304,-0.221003813446089,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.251880625164198,-0.221003813446089,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.253303164250403,-0.221003813446089,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.0529295100386078,0.0768312909638584,-0.24946131326572,-0.221003813446089,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.0545848859370733,0.0768312909638584,-0.249329844458168,-0.221003813446089,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.0555266853603947,0.0768312909638584,-0.248432965569716,-0.221003813446089,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.0542311545461018,0.0768312909638584,-0.25030187050896,-0.221003813446089,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.252486068622955,-0.221003813446089,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",0.0531814190731513,0.0768312909638584,-0.252959223387751,-0.221003813446089,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",0.0562832230347616,0.0768312909638584,-0.249072262071571,-0.221003813446089,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",0.0530238588309129,0.0768312909638584,-0.252920854663914,-0.221003813446089,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.0531183481039519,0.0768312909638584,-0.251132234366801,-0.221003813446089,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",0.0543917037092995,0.0768312909638584,-0.246173933579284,-0.221003813446089,FALSE
"RSV_genus87","Georgenia","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",0.0575519474600385,0.0768312909638584,-0.245753875139029,-0.221003813446089,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",0.0539750984934766,0.0768312909638584,-0.251047159766953,-0.221003813446089,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus92","Demequina","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",0.0577882341895015,0.0768312909638584,-0.243327559817299,-0.221003813446089,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",0.0547139917699094,0.0768312909638584,-0.247661399511686,-0.221003813446089,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",0.0524910686438881,0.0768312909638584,-0.251765798503195,-0.221003813446089,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",0.0529295100386078,0.0768312909638584,-0.253254536649301,-0.221003813446089,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",0.0531183481039519,0.0768312909638584,-0.252811566756976,-0.221003813446089,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",0.052960944036527,0.0768312909638584,-0.252334752000974,-0.221003813446089,FALSE
"RSV_genus101","Janibacter","Actinobacteria",0.0106479758237278,0.0768312909638584,-0.240285727042527,-0.105479283352765,FALSE
"RSV_genus102","Knoellia","Actinobacteria",0.0552655360402323,0.0768312909638584,-0.248839195677717,-0.221003813446089,FALSE
"RSV_genus104","Ornithinibacter","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus105","Ornithinimicrobium","Actinobacteria",0.0537837193527747,0.0768312909638584,-0.250929880190859,-0.221003813446089,FALSE
"RSV_genus106","Phycicoccus","Actinobacteria",0.0544882234049055,0.0768312909638584,-0.249887915455313,-0.221003813446089,FALSE
"RSV_genus107","Serinicoccus","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus108","Terrabacter","Actinobacteria",0.052960944036527,0.0768312909638584,-0.252959223387751,-0.221003813446089,FALSE
"RSV_genus109","Tetrasphaera","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus110","Agromyces","Actinobacteria",0.0537200523293382,0.0768312909638584,-0.25145658758076,-0.221003813446089,FALSE
"RSV_genus111","Candidatus Limnoluna","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus112","Candidatus Rhodoluna","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus113","Clavibacter","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.251459868378263,-0.221003813446089,FALSE
"RSV_genus114","Cryobacterium","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.251626638178597,-0.221003813446089,FALSE
"RSV_genus115","Curtobacterium","Actinobacteria",0.0559861707119685,0.0768312909638584,-0.243956150729507,-0.221003813446089,FALSE
"RSV_genus116","Frondihabitans","Actinobacteria",0.0542311545461018,0.0768312909638584,-0.250423963919342,-0.221003813446089,FALSE
"RSV_genus117","Gryllotalpicola","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus118","Herbiconiux","Actinobacteria",0.0109576378904926,0.0768312909638584,-0.25401179868196,-0.0961816353813392,FALSE
"RSV_genus119","Leifsonia","Actinobacteria",0.0529295100386078,0.0768312909638584,-0.253303164250403,-0.221003813446089,FALSE
"RSV_genus120","Leucobacter","Actinobacteria",0.0538155764796622,0.0768312909638584,-0.249770700073958,-0.221003813446089,FALSE
"RSV_genus121","Lysinimonas","Actinobacteria",0.0537518779712304,0.0768312909638584,-0.247981444849969,-0.221003813446089,FALSE
"RSV_genus122","Marisediminicola","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus123","Microbacterium","Actinobacteria",0.0545526492127753,0.0768312909638584,-0.249668623611775,-0.221003813446089,FALSE
"RSV_genus124","Microcella","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus126","Pseudoclavibacter","Actinobacteria",0.0529295100386078,0.0768312909638584,-0.252310113017553,-0.221003813446089,FALSE
"RSV_genus127","Schumannella","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus128","Arthrobacter","Actinobacteria",0.0571822630323405,0.0768312909638584,-0.243347897971536,-0.221003813446089,FALSE
"RSV_genus129","Auritidibacter","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus130","Citricoccus","Actinobacteria",0.0544560343099174,0.0768312909638584,-0.24582264583652,-0.221003813446089,FALSE
"RSV_genus131","Kocuria","Actinobacteria",0.0733473178512194,0.0862121336497281,-0.218178423617696,-0.221003813446089,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.0884251534720455,0.101102219313417,-0.189689559503734,-0.221003813446089,FALSE
"RSV_genus134","Nesterenkonia","Actinobacteria",0.0601258257479767,0.0768312909638584,-0.236878083977377,-0.221003813446089,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0233623866347435,0.0768312909638584,8.27047313453778,8.84771497593355,FALSE
"RSV_genus136","Sinomonas","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus137","Zhihengliuella","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus139","Cellulosimicrobium","Actinobacteria",0.052960944036527,0.0768312909638584,-0.252959223387751,-0.221003813446089,FALSE
"RSV_genus140","Isoptericola","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus142","Promicromonospora","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.252247710158122,-0.221003813446089,FALSE
"RSV_genus143","Rarobacter","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus144","Sanguibacter","Actinobacteria",0.0529923936320714,0.0768312909638584,-0.253211644065304,-0.221003813446089,FALSE
"RSV_genus145","Actinoplanes","Actinobacteria",0.0558217066026732,0.0768312909638584,-0.23754885679381,-0.221003813446089,FALSE
"RSV_genus146","Asanoa","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus147","Catellatospora","Actinobacteria",0.0528980916326425,0.0768312909638584,-0.252839593356079,-0.221003813446089,FALSE
"RSV_genus148","Catenuloplanes","Actinobacteria",0.0537837193527747,0.0768312909638584,-0.250999209239707,-0.221003813446089,FALSE
"RSV_genus149","Dactylosporangium","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
"RSV_genus150","Longispora","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.253359300696079,-0.221003813446089,FALSE
"RSV_genus151","Micromonospora","Actinobacteria",0.0532129780109304,0.0768312909638584,-0.252449358972874,-0.221003813446089,FALSE
"RSV_genus153","Plantactinospora","Actinobacteria",0.0552004089038566,0.0768312909638584,-0.24233061229893,-0.221003813446089,FALSE
"RSV_genus154","Stackebrandtia","Actinobacteria",0.0524598679302284,0.0768312909638584,-0.25401179868196,-0.221003813446089,FALSE
