"OTU","Genus","Phylum","p_value","p_adj_BH","control","Stroke","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",7.50639445196111e-05,0.000121708086062777,-0.25401179868196,-0.224222078869373,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",7.50639445196111e-05,0.000121708086062777,-0.25401179868196,-0.224222078869373,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",7.71072662758093e-05,0.000121708086062777,-0.253506957326854,-0.224222078869373,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",9.38288066016412e-05,0.000123864293256613,-0.246241505388386,-0.224222078869373,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",7.89952701899378e-05,0.000121708086062777,-0.251558856215011,-0.224222078869373,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",6.40775340541009e-05,0.000121708086062777,-0.230480207579393,-0.212896178986196,FALSE
"RSV_genus19","Geothrix","Acidobacteria",7.50639445196111e-05,0.000121708086062777,-0.25401179868196,-0.224222078869373,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",8.49249421071455e-05,0.000121708086062777,-0.250510923738235,-0.224222078869373,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",1.86300701105968e-05,0.000121708086062777,-0.250564973266683,-0.170918120157639,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",7.89122822588745e-05,0.000121708086062777,-0.251973043416483,-0.224222078869373,FALSE
"RSV_genus31","Iamia","Actinobacteria",9.71558456973958e-05,0.000125911563369761,-0.242076853128859,-0.224222078869373,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.703171434509822,0.708309430377848,6.89164062822022,6.72312793319377,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",8.28597135418643e-05,0.000121708086062777,-0.252520777355586,-0.224222078869373,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",8.00816489813684e-05,0.000121708086062777,-0.252342109141293,-0.224222078869373,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.408255837602805,0.416015716247843,0.160339936231602,-0.0787118872182604,FALSE
"RSV_genus40","Trueperella","Actinobacteria",7.50639445196111e-05,0.000121708086062777,-0.25401179868196,-0.224222078869373,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",4.57809269713881e-05,0.000121708086062777,-0.235114318392955,-0.188492842758035,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",7.50639445196111e-05,0.000121708086062777,-0.25401179868196,-0.224222078869373,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",6.59418519901203e-05,0.000121708086062777,-0.175852546934908,-0.140662207575505,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0133664895902012,0.0141743543456529,0.933381989714899,1.21919265046843,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.000702163681689814,0.000771740265182995,1.7472695477804,2.37133745283373,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",7.67428997595792e-05,0.000121708086062777,-0.0173290432073946,0.0504869851719687,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",9.23261086193205e-05,0.000122889234231233,-0.155105023804229,-0.0547184982181342,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.000536962258967704,0.000593549346968882,0.529236703578272,0.780288752596935,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",7.50639445196111e-05,0.000121708086062777,-0.25401179868196,-0.224222078869373,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.941556424850079,0.942533143133118,2.39151625535254,2.22933790780213,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.00102475974159913,0.00111865741022982,4.91624521843736,4.0459266165099,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",1.76042579940997e-05,0.000121708086062777,-0.0784619198905568,0.196454809337958,FALSE
"RSV_genus55","Turicella","Actinobacteria",8.26861586287007e-05,0.000121708086062777,-0.252353431277881,-0.224222078869373,FALSE
"RSV_genus56","Dietzia","Actinobacteria",8.85987623341342e-05,0.000121965485952125,-0.249851961381793,-0.224222078869373,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.000584243878091751,0.000643601988993767,-0.0274327970490464,0.0526356468218839,FALSE
"RSV_genus59","Gordonia","Actinobacteria",8.18235254803414e-05,0.000121708086062777,-0.251959799554804,-0.224222078869373,FALSE
"RSV_genus61","Nocardia","Actinobacteria",1.79671896961779e-05,0.000121708086062777,-0.250242878578553,-0.178791983536752,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.00015165707796708,0.000179129841172867,-0.238143793448927,-0.20157027910302,FALSE
