"OTU","Genus","Phylum","p_value","p_adj_BH","Underweight","Healthy.weight","Overweight","Class.1.Obesity","Class.2.3.Obesity","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.339375556890402,0.433040287321931,-0.232423910571503,-0.248085656024092,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.339223778169924,0.433040287321931,-0.232423910571503,-0.24414208512353,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.330575909743836,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.24506181716467,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.357344632487587,0.433040287321931,-0.232423910571503,-0.226480185312513,-0.244912901989346,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.346127475883907,0.433040287321931,-0.232423910571503,-0.240638106096126,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.424108148593529,0.452726065699951,-0.232423910571503,-0.21736699818421,-0.230074776662042,-0.233590975673097,-0.23377963854325,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.32827088592783,0.433040287321931,-0.232423910571503,-0.247188378120455,-0.244912901989347,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.352354560914737,0.433040287321931,-0.232423910571503,-0.244753944388614,-0.243750530126361,-0.245423469860572,-0.238154383810858,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.374517349019353,0.433040287321931,-0.232423910571503,-0.239214983136365,-0.246368981894805,-0.244652474386303,-0.246818844238332,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.3488060246547,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.245624150666127,-0.239723252401832,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.38458288777325,0.433040287321931,-0.232423910571503,-0.232179545292876,-0.239940786647278,-0.23594205699964,-0.244352544936615,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.278964605101415,0.433040287321931,6.75349239172602,6.92446596346424,6.85667389104128,6.93812035506137,6.8587204725176,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.340929798396142,0.433040287321931,-0.232423910571503,-0.246146670733766,-0.244531613622943,-0.246789168999815,-0.241033865541922,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.214915803461628,0.433040287321931,-0.177664965133735,-0.241805976093346,-0.244620103611428,-0.248994303190356,-0.239756545084748,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0408432084051955,0.433040287321931,0.051663587181599,0.19467538906741,0.161430279923377,0.0671250230124526,0.0815639590182755,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.451475606349719,0.467461330608883,-0.232423910571503,-0.225143318253123,-0.220769958188312,-0.229757404728796,-0.23717515522795,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.120079559833069,0.433040287321931,-0.0485600115200092,-0.156883263241317,-0.164437007640806,-0.200780393019162,-0.162842339490348,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.00162743714689097,0.0923809909852818,0.802150759874863,0.73469569127214,0.955655421468477,0.992315039614303,0.853013558195726,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.545778570252555,0.553231428879953,1.70893638656372,1.677188316643,1.65084263930042,1.78636234557509,1.73936702854932,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.545563374549416,0.553231428879953,-0.0206602252634091,0.0177529912700364,-0.038898622795332,-0.0298007417943096,-0.0354535197910356,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.0786843080941512,0.433040287321931,0.0869724605003307,-0.144579701950959,-0.13609667017328,-0.220775650968956,-0.168766808804977,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.00807758453655665,0.288698854732488,0.55056708613526,0.39052339301573,0.497099779780781,0.609929375387126,0.609830393726602,FALSE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.000145534684077003,0.0127673609213007,2.29703475338353,2.50803722138436,2.23286754763795,2.56023293807561,2.63402976319883,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.000547433610857888,0.0377338167484187,4.78305463712322,5.03116361830956,4.8032720925258,4.88443398092664,4.77647918332097,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.195045603817347,0.433040287321931,0.0236405189435022,-0.0584745286348164,-0.0553222138007305,-0.0931722666319101,-0.0196177479182577,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.366360328448317,0.433040287321931,-0.232423910571503,-0.243511155066213,-0.246368981894805,-0.245871886457412,-0.244778998975425,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.238367005518889,0.433040287321931,-0.208822961441864,-0.242691176053477,-0.244990955690908,-0.248994303190356,-0.235851643086697,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.434395116395337,0.458633793568381,-0.0891963063406882,-0.00398741433308222,-0.0299928881747688,-0.0592218240612834,-0.0454781145226335,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.343733231871556,0.433040287321931,-0.232423910571503,-0.245149618927328,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.329654532667779,0.433040287321931,-0.232423910571503,-0.245944486471603,-0.239510496405107,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.372814189569058,0.433040287321931,-0.232423910571503,-0.227951435657398,-0.231388709148575,-0.236052637782799,-0.23195973843527,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.370102742362353,0.433040287321931,-0.232423910571503,-0.239632357564769,-0.246368981894805,-0.245765753415464,-0.246818844238332,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.329553147724852,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.244034022213825,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.339392624545765,0.433040287321931,-0.232423910571503,-0.245008898618845,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.368469746245452,0.433040287321931,-0.232423910571503,-0.246046896830965,-0.246368981894805,-0.244934238082732,-0.246818844238332,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.339223778169924,0.433040287321931,-0.232423910571503,-0.245453828396095,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.331288177691101,0.433040287321931,-0.232423910571503,-0.24155225284471,-0.239395354688038,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.310332577289191,0.433040287321931,-0.232423910571503,-0.243628353990092,-0.236307374156437,-0.246054124269635,-0.238225787321384,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.373696597461814,0.433040287321931,-0.232423910571503,-0.237891313860783,-0.242316038140343,-0.242904161951958,-0.243474031399783,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.364658532202619,0.433040287321931,-0.232423910571503,-0.241315068810645,-0.2436781647904,-0.242851128632154,-0.246818844238332,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",0.339402014127796,0.433040287321931,-0.232423910571503,-0.246084981296999,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",0.338997518675881,0.433040287321931,-0.232423910571503,-0.246925941157278,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",0.353718451955459,0.433040287321931,-0.232423910571503,-0.239892009158652,-0.242973379522768,-0.246552537450171,-0.238469604675817,FALSE
