"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus1","Bryocella","Acidobacteria",0.696946542236682,0.860791318842843,-0.245962210005743,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus2","Candidatus Koribacter","Acidobacteria",0.758663477029846,0.860791318842843,-0.247116214510647,-0.242839276837976,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus3","Edaphobacter","Acidobacteria",0.703067007285268,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.24398285766969,FALSE
"RSV_genus10","Bryobacter","Acidobacteria",0.896678319790304,0.910316133175904,-0.24420383139905,-0.226182875823605,-0.234834633863558,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus11","Candidatus Solibacter","Acidobacteria",0.758663477029846,0.860791318842843,-0.247116214510647,-0.244276377291132,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus16","Blastocatella","Acidobacteria",0.738841345147109,0.860791318842843,-0.247116214510647,-0.217671213892059,-0.220170283893154,-0.231557560198082,-0.224922266420198,FALSE
"RSV_genus19","Geothrix","Acidobacteria",0.715685488793412,0.860791318842843,-0.245962210005743,-0.249149206152016,-0.244643766790516,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus27","CL500-29 marine group","Actinobacteria",0.725196415831216,0.860791318842843,-0.247116214510647,-0.245060945156697,-0.241599336235646,-0.245742168723768,-0.235103441006907,FALSE
"RSV_genus28","Illumatobacter","Actinobacteria",0.733976688203062,0.860791318842843,-0.242638609597788,-0.245035956549931,-0.246988723649999,-0.245742168723768,-0.241255717487311,FALSE
"RSV_genus30","Candidatus Microthrix","Actinobacteria",0.672532091270098,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.236540580299875,FALSE
"RSV_genus31","Iamia","Actinobacteria",0.748045770580344,0.860791318842843,-0.241413120362585,-0.238586750571787,-0.23885563390951,-0.237166239028858,-0.237411092788462,FALSE
"RSV_genus35","Actinomyces","Actinobacteria",0.243048400205329,0.860791318842843,6.92047694677978,6.94324533988697,6.84440151411118,6.8760840818148,6.86179228660194,FALSE
"RSV_genus36","Actinotignum","Actinobacteria",0.685224789996001,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.244336742166768,-0.242918758619654,-0.238688300396751,FALSE
"RSV_genus37","Arcanobacterium","Actinobacteria",0.676030957803087,0.860791318842843,-0.228350855536756,-0.250656047848886,-0.244172227033548,-0.245742168723768,-0.23976749042794,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0468482364659808,0.837195336845767,0.227019894485562,0.209605471418282,0.14867681669864,0.0891968198305128,0.0302143749215457,FALSE
"RSV_genus40","Trueperella","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus41","Varibaculum","Actinobacteria",0.79107960108127,0.860791318842843,-0.231702550956225,-0.219144204085039,-0.215467190526362,-0.233133234269062,-0.233718136439455,FALSE
"RSV_genus42","Actinopolyspora","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.69932702013607,0.860791318842843,-0.161620034084548,-0.174598091407515,-0.175189158615118,-0.176117411129582,-0.158743811478142,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",4.93786511816255e-09,5.29448871002984e-07,0.573051065954875,0.812890822086908,0.957297318980405,1.0079473746473,1.01856329390238,TRUE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.000179950710721668,0.00723551816026708,1.45263590330569,1.65643384024075,1.73905584623114,1.74439943968473,1.84279809947209,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.988144660876411,0.988144660876411,-0.00877483899427303,0.00298727000245746,0.000912967984404342,-0.0663960096532247,-0.0380735983023903,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.554521395391889,0.860791318842843,-0.108806843767107,-0.16188500984673,-0.162286069770719,-0.164697702608617,-0.175750845512733,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.8523420528959e-06,0.000127679291503182,0.316303869239656,0.377940450036582,0.486820175068225,0.635642102787817,0.648407653532811,TRUE
"RSV_genus50","Pseudoscardovia","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.0386256414787688,0.703278189188904,2.51991099182608,2.44115311570772,2.24404480455576,2.40399744244611,2.53572534055043,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",1.12208516413851e-05,0.000601562324107589,5.08454155118783,5.00871160624918,4.80527322846419,4.77894511976763,4.76474028437397,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.376817667312236,0.860791318842843,-0.0586184438420697,-0.0912616863956419,-0.0336082078013202,-0.0840544509470434,-0.0246638849270818,FALSE
"RSV_genus55","Turicella","Actinobacteria",0.713471136819011,0.860791318842843,-0.24493192717695,-0.248395785303581,-0.242711953975258,-0.245742168723768,-0.240792945755812,FALSE
"RSV_genus56","Dietzia","Actinobacteria",0.701925347330249,0.860791318842843,-0.240183577431642,-0.244267204607821,-0.244769469069765,-0.245742168723768,-0.236664803946104,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.908209350141374,0.919645354550289,-0.037393669386934,-0.00399763530952103,-0.0456493810988916,-0.0128491713767102,-0.0551608233988481,FALSE
"RSV_genus59","Gordonia","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus61","Nocardia","Actinobacteria",0.751616255087473,0.860791318842843,-0.247116214510647,-0.245866135623598,-0.240220184249016,-0.241661381366097,-0.245378924498612,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",0.6643764722867,0.860791318842843,-0.227815231466584,-0.237767606684494,-0.240637984533043,-0.230183343917026,-0.222678490866364,FALSE
"RSV_genus63","Williamsia","Actinobacteria",0.753414977050403,0.860791318842843,-0.247116214510647,-0.24108825205144,-0.246988723649999,-0.245742168723768,-0.242312940170593,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",0.699028963347534,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.24316621092627,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",0.759598603450571,0.860791318842843,-0.247116214510647,-0.244294958196957,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",0.743073332064907,0.860791318842843,-0.247116214510647,-0.248153237965196,-0.246988723649999,-0.245742168723768,-0.241523293686438,FALSE
"RSV_genus68","Frankia","Actinobacteria",0.758663477029846,0.860791318842843,-0.247116214510647,-0.245042150051143,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",0.768221782061493,0.860791318842843,-0.247116214510647,-0.238490047630611,-0.242063301540243,-0.239725790986325,-0.245378924498612,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",0.74770929967804,0.860791318842843,-0.244597416955186,-0.242194663896998,-0.230170868557042,-0.245742168723768,-0.238551208579708,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",0.803245145505499,0.860970139625554,-0.237792259767993,-0.241990323918478,-0.240461624263145,-0.239893896638422,-0.242721263542303,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",0.78438878371272,0.860791318842843,-0.247116214510647,-0.23809173313862,-0.242655273265211,-0.241960527107979,-0.243284824255229,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",0.697773345740348,0.860791318842843,-0.244080109722941,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",0.707266619907276,0.860791318842843,-0.237391438223416,-0.245764950381135,-0.243596990640023,-0.241415798823514,-0.238744936568275,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",0.758663477029846,0.860791318842843,-0.247116214510647,-0.245546830059981,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",0.772702627725949,0.860791318842843,-0.247116214510647,-0.244880823958623,-0.243791570743325,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus83","Kineosporia","Actinobacteria",0.704514977826449,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242210349248208,-0.240131793635552,-0.245378924498612,FALSE
"RSV_genus85","Quadrisphaera","Actinobacteria",0.757402506423708,0.860791318842843,-0.247116214510647,-0.245239084129637,-0.235786441775338,-0.239588774799448,-0.245378924498612,FALSE
"RSV_genus87","Georgenia","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus88","Brevibacterium","Actinobacteria",0.696202597577815,0.860791318842843,-0.227455045895104,-0.238366864277016,-0.236636379329276,-0.239168646765173,-0.23299817573441,FALSE
"RSV_genus89","Cellulomonas","Actinobacteria",0.778327410060993,0.860791318842843,-0.241167726611344,-0.240083233708619,-0.246988723649999,-0.241305601690479,-0.245378924498612,FALSE
"RSV_genus91","Tropheryma","Actinobacteria",0.695952375957088,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.242549201090439,-0.241715695737558,FALSE
"RSV_genus92","Demequina","Actinobacteria",0.708839241006652,0.860791318842843,-0.242926105218037,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus94","Brachybacterium","Actinobacteria",0.783684824663793,0.860791318842843,-0.241825297911473,-0.22930332614394,-0.224666562077239,-0.236091452759202,-0.228933578672506,FALSE
"RSV_genus95","Dermabacter","Actinobacteria",0.659202982402727,0.860791318842843,-0.240263733096624,-0.250656047848886,-0.239948013189074,-0.241345541316908,-0.245378924498612,FALSE
"RSV_genus96","Dermacoccus","Actinobacteria",0.676051061233513,0.860791318842843,-0.238329721791924,-0.250656047848886,-0.246988723649999,-0.241539384217612,-0.238744936568275,FALSE
"RSV_genus97","Kytococcus","Actinobacteria",0.687050221280828,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.243624611145682,-0.24296412563376,FALSE
"RSV_genus98","Mobilicoccus","Actinobacteria",0.753180714227202,0.860791318842843,-0.247116214510647,-0.247073616472794,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus99","Aquipuribacter","Actinobacteria",0.7082808107693,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.242352858738736,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus100","Arsenicicoccus","Actinobacteria",0.692136730207111,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.24207392089014,-0.245742168723768,-0.240978674898948,FALSE
"RSV_genus101","Janibacter","Actinobacteria",0.819855529249937,0.86465637784283,-0.235841597100365,-0.22629053718663,-0.228828451681271,-0.232450235079981,-0.236499470537014,FALSE
"RSV_genus102","Knoellia","Actinobacteria",0.725454259545006,0.860791318842843,-0.244344095466933,-0.247955062359986,-0.241287192964872,-0.245742168723768,-0.23463288811264,FALSE
"RSV_genus104","Ornithinibacter","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus105","Ornithinimicrobium","Actinobacteria",0.757081994137104,0.860791318842843,-0.247116214510647,-0.247642364455147,-0.235688617722278,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus106","Phycicoccus","Actinobacteria",0.764074225229408,0.860791318842843,-0.247116214510647,-0.240607415459001,-0.240220184249016,-0.243624611145682,-0.245378924498612,FALSE
"RSV_genus107","Serinicoccus","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus108","Terrabacter","Actinobacteria",0.70894436874976,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.243904015263771,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus109","Tetrasphaera","Actinobacteria",0.702914050874102,0.860791318842843,-0.243352013945042,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus110","Agromyces","Actinobacteria",0.743609257062075,0.860791318842843,-0.247116214510647,-0.24199069879571,-0.240077909651382,-0.244103229912735,-0.242876500883519,FALSE
"RSV_genus111","Candidatus Limnoluna","Actinobacteria",0.696976999473433,0.860791318842843,-0.242003258155126,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus112","Candidatus Rhodoluna","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus113","Clavibacter","Actinobacteria",0.742924998099099,0.860791318842843,-0.239755289495992,-0.243965984703216,-0.246988723649999,-0.245742168723768,-0.24182770544059,FALSE
"RSV_genus114","Cryobacterium","Actinobacteria",0.719215550918483,0.860791318842843,-0.247116214510647,-0.243536862259501,-0.246988723649999,-0.243054737634546,-0.225630767132529,FALSE
"RSV_genus115","Curtobacterium","Actinobacteria",0.778467630026302,0.860791318842843,-0.232404771019061,-0.237960526604719,-0.239152937384701,-0.243397377386707,-0.243284824255229,FALSE
"RSV_genus116","Frondihabitans","Actinobacteria",0.742352004347616,0.860791318842843,-0.245425628468174,-0.248395785303581,-0.246988723649999,-0.245742168723768,-0.24398285766969,FALSE
"RSV_genus117","Gryllotalpicola","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus118","Herbiconiux","Actinobacteria",0.686384391987082,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.242691524860678,-0.245378924498612,FALSE
"RSV_genus119","Leifsonia","Actinobacteria",0.706573567576597,0.860791318842843,-0.247116214510647,-0.248540928121651,-0.246988723649999,-0.242181570392335,-0.245378924498612,FALSE
"RSV_genus120","Leucobacter","Actinobacteria",0.749103806288716,0.860791318842843,-0.247116214510647,-0.240112410209192,-0.246988723649999,-0.243760590160575,-0.245378924498612,FALSE
"RSV_genus121","Lysinimonas","Actinobacteria",0.791124804121308,0.860791318842843,-0.240511321065099,-0.236374433944485,-0.243135022569269,-0.245742168723768,-0.242059854140098,FALSE
"RSV_genus122","Marisediminicola","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus123","Microbacterium","Actinobacteria",0.641431223743463,0.860791318842843,-0.23674322283206,-0.250656047848886,-0.243194328707108,-0.239975406524037,-0.245378924498612,FALSE
"RSV_genus124","Microcella","Actinobacteria",0.697250927215901,0.860791318842843,-0.243969436912376,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus126","Pseudoclavibacter","Actinobacteria",0.697807810516853,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.240983687222279,-0.245378924498612,FALSE
"RSV_genus127","Schumannella","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus128","Arthrobacter","Actinobacteria",0.682813986829516,0.860791318842843,-0.22643904024351,-0.243911963324354,-0.233638722406816,-0.241555942792838,-0.2293934200861,FALSE
"RSV_genus129","Auritidibacter","Actinobacteria",0.709072356840867,0.860791318842843,-0.247116214510647,-0.250656047848886,-0.246988723649999,-0.245742168723768,-0.245378924498612,FALSE
"RSV_genus130","Citricoccus","Actinobacteria",0.695365986278709,0.860791318842843,-0.23702960734149,-0.246619556472033,-0.242857239113278,-0.245742168723768,-0.24027428783978,FALSE
"RSV_genus131","Kocuria","Actinobacteria",0.530492171785347,0.860791318842843,-0.197038468796481,-0.22385910164122,-0.225870384503851,-0.205646133845293,-0.211396881649728,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.618450705593715,0.860791318842843,-0.1813364495951,-0.187815693786915,-0.17309399026011,-0.168516328397731,-0.173672683281023,FALSE
"RSV_genus134","Nesterenkonia","Actinobacteria",0.559245056153903,0.860791318842843,-0.235913244421821,-0.236890688931758,-0.226746728794607,-0.213590896664042,-0.229256285248386,FALSE
