"OTU","Genus","Phylum","p_value","p_adj_BH","X30.39","X14.19","X20.29","X40.49","X50.59","X60.69","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.21373472798866,0.267564215037656,0.0272596550519403,0.0262278453230769,0.0279804571284404,0.0256900197885305,0.0257823371770492,0.0276622917485381,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",3.34153345153183e-20,9.57151107303186e-20,4.28340853731343e-05,4.58401721893491e-05,6.17337345183486e-05,3.26745878136201e-05,3.04562950819672e-05,2.33086640675764e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",4.78056802926416e-07,9.18086360165503e-07,3.51320226865672e-05,1.64408461538462e-06,2.0138997706422e-05,2.57364366786141e-05,4.17581855737705e-05,1.54940552306693e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",4.14715216631511e-91,5.39129781620964e-90,0.000295722376716418,0.000116628317159763,0.000189884510321101,0.000401595850657109,0.000465926129836065,0.000511190352176738,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",2.62992112640113e-63,2.02025759255359e-62,0.000774470067462686,0.000381681222485207,0.000569436972477064,0.000934492194145758,0.000913313667540983,0.00104773520922677,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",2.73798104314719e-06,5.19908759878512e-06,7.31963850746268e-05,4.37909680473373e-05,5.75426163990826e-05,4.70645794504182e-05,4.07070596721312e-05,4.2704196231319e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",7.01516844511745e-08,1.39478054967629e-07,6.56183504477612e-05,5.87955029585799e-07,4.00574535550459e-05,9.02779772998805e-05,6.15779586885246e-05,3.74913066926576e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",2.91219215704812e-42,1.40617278440323e-41,0.000246332525970149,3.96891852071006e-05,0.000204521265481651,0.000257614491636798,0.000272343531803279,0.00027415544574399,FALSE
"RSV_genus51","Scardovia","Actinobacteria",5.22907892505352e-48,3.04729082184154e-47,0.00140427904895522,0.00102692174556213,0.0018130395103211,0.00208689604062127,0.00128215463672131,0.0013666132605588,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",2.59332510914097e-31,9.13066548843384e-31,0.00485654102925374,0.00566305804792899,0.00526959267029816,0.00471994351851851,0.00455566375803279,0.00451942510071474,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",2.52356923988491e-09,5.26522471037715e-09,1.35421773134328e-05,1.50770656804734e-05,0.000419869290711009,1.92696768219833e-05,8.85583337704919e-05,0.000429210412605588,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.868744999237735,0.895231127263276,0.000291810337313433,0.000110883989940828,3.98042167431193e-05,0.00010604863739546,0.000127812274754098,0.000408244927225471,FALSE
