"OTU","Genus","Phylum","p_value","p_adj_BH","College.AA","X..9th.Grade","X9.11th.Grade","High.School","College.Graduate","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",2.33537784877838e-06,5.26238475258061e-06,0.0278107989363785,0.0238284673726334,0.0258757502206224,0.0279275989694933,0.0268716539120204,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.660871168917018,0.689427330536889,3.51070970636215e-05,3.33130705679862e-05,3.72025954482118e-05,4.46389922440538e-05,4.60236291560102e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",7.56329194882914e-12,2.45806988336947e-11,2.88192018760196e-05,5.47856626506024e-06,2.90978936367859e-05,3.95606365046536e-05,5.67970281329923e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",7.51046090893781e-12,2.45806988336947e-11,0.000342389209624796,0.000211902006884681,0.00026459669577334,0.000426664489658739,0.000351679141176471,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",3.37694725461359e-34,7.13380107537122e-33,0.00089917788132137,0.000516904658347676,0.000932489155132372,0.000914951079110652,0.00044373343887468,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",1.24326221585309e-05,2.59396684542188e-05,5.2722146411093e-05,2.62454079173838e-05,6.36222796098467e-05,6.3084556876939e-05,3.93949345268542e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",3.47902616314499e-06,7.73625554699346e-06,7.9910354812398e-05,9.80232185886403e-06,5.5441646539712e-05,7.21814948293692e-05,8.5684547314578e-06,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",3.66210478381506e-17,1.67269110395877e-16,0.000265305338499184,0.000126393547332186,0.000241481887598699,0.000310270637021717,9.35609099744246e-05,FALSE
"RSV_genus51","Scardovia","Actinobacteria",6.70697204901058e-18,3.14855076745219e-17,0.00184172819168026,0.000960887433734941,0.00178486203483511,0.00159357357755946,0.0010186406803069,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.214267262899902,0.306874300254944,0.00486571889967373,0.0052683807203098,0.0047490113181607,0.00473635972388831,0.00514533653861893,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.250570357456623,0.330831175079447,7.23626876019576e-05,0.000479635839070568,2.47211100789596e-05,0.000263475490692865,0.000157499265473146,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.246720420683288,0.328313000751777,0.000250227646003263,0.000144283734079174,0.000245168161634928,7.72165268872802e-05,0.000145275510997442,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.46456313205263,0.541456340116514,2.10461525285481e-05,5.08483881239243e-05,1.30414407803066e-05,1.09338117890383e-05,1.67834987212276e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",5.93198273672076e-10,1.61694368146098e-09,0.112381484907014,0.101277728016351,0.104549028199721,0.113180834942089,0.115540547894117,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.00669234167824509,0.0120319759959938,1.04687752854812e-05,1.95869053356282e-05,1.28127259637715e-05,1.33859488107549e-05,5.7642716112532e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.278562125426215,0.361911842869963,6.36102446982055e-06,6.21934767641997e-06,6.96923502090107e-06,5.98446277145812e-06,8.74114987212276e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",1.12859424944155e-21,8.29271426763572e-21,0.00688528574102774,0.00518514521600688,0.00632557348583371,0.00715101962254395,0.0056133395421995,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",1.1475585078054e-23,9.69686939095559e-23,0.000101198656606852,7.2451273666093e-05,0.000106201843009754,0.000119074689762151,6.60963780051151e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",1.00701151707593e-20,6.54557486099354e-20,0.000131634520799348,8.22284518072289e-05,0.000125647548536925,0.000150878907445708,7.30752439897698e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.0084282058522036,0.0145343549900246,9.39490619902121e-07,5.13889845094664e-07,2.40286251741756e-06,1.50752688728025e-06,3.98330434782609e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.000253270173345448,0.000497705340643961,1.75164535073409e-05,7.69347332185887e-06,1.07065178820251e-05,1.15554374353671e-05,8.76848337595908e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0105782300843559,0.0178772088425615,0.00083504948858075,0.00147077309724613,0.00217070392289828,0.00111741561116856,0.00181632122250639,TRUE
"RSV_genus233","Phocaeicola","Bacteroidetes",1.54928404174191e-29,2.01406925426449e-28,0.000107176362969005,8.79492831325302e-05,9.44037960984672e-05,0.000129647628231644,5.02535125319693e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.602053314280018,0.639918302599516,4.92801553833605e-05,0.000173823090361446,0.000122371078959591,0.000103997126680455,8.29466746803069e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",8.97417312291198e-34,1.51663525777212e-32,2.06635554649266e-05,4.9240061101549e-05,2.64769516953089e-05,2.6212892450879e-05,6.85427007672634e-06,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.632381994697391,0.66795348189912,4.22203723491028e-05,7.32694208261618e-05,5.63033427775197e-05,5.10375160289555e-05,2.3804578516624e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",4.45180097389801e-30,6.26961970490637e-29,0.0158428046223491,0.0204932383562823,0.0183121299758476,0.0179159749560497,0.0139910104352942,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",2.45832145189965e-08,6.10965184369177e-08,0.00105622395921697,0.000967676209122203,0.000965939933116581,0.00112206266959669,0.000794627026598466,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",2.12496739475515e-10,6.08677101209525e-10,0.0204815460827896,0.0238364031987952,0.0242793526595448,0.0213961321251293,0.0199378359437341,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.36294982501471,0.444482032083231,0.0246909504698205,0.0252024176540448,0.0236314844807246,0.0238658809963805,0.0239493521273657,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",6.70108489426718e-08,1.61783335304451e-07,0.00155820017577488,0.00263337105765921,0.00207360236878774,0.0016500147745605,0.00155394549258312,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",1.79503337788625e-08,4.59637334640571e-08,0.00597501383156606,0.00502878022289157,0.0053254697343242,0.00581177913805585,0.00623835425933505,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.00938641600251755,0.0160232758022774,0.0798308352210441,0.0754206183872634,0.0746487940143985,0.0786691179307136,0.0791021437964195,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.47200726048031,0.542647802865119,0.000113254671696574,0.00025628162908778,8.97060297259638e-05,6.51473376421923e-05,6.23086572890026e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.501585136669191,0.565119253980622,4.64735827895596e-05,0.000139238610154905,6.38686999535532e-05,3.21548940020683e-05,2.57812076726343e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",4.06950351353699e-09,1.05807091351962e-08,3.26065787112561e-05,1.27796437177281e-05,2.29068759869949e-05,3.65105610134436e-05,1.1316274168798e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",6.27909171713888e-14,2.45932990035153e-13,0.00400354440293637,0.00693092832099828,0.00630370760659546,0.0040387093836608,0.00486776156675192,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",1.33404553836817e-10,3.95532799972316e-10,0.0034030773132137,0.00339426478743546,0.00273909092382722,0.00282343257549121,0.00361679259181586,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.805725244041825,0.825257977230718,5.12692618270799e-06,1.59136342512909e-05,4.89082350209011e-06,1.27102714581179e-05,9.814420971867e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.30956910980369,0.387534663383879,0.000591910460440456,0.00148494773924268,0.000670992190431956,0.000299566819544984,0.00045285181432225,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.545440081568574,0.590893421699289,5.49236663947798e-06,2.70935025817556e-06,7.08033999071064e-06,6.87622285418821e-06,1.26283964194373e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",1.94957757267678e-10,5.68066568590303e-10,0.046447341562398,0.0529614353476765,0.0492270693803994,0.0452033268624611,0.0477131691693094,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.00784952015090529,0.013675968097969,0.000159167557911909,0.000222128371772805,0.000210623545285648,0.000190049019131334,0.000128305281329923,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",1.74416992911494e-19,9.82549060068083e-19,0.00197883506892332,0.00243414492254734,0.0020952427124942,0.00176776754084798,0.00170696478209719,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.381845011703472,0.464257604157459,1.66353017944535e-06,2.35782271944923e-06,2.39183929400836e-06,3.21797259565667e-06,2.55753350383632e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",8.38329565610835e-06,1.79338856440799e-05,0.0250739708641924,0.0262129892693632,0.0255906360501625,0.0239046651830403,0.0249564223539642,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",2.96074167586154e-41,2.501826716103e-39,0.0057224988331974,0.00322749446041308,0.00546883778402228,0.00580496214270942,0.00191178196112532,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.527013687434278,0.581572169396491,2.54063947797716e-06,1.23594750430293e-06,3.08545239201115e-06,3.88783247156153e-05,5.04827109974425e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.529953337793252,0.581572169396491,5.17455954323002e-06,1.44149475043029e-05,1.98527914537854e-06,5.36071406411582e-06,0.000184511715601023,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.582437401503706,0.623130055046672,0.000108281681076672,1.76025447504303e-05,4.47150928936368e-05,0.00015810145139607,2.55144092071611e-05,FALSE
