"OTU","Genus","Phylum","p_value","p_adj_BH","White","Black","Mexican","Other","Other.Hispanic","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",1.41697234363956e-29,5.20583317554533e-29,0.0281780594322799,0.0298250082350481,0.0226421410467836,0.0229709802587646,0.0261617425338646,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",5.75930327468919e-12,1.20163241163268e-11,3.53428812076749e-05,4.93849247176913e-05,4.41354035087719e-05,2.55027587646077e-05,4.43599501992032e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.11891270651749e-12,2.39362338482856e-12,3.62760928329571e-05,3.02280961940611e-05,7.91668888888889e-06,6.37489816360601e-06,5.32262450199203e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",1.87075236286173e-40,1.17095240490234e-39,0.000480419549379233,0.000256741114596403,0.000239103741520468,0.000150289467445743,0.000286590746015936,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.56698283298628e-53,1.55776528690989e-52,0.000904207199492097,0.000957394558762026,0.000501431604678362,0.000442623650250417,0.000621147998007968,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",9.64809050462619e-07,1.61438346067507e-06,6.60148772573364e-05,7.02270175658721e-05,2.07264584795322e-05,1.63177554257095e-05,4.65046762948207e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",1.6563641856533e-09,3.11028385972674e-09,8.76108106659142e-05,3.97419489753241e-05,7.13252923976608e-06,3.64842378964942e-05,2.19870189243028e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",9.48937235320739e-21,2.71814225032551e-20,0.000273172905474041,0.000258805437892095,0.000131896509356725,0.000156373364774624,0.00010463711752988,FALSE
"RSV_genus51","Scardovia","Actinobacteria",1.64912815401894e-09,3.11028385972674e-09,0.00163208591704289,0.00162064087620242,0.000998105463157897,0.00110892294991653,0.00209886334960159,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",9.78280842197579e-14,2.23418192339717e-13,0.0049292755411964,0.00451176409995818,0.0048990913988304,0.00574058216944908,0.00516709924402391,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.384828838358397,0.403950768214715,0.000127090335778781,4.62949966541196e-05,0.000587276501169591,1.70593038397329e-05,2.24101633466135e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.00179861615631088,0.00230277371527681,0.000349246150959368,3.74099665411961e-05,0.000215300621052632,1.40147245409015e-05,3.40573725099602e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.224979927870546,0.245300695549176,1.5346802765237e-05,2.33580012547051e-05,4.14978830409357e-05,5.56460350584307e-06,5.59321314741036e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",1.20480698766707e-23,3.99239962579874e-23,0.119529283159707,0.109567349542869,0.0953396071953216,0.103916190111018,0.107858722938247,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.00110634659084613,0.00143825056809997,1.61935222911964e-05,6.94920117105814e-06,1.48110035087719e-05,8.05273706176961e-06,4.32611354581673e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",6.12259602609521e-07,1.03471872841009e-06,5.32653668171558e-06,4.6512634880803e-06,7.49120233918129e-06,1.31083180300501e-05,9.24661454183267e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",1.19326165220254e-90,4.0332243844446e-89,0.00700206030191873,0.00790256620075282,0.00475650723742691,0.00430370015191987,0.00564344207370518,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",2.44843884345471e-33,1.06099016549704e-32,0.000110081144469526,0.000121982508992054,6.43268590643275e-05,6.27748747913189e-05,6.71323416334662e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",1.49534067033438e-16,3.71636137186044e-16,0.000106429953724605,0.000158105143454621,0.000107285243859649,8.96103956594323e-05,8.71675707171315e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.00114069414101664,0.00147158251780009,1.90672121896163e-06,1.25589878711836e-06,6.12461988304094e-07,3.6043489148581e-07,6.02731075697211e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",8.00894376513706e-05,0.000119779778434351,1.12275079006772e-05,1.63738569636136e-05,7.92376725146199e-06,1.13376076794658e-05,8.73398207171315e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",6.07911024321871e-07,1.03471872841009e-06,0.00162067146980813,0.00122898336721037,0.00154733193333333,0.0020138825509182,0.000656378233067729,TRUE
"RSV_genus233","Phocaeicola","Bacteroidetes",7.8498166768081e-55,8.29136886487856e-54,5.6414013544018e-05,0.000119790681723128,0.000136130902923977,9.9647398163606e-05,8.68492669322709e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",3.82705140661989e-11,7.60907867904426e-11,9.94712017494357e-05,8.31860447511501e-05,0.000136073442105263,0.000107141535058431,6.74144571713147e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",5.87721585979429e-78,1.10361053367248e-76,6.7018987020316e-06,2.7361843161857e-05,5.33809362573099e-05,1.1712347245409e-05,3.55446942231076e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0021680618330005,0.00275490563742168,5.05240186230248e-05,2.64728511083229e-05,8.76840040935672e-05,3.71412429048414e-05,1.83641025896414e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",4.30628655322225e-81,9.097030343682e-80,0.0136461133400113,0.0172453106286073,0.0212521792298245,0.0183212018105175,0.01880363412251,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",5.69838698116496e-39,3.10653999940928e-38,0.000840214088318284,0.00103559471643664,0.0011805682502924,0.00100673734724541,0.000968602079681275,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",1.22402204548309e-24,4.13719451373284e-24,0.0201289890259594,0.0215420183596821,0.0258442798859649,0.0213802286419032,0.0227214500587649,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",4.01154315015624e-20,1.11139474160066e-19,0.0223391416179458,0.0243911891877876,0.0270569722824561,0.0251589416277128,0.0243376499193228,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",1.85570275805394e-77,2.85103423737378e-76,0.00136545365095937,0.00183554486198244,0.0025454790122807,0.00215549827629382,0.00178502836454184,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",1.45750462231172e-14,3.56983016189393e-14,0.00649850513713319,0.0061067238782936,0.00467669318187134,0.00465241935976628,0.00509812640438247,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",1.37535619242275e-05,2.19278487282496e-05,0.0789094299461061,0.0800485410000001,0.0778108882701754,0.0716996384457429,0.0753376199312748,TRUE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.548866721168678,0.558785999262088,7.56102900677201e-05,5.55982342116269e-05,0.000411735607017544,1.88842270450751e-05,1.52575946215139e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.391007450761091,0.407902834435953,3.37193690744921e-05,3.9692800083647e-05,0.000157844725730994,1.24262679465776e-05,2.7460688247012e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",3.44725490288749e-18,8.96286274750747e-18,2.32487195259594e-05,3.32489088247595e-05,1.64547111111111e-05,5.96679215358931e-06,4.08647788844622e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",6.79154474510311e-37,3.47809412703765e-36,0.00499990952088036,0.00418908857800083,0.00570915200818713,0.00577619230550919,0.00587588777290837,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",1.92332724706253e-47,1.62521152376784e-46,0.00300091144272009,0.00248398553617733,0.0031965972,0.00508489399081804,0.00312325530378486,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.526745836172877,0.53951543220131,7.38538318284424e-06,1.13043074027604e-05,1.29978222222222e-05,6.65343906510851e-06,2.10175896414343e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.323284328487494,0.341469071964915,0.000713036862020317,0.000222183838143037,0.00138888445789474,0.00048038652754591,0.000238921798804781,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",6.85679393913495e-05,0.00010346412283159,1.26655699774266e-05,1.34231869510665e-06,6.01832280701755e-06,8.85066694490818e-06,2.32977290836653e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",2.1959682549763e-21,6.51085324721043e-21,0.0447865919593678,0.0457227422404852,0.0513249579040934,0.0540522476043405,0.0516040032320717,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.0228406014314486,0.0279714611732958,0.000272977080981942,0.000120560239230447,0.000242520078362573,9.61265409015025e-05,6.77240348605578e-05,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",1.17100168860974e-08,2.12794930510803e-08,0.00190008567889391,0.00194583185027186,0.00199200303918129,0.00231052468196995,0.0018235293376494,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.233049639049305,0.252470442303414,1.90432703160271e-06,1.97665872020075e-06,4.95038538011696e-06,9.7657429048414e-07,2.36104780876494e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",3.24480486396915e-06,5.3761962942234e-06,0.0253920099562641,0.0252519853458804,0.0237726506988304,0.0264833857170284,0.0242441108167331,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",2.01334133026464e-66,2.83545570678936e-65,0.00619461253752821,0.00616674548389797,0.00191602818187134,0.00196368784223706,0.00242611446115538,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.130688815709013,0.149232499019075,7.74302878103837e-06,1.40481346716855e-06,3.88344771929824e-05,2.01275959933222e-06,1.23436454183267e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.987075761631323,0.987075761631323,9.80981029909706e-05,1.41165273943957e-05,4.8332514619883e-06,9.67540484140234e-06,3.51815836653386e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",4.81192973128615e-08,8.56016973249852e-08,0.000145964793735892,4.13371685487244e-05,4.36202128654971e-05,5.76988480801335e-06,4.42763884462151e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",7.04059831397354e-12,1.45105014031894e-11,0.326641193682844,0.32850143102133,0.303892020921637,0.326247793528381,0.325326000108566,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",3.03124562327669e-14,7.1150070879689e-14,7.03332768058691e-05,7.61521982434129e-05,5.52633584795322e-05,9.94461686143572e-05,1.74797360557769e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.00822335768177906,0.010144141957815,8.89066111738149e-06,3.15135520702635e-05,2.7898701754386e-06,6.20970367278798e-06,7.19194322709163e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",1.60808708864996e-77,2.71766717981843e-76,0.000123097913939052,0.000236714973651192,0.000374049642105263,0.000218434372287145,0.00024769763247012,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",5.86757340912012e-43,3.9664796245652e-42,5.52016275395034e-05,0.000108094819322459,9.29696923976609e-05,4.8738470784641e-05,5.93064422310757e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",6.63871650457179e-11,1.30458498752632e-10,5.23696410835214e-05,2.06581258887495e-05,5.03482883040936e-05,8.41897328881469e-06,5.39732470119522e-06,FALSE
"RSV_genus562","Ezakiella","Firmicutes",3.67699543178166e-28,1.29460880827313e-27,1.22299300225734e-05,3.89754081974069e-05,3.84605847953216e-05,1.13212011686144e-05,1.96514651394422e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",1.51504005929251e-10,2.94300885080959e-10,2.81462119074492e-05,4.17175842743622e-05,6.0978001754386e-05,5.52365776293823e-06,5.37266523904383e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",1.42851710804104e-22,4.38944347743518e-22,4.04030022573364e-06,5.77656407360937e-05,2.27967321637427e-05,1.26022804674457e-05,1.17180258964143e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",2.53329682796349e-14,6.02996005529339e-14,0.00458772029176072,0.00568921687996654,0.00448419417719298,0.00460456332721202,0.00478045495717132,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",1.9234588085857e-29,6.91626677980815e-29,4.92121218961626e-05,5.40499928900042e-05,2.90212409356725e-05,1.15552429048414e-05,2.25147788844621e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",2.78526194924185e-23,8.88130697022401e-23,9.03498645598194e-06,2.64760882475951e-05,3.02000888888889e-05,1.95348606010017e-05,7.71712450199203e-06,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",8.72732132347918e-42,5.67275886026147e-41,8.06635409142212e-05,0.000111033413634462,0.00011988124619883,8.92599641068447e-05,9.85131932270916e-05,FALSE
