"OTU","Genus","Phylum","p_value","p_adj_BH","Female","Male","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",1.83010520205588e-09,9.0966993866895e-09,0.0253165497672238,0.0282281581064562,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",5.0623218497254e-09,2.44437826458169e-08,3.55243000407665e-05,4.44471857923498e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.725022301197799,0.780438018486803,2.35698424378312e-05,2.26113711799231e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",2.40974606487813e-21,1.35749028321468e-19,0.000260081276192418,0.000388012029143898,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.92799324554236e-06,6.51661716993319e-06,0.000720994259070527,0.000803033118194695,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.0568592813154981,0.0967192977141038,5.90154639217285e-05,4.33153750252986e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.331918072573297,0.422155479535131,5.76317321646963e-05,4.06302659380692e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.0450092844458987,0.0809209475676263,0.000230783838361191,0.000196850244080146,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.249577654612765,0.340150190560945,0.00171853617916837,0.00128930078303987,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.143606854833817,0.214774853689514,0.00506235087892376,0.00482969407832422,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.104108644379001,0.164433279439731,0.000137317198328577,0.000189152191661607,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.0456880212515054,0.0812765851737307,0.000188263079086832,0.000166505611617082,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.296816105181717,0.388852106788451,2.94552099470037e-05,9.91178931390407e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.881399795509012,0.902767063278927,0.109901655555647,0.109739379074277,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.15544363770152,0.230438375189095,1.16016402364452e-05,1.1415735478648e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0191536067748318,0.0385352326779354,7.76319058295965e-06,6.01285691155636e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",6.48050732902876e-15,9.95641580550783e-14,0.00589130706869141,0.00683324448836267,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",1.2597770888389e-06,4.34494546966885e-06,8.91324679983693e-05,0.000100608776968225,FALSE
"RSV_genus201","Olsenella","Actinobacteria",6.6370736002632e-13,5.6083271922224e-12,9.46251767223808e-05,0.000135461100789314,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.538459440712257,0.619045207349466,1.54648430493274e-06,8.61662618903056e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",4.15085663240459e-06,1.29906439051181e-05,1.01789977578475e-05,1.31356063549889e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.233679485069532,0.326378784931826,0.00140579885324093,0.00151849471645416,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",2.10260820963623e-06,6.96746642016711e-06,8.18694855279249e-05,0.000106062978951629,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.252322843380195,0.341140484250024,0.000135508323481451,6.38221406597855e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",1.30532430521057e-05,3.73897978950147e-05,1.8596278638402e-05,2.81198176482494e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0675888150938836,0.110898152921032,4.31444553607827e-05,4.92935490791338e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",1.88655643134926e-08,8.41907740685352e-08,0.01595552477925,0.0179086083250354,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",1.89304699089014e-08,8.41907740685352e-08,0.000925749736241338,0.00103408561586723,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.0225152484229854,0.0437365170515463,0.0216870907505096,0.0220738320503946,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.358572029432529,0.442326080102901,0.0241782809231553,0.0242285853521554,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.820851025806581,0.85631989729205,0.0020279704523033,0.0016203110684072,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.365408485925779,0.44427362677307,0.00559927963086017,0.00583911673224042,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.053706386993208,0.09261611634543,0.0764959210529964,0.0790030052185791,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.0965670292626216,0.154833024354829,0.000181021225030575,5.15721378263509e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.663281247674157,0.727886564006056,4.48976414594374e-05,6.20341592794981e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.312146875612149,0.402693297545445,2.2845836526702e-05,2.55259947379073e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.000286410354914545,0.000722438059411316,0.00561488970933551,0.00460859357579437,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.334726829927263,0.422155479535131,0.00340938995046881,0.00294304898016596,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.902413612942655,0.907785122543504,1.04477778230738e-05,6.9323742157458e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.12270226162788,0.186816956892898,0.000705662141867102,0.000563982735681037,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.166212031509556,0.242153735561336,9.78993783122707e-06,4.71571584699454e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.000917971911508612,0.00215468407006882,0.0498407161812066,0.0461159471578628,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.000996192670066616,0.00230625426357888,0.000227096706278027,0.000149649408419349,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.208182943443009,0.298160317303971,0.00197113499836934,0.00196744718053025,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.791613951918433,0.841400992919592,2.86182266612311e-06,1.91066808338393e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.110885630939225,0.173515478043787,0.0254426252865879,0.0247449254472778,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",0.000720531177612482,0.00173956812880728,0.00441580761312677,0.00467499863995144,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.942301361852296,0.942301361852296,1.63419035874439e-05,4.18627160493827e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.804667856654979,0.844651352637835,1.03982425601305e-05,7.16022550091075e-05,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0378188077482119,0.0702349286752507,0.000106305636363636,4.46381961141469e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",6.51275974677244e-12,4.23329383540209e-11,0.330539119444762,0.315435318461849,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.0692183147382393,0.112479761449639,6.33206475743987e-05,7.12156344869459e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.456133723123685,0.535323605610436,2.13066243375459e-05,4.40350556567496e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",1.8219550988358e-15,3.42122679670278e-14,0.000174518695067265,0.000262305905687108,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",1.60635519558731e-07,6.03275617898344e-07,6.13538102323686e-05,8.70265164946366e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.115724936775544,0.177795584682427,4.73522721157766e-05,2.11053950617284e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",5.53521966610881e-06,1.70082204285889e-05,1.95014794129637e-05,2.83180095122445e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0971142046249224,0.154833024354829,5.99764910313901e-05,1.41840797409431e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",3.98336268825619e-06,1.27016659304773e-05,1.52765976355483e-05,2.90091732442825e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",1.85283590044141e-12,1.42331485079363e-11,0.00453471701161841,0.00518079180348108,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",2.15349578499947e-08,9.33181506833102e-08,3.91894015491235e-05,3.9962038048978e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",5.13036727698643e-13,4.56332668321424e-12,1.40457996331023e-05,2.21025164946367e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",2.20278391273113e-15,3.72270481251562e-14,8.13360631879331e-05,0.000113975990487756,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",8.59048711572846e-16,1.81474040319764e-14,0.000383436221157766,0.000599770762801053,TRUE
"RSV_genus580","Mogibacterium","Firmicutes",3.50035829938866e-14,4.55046578920526e-13,0.00229921970281288,0.002742377616272,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",3.40829699640712e-08,1.40488339608001e-07,0.00105853824622911,0.0012574111489577,TRUE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",7.57719470147231e-13,6.09783764070867e-12,0.00169909685629841,0.00206637830418943,TRUE
"RSV_genus589","Blautia","Firmicutes",0.439198084710489,0.519052281930577,3.14444995923359e-05,7.24241969236997e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.000238021844772759,0.000609480178281761,0.000184001581328985,0.000203038218174459,FALSE
"RSV_genus592","Catonella","Firmicutes",5.79371802860705e-10,3.0598073338581e-09,0.000693695205055035,0.000809102753693583,FALSE
"RSV_genus600","Howardella","Firmicutes",3.4050603918773e-10,1.91818402075755e-09,1.81469775784753e-05,2.37435652701882e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.625338628019655,0.699882305531931,1.40083874847126e-05,2.03213222019834e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",4.66468668163368e-07,1.64235843582519e-06,0.000226462686098655,0.000282761095527221,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",4.4477886584199e-14,5.36911630909259e-13,0.0021903393365267,0.00254203721797207,TRUE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.334685893874963,0.422155479535131,6.93557635548308e-05,0.00011199477980166,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.0491231143674191,0.08558563224839,6.71976526701997e-05,6.82055355191256e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",1.56670283226638e-13,1.55748693325305e-12,8.38470852017938e-06,1.70301829589152e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",2.27928887773055e-18,9.62999550841157e-17,0.00299230523766817,0.00352139559967619,TRUE
"RSV_genus630","Shuttleworthia","Firmicutes",5.76472628783322e-12,3.937718934851e-11,0.000165470290868324,0.000213588627605748,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",1.35932128676885e-35,2.29725297463935e-33,0.00243293570403587,0.00284946956102004,TRUE
"RSV_genus644","Peptococcus","Firmicutes",9.22503822460546e-17,3.11806291991664e-15,0.000557182449449652,0.000736835819267354,FALSE
"RSV_genus646","Filifactor","Firmicutes",1.19997664542244e-16,3.37993421793987e-15,0.00109549487015899,0.00165274414754098,TRUE
"RSV_genus649","Peptoclostridium","Firmicutes",9.17562113726207e-10,4.69903021877967e-09,0.000265272380146759,0.000310574539364502,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",3.2050315459019e-06,1.04163525241812e-05,0.00323245855177334,0.00363948237968023,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0153060984083841,0.0315454955002062,4.84116836526702e-06,4.7093294879579e-06,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.030061034024048,0.0570821882029675,0.000160424541989401,0.000188666601700061,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",0.00470138283301598,0.00993167123474625,3.72276722380758e-06,5.69924752074479e-06,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.760267186482457,0.81319718047807,0.000154807150835712,9.21596164743979e-05,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.564212994771188,0.644270244029262,7.09818283734203e-06,1.20674952438778e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",2.09690989606528e-13,1.96876540241685e-12,0.00145317308744394,0.00177196665492815,TRUE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.248637124063523,0.340150190560945,2.1106283530371e-05,5.5331943938474e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.157409289393902,0.23132321658756,0.000125201945169181,0.000109444299129731,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.620770270988162,0.699401171979996,3.62923897268651e-05,6.34706265938069e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.000134878708673773,0.000356164090091681,2.12346351406441e-06,5.89471038251366e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",3.30762324595036e-08,1.39747082141403e-07,0.000371961496534855,0.000396136868245294,FALSE
"RSV_genus703","Eggerthia","Firmicutes",1.94922022477199e-21,1.35749028321468e-19,8.20297413371382e-05,0.000133292232341631,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.00372478019701047,0.00807035709352268,7.8483673053404e-07,1.79083687512649e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",8.52751871878198e-14,9.00719164671346e-13,5.29148785161027e-05,7.60791082776765e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.255783940177714,0.343075284841536,1.13514635140644e-05,1.7675357619915e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",3.47015273245343e-14,4.55046578920526e-13,0.00275914036322869,0.0032472211831613,TRUE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.719176457027323,0.779107828446267,2.36386659192825e-05,2.9285729811779e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",1.46690318412233e-05,4.13177730194456e-05,0.000723158389726864,0.000929483256021048,TRUE
"RSV_genus728","Centipeda","Firmicutes",0.000199401299084402,0.000518443377619446,5.52922189156135e-05,6.10056134385752e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",4.52614273425569e-12,3.32573096560527e-11,0.00208175763860579,0.00243010338312084,TRUE
"RSV_genus731","Megasphaera","Firmicutes",1.01282404469122e-11,6.33952827973395e-11,0.00473430168385649,0.00569726376280105,TRUE
"RSV_genus735","Selenomonas","Firmicutes",4.2019026601264e-08,1.69076559419372e-07,0.0005993252207501,0.000726579147743373,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.459782383151603,0.535884294845662,0.00151060020158989,0.00148163142157458,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.000759748782188133,0.00180841611534922,8.85147808805544e-05,9.77018221007893e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.00422110591555664,0.00902996075606419,0.0591418933817776,0.0612170611009916,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",2.437966871021e-11,1.47148714715196e-10,0.0260050576757032,0.0282654489210686,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",5.86415227427863e-09,2.75289370653636e-08,0.0179300341239299,0.0195585143183566,TRUE
"RSV_genus749","Sneathia","Fusobacteria",4.94628010234841e-10,2.69652044289317e-09,5.15077666123114e-05,6.59676012952843e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.000668101372211228,0.00163636423048837,0.000741784112311454,0.000627165910949202,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.861065423726062,0.887317418351857,6.13410788830004e-05,7.21534946367132e-05,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.853081242781651,0.884483006319626,1.96545752140236e-05,6.98159346286177e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.61568221421879,0.698324122167621,6.26515077456176e-05,9.51759220805505e-05,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.347944310964847,0.43557473002266,2.35793422339992e-05,0.000181887185994738,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.350552530730907,0.435613071275907,1.01769529147982e-05,2.78419449504149e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.0199270857082908,0.0396197351141312,2.29343153281696e-05,1.43907593604533e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.890737912727525,0.906835585849107,4.11808540562576e-06,2.08828809957499e-05,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.292337323504377,0.385976622439373,9.33638167549939e-05,8.00300987654321e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.503863812582958,0.583239618674794,4.80505544231553e-06,8.72268852459016e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",3.36702853511304e-07,1.23701700529153e-06,0.000148423335915206,8.79580165958308e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.630186515210432,0.70066790178002,0.00135372431655116,0.00141663033576199,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",7.54778844609262e-06,2.23785306559588e-05,0.000169197788626172,0.000350506005262093,TRUE
"RSV_genus1007","Curvibacter","Proteobacteria",0.0123571486504528,0.0257821990361299,3.53035607419486e-05,2.8427950617284e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.0473707110407784,0.083392189228037,0.000372694111496127,0.000323677010119409,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.241539020610088,0.334590938386106,0.000113631876070118,0.000194024039870472,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.900256955838164,0.907785122543504,4.54451793721973e-06,4.35028921270998e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.384186532455846,0.463768028464557,1.68100829596413e-05,1.27873343452742e-05,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.0673493001823578,0.110898152921032,6.68912849571952e-05,8.20490240841935e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.0412079011063273,0.075697122684449,9.68028454953118e-06,9.6084074074074e-06,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.697609831844675,0.760619752140323,0.000248809217284957,0.000185414941712204,FALSE
"RSV_genus1061","Kingella","Proteobacteria",2.57936285407565e-10,1.50314593909926e-09,0.000601872482470444,0.000544418847804089,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.0274741067824596,0.0527627732526782,0.0253090850646147,0.0274385592418539,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.00205157984493992,0.00456206570782692,4.07731371789645e-05,5.66382837482291e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.215862218903629,0.306560630207675,0.00011961468365267,4.26745893543817e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.00156773278287056,0.003580362706826,2.01826029351814e-06,2.50482918437563e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.364533157048282,0.44427362677307,9.32010456583775e-06,3.46534648856507e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",2.13637333444961e-16,5.15781562174263e-15,8.11723856502243e-05,0.000111483910139648,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",4.66083216203272e-07,1.64235843582519e-06,2.86127107623319e-05,3.85861236591783e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.000541479439973566,0.00134573566699313,1.38162160619649e-05,1.34620208459826e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",8.62274413825992e-06,2.51248924028608e-05,1.74600955972279e-05,2.60918791742562e-05,FALSE
