"OTU","Genus","Phylum","p_value","p_adj_BH","English","Spanish","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",1.82198506203972e-07,6.41490573926486e-07,0.0273317895631091,0.0232281734233083,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00546405454258434,0.0112612831426433,3.97022936479981e-05,4.19182902255639e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.21646798884096e-05,3.60672087919514e-05,2.62333799459904e-05,2.95243233082707e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.621699118583642,0.705148664702251,0.00033356878513561,0.000264752506766917,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",9.79155492574022e-06,2.95495139723232e-05,0.000803474740753788,0.000497586545112782,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.669266441704138,0.744118609526312,5.45725423271105e-05,2.91404443609023e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.000590938614452948,0.00144737138902244,5.56456450628156e-05,7.18906992481203e-06,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.21008798523284,0.295873912536249,0.000226204197252554,0.000134046179699248,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.250643208751314,0.338869618231777,0.00147271717153928,0.00169807632631579,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.0475233031149751,0.0811256386508161,0.00493815032640601,0.0049933725736842,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.384748447359267,0.485242444803852,0.000122008139133498,0.000427921678947369,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.903456965855179,0.931001385545885,0.000182860149583187,0.000142032330075188,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.202856342882302,0.288388872967698,1.47769099448163e-05,5.08469691729323e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",7.05644589615264e-07,2.37068607400238e-06,0.111605874617589,0.0983853834917294,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.921198532748394,0.943530618390779,1.05979302571328e-05,1.73385142857143e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.802082670548673,0.85896748680612,7.00489115885876e-06,6.1166022556391e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",5.66739072101786e-20,4.16430013848703e-19,0.0066128075823647,0.00477032429849624,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",9.24284475613083e-07,3.00392454574252e-06,9.98007191499354e-05,6.34504736842106e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.0506774539668801,0.0847969279247796,0.000117306307972291,0.000101087662406015,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.847923310658388,0.881162464331283,1.30678959727604e-06,5.37293233082707e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.849878589857983,0.881162464331283,1.21601629681813e-05,8.4760045112782e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.00409298548736135,0.0087558803463806,0.00146929641740049,0.00141784509849624,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",4.02741231536754e-30,4.8616620092651e-29,9.0288980861806e-05,0.00011783280075188,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",5.32250395605407e-05,0.000145797408662656,9.18182006575085e-05,0.000148972493984962,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",1.90207913649004e-76,3.21451374066817e-74,1.67939526828696e-05,6.55182458646617e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.430577542130854,0.53505591632437,3.82676777034167e-05,9.72182804511278e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",2.45608488758248e-34,5.18847932501798e-33,0.0161871244089468,0.0217281952706767,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",5.21586218299827e-23,4.63937215224583e-22,0.000946590463660915,0.00119476259774436,TRUE
"RSV_genus256","Alloprevotella","Bacteroidetes",8.88885214417775e-11,3.95320003254221e-10,0.021473300537161,0.0244929103067669,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",1.26468957201717e-10,5.34331344177254e-10,0.0237820599133498,0.0269024677834586,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",7.37740332510828e-31,1.03898430161942e-29,0.00180310776834566,0.00195346704135339,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.00230945467308044,0.00513549789145519,0.00584166731959611,0.00493809103909775,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.551159618351393,0.637986133571133,0.0778619140589411,0.0770623424293233,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.7628503584614,0.828491332622958,7.20441905600564e-05,0.000397975708270677,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.272576864515515,0.357096822504823,3.08402652342374e-05,0.000198580504511278,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.188645284159186,0.277442804812129,2.55869731125983e-05,1.52491458646616e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.62898985692341e-06,5.19432614754822e-06,0.00502557749477514,0.00565027537518797,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",3.85644542808213e-09,1.44830950521307e-08,0.0031667345806035,0.00323082231954887,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.235982738430901,0.32423644548636,7.58986615005283e-06,1.56893e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.06411661884991,0.105201054229464,0.000498503704355994,0.00150591061278195,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.260607731301809,0.349545290396871,7.15693225314077e-06,7.80014661654135e-06,FALSE
"RSV_genus475","Gemella","Firmicutes",0.02872457084712,0.053345631573223,0.0477908788183632,0.0491297245082707,FALSE
"RSV_genus494","Staphylococcus","Firmicutes",0.00259038276126299,0.00568538554095383,0.000178489680051661,0.000250644784210526,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",0.754000894077822,0.827442539604882,0.00200279333086767,0.00175470227218045,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.171204471413335,0.263032324262306,2.16134977104614e-06,3.81390751879699e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",7.15414140675274e-07,2.37068607400238e-06,0.0254512425853,0.0227954610466166,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",5.31076023795809e-12,2.63976023592623e-11,0.00496091404825643,0.00188798156466166,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.318827721791091,0.408196098353745,1.1646883761888e-05,1.24905112781955e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.938717572627013,0.949959699245301,4.65160514265586e-05,6.48369172932331e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.00114962178684018,0.00262548759427014,8.39785002935306e-05,2.0186384962406e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",4.41636834988476e-12,2.26171591251674e-11,0.32616448591793,0.302442031543609,TRUE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",2.12725427061438e-05,6.19837882299708e-05,7.5354330750264e-05,1.55900090225564e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.632629559845466,0.712762637425892,1.43206690149114e-05,3.24727969924812e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",6.19337510864758e-61,3.48893464453814e-59,0.000189595592814371,0.000404102657142857,TRUE
"RSV_genus560","Pseudoramibacter","Firmicutes",2.19676590612316e-10,8.83936757463844e-10,7.32156400140896e-05,8.076857518797e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.00466012957887558,0.00984452373537467,3.22059253258189e-05,4.68376977443609e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",5.61123464175032e-11,2.6341629290439e-10,2.3392673828813e-05,2.73369473684211e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.026726872858518,0.0507510282369612,4.10368464247975e-05,1.11408887218045e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.000782649297139705,0.00186292579178324,2.27236866267465e-05,1.86042661654135e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.000965561633736381,0.0022353413164582,0.00485668092086415,0.00487312974210526,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",3.2648662281944e-11,1.57646397875672e-10,4.0081695432664e-05,3.63457398496241e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",5.02351826378035e-09,1.84559692734539e-08,1.62577013032758e-05,2.98123195488722e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",3.80996866015229e-23,3.57713724203187e-22,9.41900408594576e-05,0.000120280839849624,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",1.4851169345283e-31,2.28167965395712e-30,0.000463556675824821,0.000674055061654136,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",1.25929800532775e-10,5.34331344177254e-10,0.0024670142580721,0.00287105205112782,TRUE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.190434114545603,0.277442804812129,0.00116932732264882,0.0010878919669173,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",7.95904075211125e-24,7.91222286533413e-23,0.00180325690430903,0.00239654535639098,TRUE
"RSV_genus589","Blautia","Firmicutes",0.175808467960595,0.267672352120185,4.54625362216743e-05,9.39174819548872e-05,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.00326757329054462,0.00707974212951335,0.000195996433485968,0.000177911255639098,FALSE
"RSV_genus592","Catonella","Firmicutes",5.34878067283115e-05,0.000145797408662656,0.000740696230127977,0.000821455330827067,FALSE
"RSV_genus600","Howardella","Firmicutes",0.104847410776084,0.170377042511136,2.19589896677234e-05,1.45273030075188e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.152694150126641,0.236745975884425,1.49361089585535e-05,3.15202721804511e-05,FALSE
"RSV_genus603","Johnsonella","Firmicutes",2.03434145541702e-40,5.73006176609128e-39,0.000231878435481977,0.000400932237593985,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.203066721202107,0.288388872967698,0.00238115352741576,0.00227498201954888,FALSE
"RSV_genus605","Lachnoclostridium","Firmicutes",0.00204377140067117,0.0046052982228457,9.10942054714101e-05,8.85535601503759e-05,FALSE
"RSV_genus609","Lachnospiraceae AC2044 group","Firmicutes",0.0159919890269399,0.031795837006504,6.69715965715627e-05,7.23895842105263e-05,FALSE
"RSV_genus625","Moryella","Firmicutes",4.88315645868402e-16,2.94733371970571e-15,1.12727645884701e-05,2.2008554887218e-05,FALSE
"RSV_genus627","Oribacterium","Firmicutes",0.456747515712047,0.555326116225439,0.00328566477069391,0.00307929195639098,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",0.000168938450316752,0.000446103095367672,0.000189364649054832,0.000191218,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.000398848834480477,0.00102129474283637,0.0026265396737114,0.00274058140150376,FALSE
