"OTU","Genus","Phylum","p_value","p_adj_BH","Married","Divorced","Living.with.Partner","Never.Married","Separated","Widowed","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.00102763047990953,0.0021983487481609,0.0259698038539493,0.0271462534826428,0.0268279496052287,0.0289878632301967,0.0256366102371795,0.0268550812254545,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",2.39360152147506e-07,7.93173837508402e-07,3.55149600099355e-05,2.38256159014558e-05,4.10819189542484e-05,5.46277533227007e-05,3.51695576923077e-05,2.513088e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",2.52248523750849e-07,8.14165096735221e-07,1.38020171385991e-05,5.06906898096305e-05,5.93407333333333e-05,2.33206565656566e-05,5.90305480769231e-05,5.84177272727273e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",1.61207044847696e-10,7.16947120506861e-10,0.000387991335568803,0.000489004331466966,0.000318779986928105,0.000287856145667198,0.00030202655448718,0.000393829032727273,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",4.91862393703604e-12,2.5189316526033e-11,0.000760771048683557,0.00123172928107503,0.000932713352941177,0.000706948379053695,0.000953696580128206,0.00128544099272727,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.313295922966983,0.413648523292345,4.28638455042225e-05,7.66917659574468e-05,5.84739254901961e-05,4.80878777246146e-05,0.000145882554487179,2.83185490909091e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",2.81871222673899e-07,8.82152530220167e-07,3.87236987083954e-05,0.000131934431131019,4.20745124183007e-05,6.4595269005848e-05,0.000113507169871795,7.15555636363636e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.68015173050218e-09,6.78086988623202e-09,0.000190433423497268,0.00033599666181411,0.000446256316339869,0.000212613096225412,0.000385749737179487,0.000397523374545455,FALSE
"RSV_genus51","Scardovia","Actinobacteria",1.81458517951559e-10,7.86320244456755e-10,0.00134387417262792,0.00163147042553192,0.00279803192287581,0.00169189871876661,0.00129182380448718,0.00171770362909091,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.00153121984806428,0.00304442534497486,0.00480431972131148,0.00438515411198209,0.00483965210849673,0.0050818398825093,0.00437672958333333,0.00445934744363636,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0535855539899626,0.0862472249933683,0.000185131731743666,2.20335128779395e-05,0.000921653967320262,4.77745544922913e-05,5.86131314102564e-05,1.66040545454545e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.190266878819568,0.26574464892981,0.000295829325633383,0.000159161045912654,4.34651241830065e-05,5.36903120680489e-05,1.0897608974359e-05,0.000320534254545455,FALSE
