"OTU","Genus","Phylum","p_value","p_adj_BH","US.Born","non.US.Born","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",1.10828063444041e-13,4.68248568051072e-13,0.0281191510062262,0.0233798540605405,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.279866881963986,0.370638777602421,4.06455030423093e-05,3.84338706306306e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.781151075309e-12,7.00033794714468e-12,3.12094355454931e-05,2.45021657657658e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",8.30121566602891e-07,2.59797305103497e-06,0.000368594920758454,0.000211750667027027,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",2.88002350573545e-18,1.5700773305461e-17,0.00086151609027876,0.000510298081801801,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.00289571232373439,0.00537775145836386,5.046336153955e-05,5.29465073873874e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",1.03409880641023e-06,3.01314997040223e-06,6.38049412763549e-05,1.17426673873874e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",3.73365629127861e-09,1.28773043515527e-08,0.000249776266308193,0.000122412141621622,FALSE
"RSV_genus51","Scardovia","Actinobacteria",7.08804646301128e-08,2.34878402401746e-07,0.0015590436151125,0.00136197588504504,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",7.98366943181235e-15,3.55063193151655e-14,0.00469750286543086,0.00557610480396396,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.429566646995206,0.511244812268942,0.000216515631243809,2.81669145945946e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.4742148859061,0.556543859153687,0.000209044492571105,9.69389059459459e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.324611231002537,0.406471675947563,1.85405278052922e-05,2.25064868468468e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",4.47011317132538e-06,1.18038925930311e-05,0.112592500806142,0.102842965837477,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.00324155288864516,0.00589056385140895,1.19756715720956e-05,1.03105675675676e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0285237445702882,0.0468010954599875,6.1643299844347e-06,8.73240324324325e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",2.10070262904553e-47,3.22744313007904e-46,0.00697185195259658,0.00482213874198199,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",2.11964663791928e-18,1.19406760602786e-17,0.000105403523843215,6.82471192792792e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.136736023848048,0.196484447387279,0.000121149724069619,9.93503232432433e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.852581037894235,0.873249669115914,1.39113032404132e-06,7.25552792792793e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.980669086700008,0.980669086700008,1.22539627847743e-05,1.01705726126126e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.323353596871878,0.406471675947563,0.00148802399150984,0.00139916346198198,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",1.62975810308543e-45,2.11868553401106e-44,8.45195810103298e-05,0.000118345584144144,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.064694076392665,0.0992415823655031,7.7943462148012e-05,0.000154710841441441,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",4.18748285348873e-53,8.84605752799495e-52,1.52929773595585e-05,4.36426594594595e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.720511547745425,0.765826739427527,4.05624850714589e-05,6.07463214414414e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",7.75994514259452e-47,1.09285894091539e-45,0.0155648046828923,0.0204253922338739,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",1.43361205988857e-44,1.73057455800834e-43,0.000892781453374839,0.00120307981657658,TRUE
"RSV_genus256","Alloprevotella","Bacteroidetes",8.45389333972534e-05,0.000187988725567939,0.0216973937982171,0.0223562414273874,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",6.12715156404645e-17,3.04555474801132e-16,0.02312923463747,0.0269256895517117,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",3.70377554526741e-55,8.94197238785988e-54,0.00174499580628272,0.00202378760072072,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.000360577258670607,0.000734187430305213,0.0059885034150276,0.00503712873225226,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.123682036000816,0.180191931759809,0.0785505906295459,0.0757183846508106,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.324696309188882,0.406471675947563,9.77272590915523e-05,0.000162980008288288,FALSE
