"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1.3.per.day","X4.6.per.day","X7.10.per.day","X11.20.per.day","X20..per.day","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",6.09304067137791e-16,3.1203753741299e-15,0.0238085289835847,0.0272755379545454,0.0358510872139303,0.0353536530905173,0.0302573206949152,0.0326833886883117,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.175585013114138,0.235506882668962,3.32464764862467e-05,4.96593434343434e-05,4.23203532338308e-05,3.80167327586207e-05,4.00356847457627e-05,3.10274545454545e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",3.1867904526265e-26,2.99204214718822e-25,6.30217968056788e-06,2.86515101010101e-05,4.26472537313433e-05,0.000136401581896552,0.000106615050847458,8.9108012987013e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",5.35675893252508e-17,2.92029761160238e-16,0.000289525511091393,0.000355027545454545,0.00056477023880597,0.000708123844827586,0.000699064020338983,0.000553092311688312,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",3.88621751150014e-51,9.38243942062178e-50,0.000599437607364685,0.000610923560606061,0.00136947338308458,0.00134183206465517,0.00186693631525424,0.00139642324675325,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",2.83221794669159e-17,1.77275864070696e-16,6.94228970718722e-05,5.5997196969697e-05,4.96798308457711e-05,0.000205989913793103,0.000151254654237288,6.05310909090909e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",5.98924586074587e-30,6.32614094041283e-29,9.56110292812777e-06,3.94759444444444e-05,0.000191239004975124,0.000310536077586207,0.000171414840677966,0.000532742038961039,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",7.08471991564446e-22,5.98658832871957e-21,0.000165026812777285,0.000216085095959596,0.000451550527363184,0.000387645267241379,0.000580378162711864,0.000449802844155844,FALSE
"RSV_genus51","Scardovia","Actinobacteria",1.53474922629998e-09,5.63853520097166e-09,0.00132796984338953,0.00160606435353535,0.00238216055223881,0.0021634240862069,0.00256217483728814,0.00268864323376623,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",4.39176627226298e-05,0.000110777388061559,0.00502684212067437,0.00589383083838384,0.00418873244776119,0.00413076470258621,0.00381431611525424,0.00479204576623377,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.539239038373397,0.624187654007563,0.000160361268411712,0.00253831560606061,0.00266435447761194,3.18678793103448e-05,4.37953559322034e-05,8.02337662337662e-06,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.465609041537434,0.550265230907877,0.000278928213842058,0.00188632514646465,1.42748407960199e-05,7.41451465517241e-05,0.00130142754576271,0.000104280324675325,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.402647144830979,0.489549406305291,4.74315727595386e-05,5.25951515151515e-06,1.54474825870647e-05,1.43471853448276e-05,1.96851423728814e-05,1.72990779220779e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",4.34385432215278e-12,1.83527845110955e-11,0.0965125928939663,0.110008454686869,0.122702668771144,0.115443779237069,0.123184902979661,0.138512706467532,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.132480944683157,0.183518685667652,1.85364995563443e-05,5.32287878787879e-06,9.56643781094527e-06,1.29961551724138e-05,4.2803206779661e-05,2.68381168831169e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",2.37966370723637e-05,6.28379947692104e-05,6.90987000887311e-06,4.68221212121212e-06,3.65686567164179e-06,1.50294396551724e-06,8.97498305084746e-07,1.28051948051948e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",6.25461332590605e-34,8.13099732367786e-33,0.00523931350754216,0.00615046451515152,0.00865700421393035,0.00922344634051724,0.00889041510169491,0.00907157625974026,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",1.9243221853463e-33,2.16806966215683e-32,7.6911605590062e-05,0.000101867070707071,0.00013707436318408,0.000180832560344828,0.000224258810169492,0.000243754623376623,FALSE
"RSV_genus201","Olsenella","Actinobacteria",9.81241384805656e-11,3.76885895527627e-10,9.6674182786158e-05,0.000157243904040404,0.000163310174129353,0.000203734573275862,0.000233326461016949,0.00022979548051948,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",1.1019828455024e-05,3.05303444081814e-05,6.52178793256433e-07,1.49343939393939e-06,2.08130348258706e-06,1.59019396551724e-05,1.93230508474576e-06,4.90754545454546e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",3.50519118558599e-05,8.97541379339443e-05,8.44511180124224e-06,8.13812626262626e-06,1.19514726368159e-05,1.32935431034483e-05,1.68929830508475e-05,1.68621818181818e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.005385022823488,0.0105821960135985,0.0011503691823425,0.00441516500505051,0.000234384427860697,0.00141761268965517,0.00182556169491525,0.000755364701298701,TRUE
"RSV_genus233","Phocaeicola","Bacteroidetes",7.75356504806487e-06,2.29886402302274e-05,0.000100680552351375,0.000119255737373737,0.000214697950248756,0.00015545475,0.000142380833898305,0.000245088857142857,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.246447366845751,0.317935916007114,0.000127996094498669,0.000297550964646465,9.59965671641791e-06,3.3122849137931e-05,3.53049084745763e-05,2.45660909090909e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.303983764062296,0.386265083658106,2.91269543034605e-05,3.53130757575758e-05,3.38631890547264e-05,3.1486375e-05,1.57676305084746e-05,1.3201038961039e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.127704903042978,0.178364699291432,6.609792945874e-05,0.000200913717171717,2.03742288557214e-05,4.74219827586207e-06,4.60853050847458e-05,5.50655844155844e-06,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.00269034407680375,0.00554473352414431,0.0189707759920142,0.0190048822121212,0.0177048175820896,0.0164047649913793,0.0165874770847458,0.0190382622857143,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",0.533400282031384,0.621687225264164,0.00106296678216504,0.00107932532323232,0.00136797316915423,0.00131097893103448,0.00137078507118644,0.00136725601298701,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.00967916361841215,0.0183795354102433,0.0234333566242236,0.0249845398686869,0.0216816948507463,0.0213201550905172,0.0198793819762712,0.0191497926233766,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",7.6678129608369e-07,2.39974146366932e-06,0.0275064590474711,0.0235496151363636,0.0226161724676617,0.0255618940301724,0.0217894088372881,0.020707545961039,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",2.04285668468069e-15,9.86407942031531e-15,0.00177691707852706,0.00126460427272727,0.00143808628855721,0.00135457023706897,0.00112477965423729,0.00120682836363636,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0160865052172954,0.0292324664701389,0.00553437288598048,0.00501497685353535,0.0047969909800995,0.00632179285344828,0.0057449402779661,0.00802492716883117,TRUE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.118185323366387,0.169174260075944,0.0783290429214729,0.0785471449646464,0.0797864856616915,0.0841692399224137,0.0830822859220338,0.089033897064935,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.686179836496382,0.757937205018879,0.000125843394853594,0.00145940554545455,1.0857144278607e-05,0.000721974823275862,2.51260745762712e-05,2.69782727272727e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.637564725644077,0.713565818767212,0.000161654129103815,9.88443181818182e-05,1.93874975124378e-05,7.33585344827586e-06,2.48686881355932e-05,8.23872727272727e-06,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",4.68455504858016e-06,1.41373179144651e-05,2.40612542147294e-05,2.07847575757576e-05,3.88382189054726e-05,3.98397284482759e-05,5.11825627118644e-05,6.36375584415584e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.05472834500723e-65,4.45622725765553e-64,0.00576190385004436,0.00460286231818182,0.00267777707462687,0.00127497960775862,0.00128292191186441,0.00191595983116883,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",7.4935923860722e-36,1.05534759437183e-34,0.00339272183096717,0.00247822682828283,0.00253609926368159,0.00194983024568966,0.0016055054440678,0.00195663409090909,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.233408405740067,0.303430927462088,1.13293101153505e-05,7.67039242424242e-05,3.04493532338308e-06,1.33256163793103e-05,1.86970169491525e-06,0,FALSE
