"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1","X2","X3","X4","X5","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",1.90402784493091e-14,9.46413840568598e-14,0.0238085289835847,0.0273244834583333,0.02711645336,0.0425549154769231,0.0316553533333333,0.0319684334300932,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.0103030403320009,0.0195642001809904,3.32464764862467e-05,3.76933125e-05,5.466292e-05,8.38248615384615e-05,3.67749444444444e-05,3.73604234354194e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",8.05356337901036e-26,8.00618947678089e-25,6.30217968056788e-06,0,2.189126e-05,2.71978153846154e-05,6.53867777777778e-06,0.000107526123834887,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",1.55483936787276e-15,8.211495411578e-15,0.000289525511091393,0.000503403104166667,0.00033264912,0.000413517753846154,0.000606643944444445,0.000632008766977363,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",7.80354331647395e-52,1.88399831497728e-50,0.000599437607364685,0.000334353333333333,0.00042641784,0.0006914188,0.00103083394444444,0.00158584836484687,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",2.53168775024467e-11,1.01870292807464e-10,6.94228970718722e-05,4.78900416666667e-05,0.00015909166,2.64700769230769e-05,1.76890444444444e-05,0.000139251523302264,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",2.98003554722116e-31,3.14766254675235e-30,9.56110292812777e-06,0,3.034594e-05,7.83646153846154e-05,2.96772e-05,0.000267118797603196,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.74749358141078e-22,1.40631626313534e-21,0.000165026812777285,0.0002515120625,0.0001125689,7.06153230769231e-05,0.000276668366666667,0.000509249994673768,FALSE
"RSV_genus51","Scardovia","Actinobacteria",3.99875743471513e-10,1.50175556992635e-09,0.00132796984338953,0.00181528466666667,0.00108514282,0.00168433133846154,0.00144636922222222,0.00250446486418109,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.000107960433837994,0.000268313431156192,0.00502684212067437,0.00544925266666666,0.0054593978,0.00632233438461538,0.00432352787777778,0.00416623929027963,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.0100546950062905,0.0193095847279897,0.000160361268411712,1.1227125e-05,6.133654e-05,0.00663629295384615,3.58295666666667e-05,0.000826715161118509,TRUE
"RSV_genus57","Mycobacterium","Actinobacteria",0.135954724584238,0.196379046621677,0.000278928213842058,1.93349583333333e-05,0.00011646362,0.000202760569230769,0,0.00101941852330226,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.628692762498869,0.684354649390988,4.74315727595386e-05,0,0,2.36173846153846e-05,1.32347777777778e-06,1.72566950732357e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",4.7172194889285e-12,1.99302523407229e-11,0.0965125928939663,0.104820728333333,0.12870587618,0.108882394353846,0.107991730633333,0.122552810627164,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.0408662519827268,0.069761581667483,1.85364995563443e-05,9.58058333333333e-06,1.192e-06,8.06361538461538e-06,8.42721111111111e-06,2.51442356857523e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",1.39162278483224e-05,3.67475391619762e-05,6.90987000887311e-06,5.60539583333333e-06,1.149778e-05,3.34923076923077e-06,1.60555555555556e-06,1.55526631158455e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",4.38412435732109e-33,4.9394467759151e-32,0.00523931350754216,0.00535041108333333,0.00702057456,0.00627811035384615,0.00907547124444445,0.00878913635818909,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",6.18993378840067e-37,9.50998918399739e-36,7.6911605590062e-05,4.82021041666667e-05,9.196988e-05,0.000155711907692308,0.0001303314,0.000194251319573902,FALSE
"RSV_genus201","Olsenella","Actinobacteria",1.18102137159922e-10,4.64168864651786e-10,9.6674182786158e-05,4.73885416666667e-05,8.65186e-05,0.000176299492307692,0.0001498331,0.000221313703062583,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",5.16776800852183e-06,1.40863353780676e-05,6.52178793256433e-07,3.65627083333333e-06,0,1.06769230769231e-06,5.96666666666667e-07,6.72783355525966e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",6.16740840295743e-05,0.000157943566631582,8.44511180124224e-06,4.46666666666667e-06,7.238e-06,9.82930769230769e-06,1.17617222222222e-05,1.47879560585886e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0662869900376706,0.103726864040429,0.0011503691823425,0.000279441666666667,0.00026487674,0.000419200723076923,0.0001735416,0.00236668447270306,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",4.89751428851949e-08,1.65535982951959e-07,0.000100680552351375,2.33491458333333e-05,0.00013876862,0.000121848076923077,0.000134319611111111,0.000180610564580559,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.24302610147328,0.311147054158973,0.000127996094498669,6.60416666666667e-06,0.00013976602,0.0001085194,7.68910777777778e-05,7.93027976031958e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.274268296595982,0.338330964414021,2.91269543034605e-05,4.12196041666667e-05,5.16217e-05,4.14987076923077e-05,2.31024444444444e-05,2.32157097203728e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.0104199393131548,0.0195663304880351,6.609792945874e-05,3.54713958333333e-05,9.745192e-05,0.000288600030769231,3.22987777777778e-06,4.4434862849534e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.00347740251518535,0.0071668417691015,0.0189707759920142,0.01683163425,0.01951784642,0.0210780034307692,0.0184683202888889,0.0168793164420772,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",0.51244278499467,0.577352204427328,0.00106296678216504,0.000720145958333333,0.0016954276,0.00123644149230769,0.00115330502222222,0.00133099369374168,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.000139073695490314,0.000340629775911059,0.0234333566242236,0.0246395537083333,0.02362250574,0.0276606598615385,0.0273812395666667,0.0199604984860186,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",2.61637377487617e-07,8.34277675385044e-07,0.0275064590474711,0.0233072271458333,0.02128586886,0.0246423179384615,0.0246335388888889,0.0228736790093209,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",9.80341316653039e-17,5.73276002325434e-16,0.00177691707852706,0.00148037658333333,0.00153148144,0.00129434850769231,0.00144642598888889,0.00122281133288948,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.23545183236687,0.305458966439731,0.00553437288598048,0.005236983375,0.00539543854,0.00545222089230769,0.00607492488888889,0.0057698458921438,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.170122996888722,0.233746231497512,0.0783290429214729,0.0831180156458333,0.07629693084,0.0779374498615385,0.0890399903222222,0.0821941740932091,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.377952745247535,0.446671426201632,0.000125843394853594,2.12058541666667e-05,0.00297056988,0.00444778555384615,1.40133777777778e-05,3.75747296937417e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.708221960794655,0.762353575632463,0.000161654129103815,3.00136875e-05,0.00015491578,3.51595538461538e-05,4.48791111111111e-06,2.83154407456724e-05,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",7.67947082846121e-08,2.54476582354891e-07,2.40612542147294e-05,1.2227125e-05,3.721868e-05,5.08742615384615e-05,2.23865777777778e-05,4.44662769640479e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",2.78950839398774e-66,1.17856729645982e-64,0.00576190385004436,0.00704950704166667,0.00498195744,0.003164759,0.00316376171111111,0.0015896297403462,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",1.33194556589047e-36,1.87582333862908e-35,0.00339272183096717,0.00297096958333333,0.00272490166,0.00300434290769231,0.00234783675555556,0.00185569785219707,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.20135024754199,0.267938518382648,1.13293101153505e-05,2.23866666666667e-06,1.473156e-05,0.000241278892307692,1.21111111111111e-06,3.73682023968043e-06,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.248783711693853,0.313764531912397,0.000969396330523513,0.000812756729166667,0.00046838498,0.000227800984615385,0.000537015488888889,0.00113214244207723,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.197215044524318,0.266601546844109,1.86713930789707e-06,7.86764583333333e-06,2.008e-06,2.73916769230769e-05,4.63333333333333e-07,1.43675792276964e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",1.03870724174361e-49,1.950461376163e-48,0.052840731390417,0.049017608875,0.04216306646,0.0374235285076923,0.0351383484333333,0.0305856027549934,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.0489018836263373,0.0810237091455982,0.000239518891304348,7.04892083333333e-05,0.00011524074,0.000363549307692308,0.0008057078,0.000521678231691079,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",5.39565508339385e-25,5.06592060607533e-24,0.00182982748580302,0.00187513683333333,0.00140703828,0.00149501509230769,0.00122007963333333,0.000945279238348868,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.0449596632509934,0.0752295355387909,3.14629103815439e-06,2.14103958333333e-05,1.82014e-05,6.0116e-06,0,1.59868841544607e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.798263613736879,0.832756485935386,0.0230559412573203,0.0242508565416667,0.0235304266,0.0246249451538461,0.0244076605222222,0.0237376762450067,FALSE
