"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0333041178562113,0.134009426611898,0.0238620388652968,0.0261700567689243,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.104632568875921,0.297973958944051,2.68239292237443e-05,4.136296812749e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.117775207815804,0.301502238150861,1.35600422374429e-05,4.59132934926959e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.734620041127449,0.841171260597292,0.000245355238584475,0.000383726982735724,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.017204017129849,0.0868543748565576,0.000664405833333334,0.000735331911022577,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.000311999842015691,0.00585866370007242,4.79477100456621e-05,0.000117977440903054,TRUE
"RSV_genus47","Metascardovia","Actinobacteria",0.000440677006853596,0.00744744141582578,7.672574543379e-05,0.000120979035856574,TRUE
"RSV_genus49","Parascardovia","Actinobacteria",0.221621813548748,0.440636311643982,0.000194750494292237,0.000239839482071713,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.167464133455357,0.387690939095279,0.00168654441324201,0.00168447336786189,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.14663954011142,0.354029746840428,0.00498671169863014,0.00470914123240371,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.769844550096809,0.855945585305004,0.00054653447716895,7.18638260292164e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.591863810264502,0.774576994862693,0.000229376698630137,0.00011093898937583,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.592666925764378,0.774576994862693,6.18767442922374e-05,5.12840385126162e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.124545107373137,0.30953122273618,0.0989344219497715,0.108328426977423,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.680656165144079,0.830884062323731,1.44802762557078e-05,2.9660641434263e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.216222921857043,0.435019926117145,6.06162214611872e-06,5.44817264276228e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.000975134536506726,0.0126767489745874,0.00524679689155251,0.00636676469721115,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.006444102545404,0.0495024240987852,7.85695536529681e-05,0.000112104857901726,TRUE
"RSV_genus201","Olsenella","Actinobacteria",0.00700148631365677,0.0514457037829563,9.03617363013698e-05,0.00013077584063745,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.019702457563751,0.0924920924520535,9.22472602739726e-07,4.9636812749004e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0258396573279525,0.111834631929982,6.40534589041096e-06,9.48578220451527e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.723741818398477,0.841171260597292,0.00239317073858448,0.000590000007968127,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.0497239879787037,0.178794765285126,8.35607465753424e-05,0.000112132993359894,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.197707090878772,0.424572521426292,0.000133978993150685,0.000152459594953519,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.154935152527603,0.368497667167138,2.44951894977169e-05,2.3176786188579e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.243277056698228,0.472572673356328,0.000113294367579909,1.86469601593625e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.818296685852363,0.88648807634006,0.017164777359589,0.017155089877822,FALSE
