"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.42648752232758,0.73692339159496,0.0261278873886873,0.0270804047826087,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.763861431967014,0.854832385286278,3.53319513340448e-05,1.09820434782609e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.539079981040531,0.738974581103304,2.3144019850587e-05,6.46703043478261e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.29879343359322,0.631201128465677,0.000359231997225187,0.000389876782608696,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.713035435437285,0.825519221597979,0.000783220673212379,0.000459366086956522,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.262460887191276,0.591411865804343,8.42295733191035e-05,2.52630869565217e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.418150423063355,0.73692339159496,5.12430207043757e-05,3.01228695652174e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.348378368789046,0.684604003783126,0.000212529024759872,7.52640434782609e-05,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.040562212911456,0.244821927929859,0.00149202295133405,0.00164040891304348,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.902195551702032,0.929701513644167,0.00491584148858057,0.00405102895652174,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.684442765190921,0.81458329096666,0.000317623337459979,8.17620869565217e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.826021640611788,0.900630046860594,0.000359311753255069,8.89136956521739e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.47021748601268,0.73692339159496,3.41243101387407e-05,0,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0324132091953807,0.210685859769975,0.103489220186339,0.0694160458695652,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.241678165356935,0.58184149600049,1.77232454642476e-05,0,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.123845515705488,0.486741678005291,5.9962977588047e-06,7.22608695652174e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.850747757893509,0.903817956978412,0.00598007682070437,0.00699462034782609,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.659838192888251,0.795226944919284,9.44532800426895e-05,0.000110243652173913,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.768843328778191,0.854832385286278,0.000113105556029882,0.000159925695652174,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.271307876778421,0.595467937344845,1.91428644610459e-06,2.33478260869565e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.147574443309719,0.519585019152969,8.7846537886873e-06,1.39637391304348e-05,FALSE
