"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.758150529159489,0.899336280304681,0.0261719674601041,0.0254936447045455,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.151631795601369,0.320322168207892,3.53742098872506e-05,2.99650340909091e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.11351459167116e-06,2.0909329554714e-05,2.19513122289679e-05,9.16562613636364e-05,TRUE
"RSV_genus44","Alloscardovia","Actinobacteria",0.322976196586298,0.549020942953308,0.00035984404358196,0.000365339318181818,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",8.12746265135041e-05,0.000807965404751894,0.000767113049002601,0.00159225015909091,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.233735563015546,0.434080331314585,8.26114950130095e-05,0.000161277125,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",5.52343437638133e-05,0.000583412756005278,4.97719256287945e-05,0.000127480193181818,TRUE
"RSV_genus49","Parascardovia","Actinobacteria",2.5655792300832e-05,0.0003097020642029,0.000206972525151778,0.000464662818181818,TRUE
"RSV_genus51","Scardovia","Actinobacteria",0.506493999565029,0.731602443816153,0.00149003436166522,0.00170886071590909,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.000959588535953007,0.0077224029798123,0.00494004224197744,0.00342765773863637,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.742507001324116,0.889955200168622,0.00032117585819601,5.46000681818182e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.654311680120764,0.837717226821281,0.000364972960971379,2.46054886363636e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.951499380757222,0.984572567782172,3.43620104076323e-05,1.14953522727273e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",2.52294255317527e-06,3.87615719533291e-05,0.102414470717693,0.142657528625,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.980972255465641,0.993812877346556,1.7726709670425e-05,1.45206818181818e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.213434709277199,0.409891657589165,6.04963768430182e-06,3.64120454545454e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0307354846915344,0.101848959075869,0.00596434522810061,0.00747406140909091,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.209850799183043,0.409891657589165,9.37904650910669e-05,0.000141092,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.360447401046355,0.580148674065085,0.000110467257588898,0.000269778181818182,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.0211576576289388,0.0831545148672245,1.4344618386817e-06,2.73453863636364e-05,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.0138618824976206,0.0600681574896895,8.7440748048569e-06,1.30635909090909e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0272933016135975,0.0979400569678002,0.00143685480984388,0.000767238431818182,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.0899248733239802,0.217104337025038,0.000103912799869905,0.000202232534090909,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.0619467118846318,0.183666566815838,0.000119981452732003,2.57159090909091e-06,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.151588400626238,0.320322168207892,2.64843892020815e-05,4.41804204545455e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.910553989549321,0.979781206183892,7.93661901561145e-05,2.34344886363636e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.189659763796702,0.381577381924317,0.0184574369000433,0.0170299296022727,FALSE
