"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.163477031392398,0.606150416511657,0.0263430547962588,0.0226858582841328,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.44483410417982,0.789828739389804,3.57041649763353e-05,2.71712140221402e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.78985176150804,0.899743767051602,2.4237108406581e-05,8.77158671586716e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.126950768615702,0.595963330445933,0.000365011308767185,0.000267209948339483,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.448660112316101,0.789828739389804,0.000784419394636014,0.000736108560885609,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.465864852870269,0.80337918505179,8.33152055442867e-05,9.41957011070111e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.233791787506209,0.658513534809154,5.08124119900834e-05,5.65007601476015e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.75929193838894,0.899743767051602,0.000211186102096011,0.000222866490774908,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.00128829473106129,0.0718649014978519,0.0014861271052513,0.00160114747601476,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.289490657915905,0.692941620381814,0.00494125736240702,0.00442631779704797,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.702938615536108,0.886541985265688,0.000320100463150778,0.000257048372693727,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.239472270905721,0.663455963656835,0.000285051404327248,0.0015522047896679,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.394345065440823,0.737219703843145,3.52450412440838e-05,1.28787638376384e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.833870393481591,0.903359592938391,0.103052338579671,0.107750329704797,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.814906418746437,0.899743767051602,1.52576626098715e-05,5.65872915129151e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.121014918327492,0.595963330445933,5.64066013071896e-06,1.19234169741697e-05,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0377091701502288,0.318642487769433,0.00603734881473969,0.00512848517343174,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.772323190507642,0.899743767051602,9.34683017804824e-05,0.000111920169741697,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.74628557624562,0.899743767051602,0.00011204770520622,0.000134399088560886,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.937077745101074,0.965647188549278,1.98387018255578e-06,8.1070110701107e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.351701457815907,0.724848126474247,8.70861911201263e-06,1.04690996309963e-05,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.980391590622475,0.980391590622475,0.0013957940631057,0.00189233342435424,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.0285697433109545,0.318642487769433,0.000106078269326121,0.000102081158671587,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.490799412435779,0.808827726791631,0.000123710284201037,1.74259372693727e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.000354408100468687,0.029947484489604,2.63280964615731e-05,3.60001808118081e-05,TRUE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.779517161042311,0.899743767051602,7.56769614604463e-05,0.000119263564575646,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",0.533023333365134,0.818917666715524,0.0184358479145819,0.0181765186088561,FALSE
"RSV_genus255","Tannerella","Bacteroidetes",0.0747292236822153,0.4857399539344,0.00104845014198783,0.00117375235055351,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",0.000162439464406353,0.0274522694846737,0.0236375905179175,0.0191752296125461,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.172042281030135,0.606150416511657,0.0257101441949516,0.0239381042472325,FALSE
"RSV_genus261","Prevotella 2","Bacteroidetes",0.921374860828973,0.955962785126736,0.00183900014356548,0.00164768812915129,FALSE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0848095907441152,0.511886458419838,0.00567555131800765,0.00569025281549815,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.333435393035379,0.714966625873376,0.0784944888172189,0.0831281930442804,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.0169443168348514,0.290683934294726,0.000206045435429344,0.000282795095940959,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.749229577714551,0.899743767051602,6.40000840658103e-05,0.000671155774907749,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.67377559509001,0.886541985265688,2.7954430471039e-05,1.11819446494465e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",0.136710389088692,0.606150416511657,0.00524320845165654,0.00339927050184502,FALSE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.0630083790359423,0.443963928112742,0.00304063621861618,0.00335376860147601,FALSE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.446023418891925,0.789828739389804,1.09079932386748e-05,1.48052287822878e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.957723947325218,0.971217044996134,0.0010768280069867,0.000583387424354244,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.692775413888919,0.886541985265688,8.2908124859139e-06,2.48805350553506e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",0.689303216352767,0.886541985265688,0.0482251937484785,0.0476609752767528,FALSE
