"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.431688595274349,0.876567375856359,0.0261543300337607,0.0224906131428571,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.604207047486747,0.883351882632134,3.51453551282051e-05,4.65184642857143e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.401265738713978,0.876567375856359,2.34865705128205e-05,0,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.397097111504965,0.876567375856359,0.000359715249358974,0.000303632357142857,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.0376774181858521,0.829638045980846,0.000772349904700854,0.00233416857142857,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.146839359928058,0.855719028546269,8.44437183760684e-05,0,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.451456984350439,0.876567375856359,5.14458072649573e-05,0,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.826800870186543,0.967892301947347,0.000211849286965812,0.000213388964285714,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.989665088391711,0.992619411810918,0.00149327110235043,0.00140529189285714,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.22312150872706,0.876567375856359,0.00490373412991452,0.00622911828571429,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.118150615206391,0.855719028546269,0.000318149652777778,3.59103214285714e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.992334222748087,0.992619411810918,0.000359806149786325,5.45642142857143e-05,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.641905040468509,0.904016265326483,3.41517506410256e-05,1.50714285714286e-06,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.105633683654388,0.855719028546269,0.103178469034829,0.127440376607143,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.22728905159829,0.876567375856359,1.76012681623932e-05,2.35525e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.875336728680667,0.986212714313552,6.00411431623932e-06,5.7e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0878622438839492,0.855719028546269,0.00599289491688034,0.00467099864285714,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.611381916198186,0.883351882632134,9.43543944444445e-05,0.000123951964285714,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.670722231422376,0.912260434687781,0.000113754737179487,4.30589642857143e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.508623441437682,0.883351882632134,1.92780598290598e-06,0,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.445605146581213,0.876567375856359,8.82880641025642e-06,5.65910714285714e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.795307985904997,0.960615397089736,0.00143212889850427,0.000128477535714286,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.359157358258761,0.876567375856359,0.000106260736752137,3.68938214285714e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.00596289807730994,0.335909925021793,0.000115295279487179,0.000501537571428571,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.563637607075054,0.883351882632134,2.69577070512821e-05,1.47051428571429e-05,FALSE
