"OTU","Genus","Phylum","p_value","p_adj_BH","Today","Yesterday","X3.5.days.ago","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.520640012805318,0.720251713757948,0.0329864111623036,0.0290229057463414,0.0274505237042253,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00933824905385424,0.0384918070756431,3.89776845549738e-05,4.56580487804878e-05,3.79945492957746e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.000138865227601989,0.00102035754194505,0.000114856116492147,6.93812682926829e-06,1.56495774647887e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.337229034217362,0.564274324581526,0.000626013721204188,0.000461205765853659,0.000410841563380282,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",4.78873907196776e-10,1.15613843308936e-08,0.00160231193848168,0.000644245043902439,0.00040372523943662,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.4831508328483,0.688086431208859,0.000134081985602094,7.25882682926829e-05,5.40595492957746e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.00386518773134495,0.0181449090721471,0.000262899780104712,4.40620975609756e-05,0,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",1.09094191909972e-06,1.53640986939877e-05,0.000500270564136125,0.000229473165853659,4.55314084507042e-05,TRUE
"RSV_genus51","Scardovia","Actinobacteria",0.00445829764569192,0.0203635757330253,0.00261793460863875,0.00133382466829268,0.00102322742253521,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",0.109833051947347,0.237971612552586,0.00440762478795811,0.00457494324878049,0.00436542736619718,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.652395369298588,0.824403490804406,0.000825231505235602,2.67474048780488e-05,0.00596007647887324,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.319939252304628,0.540697336394822,0.00101340717539267,8.09173268292683e-05,8.39528169014084e-06,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.354267158054483,0.586972055992232,1.53505418848167e-05,1.40790585365854e-05,0,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.0820666251784205,0.195122462996639,0.12026232159555,0.112031221931707,0.114445965676056,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.242756419378006,0.436445051860458,2.48685667539267e-05,4.50207804878049e-06,1.27900563380282e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.00900123019369415,0.0380301975683578,1.45563481675393e-06,5.62760975609756e-06,6.18956338028169e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.0161340979570041,0.0506283376156209,0.00880752251832461,0.00734295575121951,0.0064399921971831,FALSE
