"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoker","Former.smoker","Current.smoker","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",3.13182444930794e-13,1.10266319152717e-12,0.0238085289835847,0.0315522021479691,0.0267561768633615,TRUE
"RSV_genus38","Mobiluncus","Actinobacteria",0.515729252420514,0.605194062293983,3.32464764862467e-05,4.21030754352031e-05,3.08249528415961e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",1.99123589569897e-30,1.86954925762848e-29,6.30217968056788e-06,8.50466102514507e-05,8.75161185006046e-06,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",5.30118957604367e-18,2.79969074484806e-17,0.000289525511091393,0.000579291488394584,0.000435587749697703,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",6.48595770243906e-53,1.45441235157507e-51,0.000599437607364685,0.00144699745938104,0.000792013419588875,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",3.54914119124353e-16,1.62109421978421e-15,6.94228970718722e-05,0.000139611751450677,3.77559407496977e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",2.85499686025803e-37,3.71149591833544e-36,9.56110292812777e-06,0.000209094068665377,1.78115030229746e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",4.42360810062965e-23,2.87534526540927e-22,0.000165026812777285,0.000479656541586074,0.000179624874244256,FALSE
"RSV_genus51","Scardovia","Actinobacteria",4.27716551343817e-18,2.4094699059035e-17,0.00132796984338953,0.0023890734139265,0.00120880407255139,TRUE
"RSV_genus52","Corynebacterium","Actinobacteria",2.44773677830693e-05,5.59010156126852e-05,0.00502684212067437,0.00436753548839458,0.00457275170374849,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.205897527919709,0.276164144590721,0.000160361268411712,0.0010560207311412,3.22491475211608e-05,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.806916458341674,0.868591601654414,0.000278928213842058,0.000753594215667311,0.000122409378476421,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.632137068259489,0.710291021594862,4.74315727595386e-05,3.58076092843327e-05,1.30083482466747e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",5.22169897056811e-15,2.05224913029305e-14,0.0965125928939663,0.121832658265957,0.114646401617896,TRUE
"RSV_genus170","Propionibacterium","Actinobacteria",0.0526296723158346,0.0816001341410646,1.85364995563443e-05,2.69736479690522e-05,8.86852720677146e-06,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",1.21632374640806e-07,3.21185489285878e-07,6.90987000887311e-06,1.60700193423598e-06,5.60244981862152e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",8.42453416778733e-32,8.37497808444741e-31,0.00523931350754216,0.0081595940909091,0.00621906488029021,TRUE
"RSV_genus196","Cryptobacterium","Actinobacteria",2.46682487802395e-36,2.97781003132891e-35,7.6911605590062e-05,0.00017128519245648,8.36812902055622e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",4.71074348627058e-18,2.56811499735396e-17,9.6674182786158e-05,0.00021004648065764,0.000107075500604595,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",3.20072390507299e-09,9.83495163558791e-09,6.52178793256433e-07,6.19456576402321e-06,9.01498186215236e-07,FALSE
"RSV_genus204","Slackia","Actinobacteria",6.73979166943674e-09,2.03397284309787e-08,8.44511180124224e-06,1.50536276595745e-05,7.83978839177751e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.0180909655259136,0.0293978189796096,0.0011503691823425,0.00180987633075435,0.00104077076058041,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",1.37845860378905e-13,4.95658519234787e-13,0.000100680552351375,0.00020660431237911,8.03193010882709e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.11716155493898,0.167799176141421,0.000127996094498669,9.91105580270793e-05,6.37224123337364e-05,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",0.4795241402612,0.578370949205479,2.91269543034605e-05,2.69146431334623e-05,4.0540761789601e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.120470814005514,0.171088803083461,6.609792945874e-05,1.95297185686654e-05,9.19353095525997e-05,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",4.6091033333132e-05,0.000101160839393498,0.0189707759920142,0.0177856266566731,0.0171128100979444,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",0.000542262712892755,0.00106560928463809,0.00106296678216504,0.00137985764603482,0.0010876642382104,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",6.40140681649782e-08,1.71720278093354e-07,0.0234333566242236,0.021336770844294,0.0198069025961306,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",2.53433803719853e-07,6.58927889671619e-07,0.0275064590474711,0.02424164472147,0.0237994115078597,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",1.40364785338402e-16,6.589346867275e-16,0.00177691707852706,0.00131022434332689,0.00268621650665055,TRUE
