"OTU","Genus","Phylum","p_value","p_adj_BH","Negative","Positive","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.226021541039904,0.92243998912606,0.0308626010714286,0.0262137561129854,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.296741796955691,0.92243998912606,4.34208285714286e-05,4.01619497135582e-05,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",0.182219183307726,0.92243998912606,0,1.97963462762572e-05,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.0341279245434298,0.92243998912606,0.000215570285714286,0.000315317551559516,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",0.304828012264722,0.92243998912606,0.000428806214285714,0.000749687198281348,FALSE
"RSV_genus46","Gardnerella","Actinobacteria",0.00202570696102687,0.342344476413541,0.000659855928571429,8.31887157861235e-05,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.564077892004985,0.938477793381373,1.35531428571429e-05,4.78324427116486e-05,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",0.453786425913078,0.938477793381373,5.96765857142857e-05,0.000180744167409293,FALSE
"RSV_genus51","Scardovia","Actinobacteria",0.818191210164961,0.940641595359717,0.00115489264285714,0.00153814610152769,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",0.072185362838941,0.92243998912606,0.00623134887142857,0.00505360615754296,FALSE
"RSV_genus53","Corynebacterium 1","Actinobacteria",0.268785010826332,0.92243998912606,9.84285714285714e-07,0.000244649909293444,FALSE
"RSV_genus57","Mycobacterium","Actinobacteria",0.602992659763538,0.938477793381373,1.52371285714286e-05,0.000275451612667091,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.693774461263148,0.938477793381373,2.15269857142857e-05,1.75913500954806e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.79865689917664,0.938477793381373,0.0932677003142857,0.0972132501266709,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.107149447196666,0.92243998912606,4.94285714285714e-07,1.62356938255888e-05,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.986825317761612,0.992699277986384,8.98347142857143e-06,6.2613128580522e-06,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.292019276100113,0.92243998912606,0.0060480653,0.00585621555633352,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.647386888988001,0.938477793381373,5.65689428571429e-05,9.08529398472311e-05,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.995148775801179,0.995148775801179,0.000117012171428571,0.000117494605665181,FALSE
