"OTU","Genus","Phylum","p_value","p_adj_BH","control","Denture","in_top_panel"
"RSV_genus35","Actinomyces","Actinobacteria",0.0227472038967922,0.0600668352899669,0.0260898626647498,0.0239886100495049,FALSE
"RSV_genus38","Mobiluncus","Actinobacteria",0.00929999805050021,0.0291055494543433,3.66556739505463e-05,8.43558415841584e-06,FALSE
"RSV_genus43","Aeriscardovia","Actinobacteria",9.09690868827317e-13,3.07475513663633e-11,6.66418573893042e-06,0.000114166455445545,FALSE
"RSV_genus44","Alloscardovia","Actinobacteria",0.108826109645685,0.22241041276865,0.00036438361759632,0.000262359188118812,FALSE
"RSV_genus45","Bifidobacterium","Actinobacteria",1.32482407069528e-11,2.79869084934378e-10,0.000622764218516389,0.00180585901980198,TRUE
"RSV_genus46","Gardnerella","Actinobacteria",0.140505369322668,0.263837860172566,8.09106802760207e-05,0.000139342940594059,FALSE
"RSV_genus47","Metascardovia","Actinobacteria",0.000274832740168444,0.00136608038495491,1.79144445083381e-05,0.000167373475247525,FALSE
"RSV_genus49","Parascardovia","Actinobacteria",7.66855893981004e-14,3.23996615206974e-12,8.66212139160436e-05,0.000671207188118812,TRUE
"RSV_genus51","Scardovia","Actinobacteria",0.0650679879666599,0.150636848854322,0.00111267673317999,0.00318078500990099,FALSE
"RSV_genus52","Corynebacterium","Actinobacteria",1.22757747546895e-12,3.4576765559042e-11,0.00509170294709603,0.00206476804950495,TRUE
"RSV_genus53","Corynebacterium 1","Actinobacteria",1.72308524340675e-09,2.24001081642877e-08,4.58539097182289e-05,0.00074046306930693,TRUE
"RSV_genus57","Mycobacterium","Actinobacteria",0.0398755820074886,0.0962710479895081,0.000380955324899367,0.00392171522772277,FALSE
"RSV_genus132","Micrococcus","Actinobacteria",0.660849431978886,0.759752068057359,4.24678648648649e-05,2.21095247524752e-05,FALSE
"RSV_genus135","Rothia","Actinobacteria",0.873647113513756,0.908385567919992,0.110544209737205,0.112124765940594,FALSE
"RSV_genus170","Propionibacterium","Actinobacteria",0.221313825728137,0.374020365480552,2.07747556066705e-05,0.000108912306930693,FALSE
"RSV_genus172","Tessaracoccus","Actinobacteria",0.0143412049155123,0.0417873039779582,6.88529384703853e-06,6.38613861386139e-07,FALSE
"RSV_genus193","Atopobium","Actinobacteria",0.156408395653574,0.284226009305958,0.0054048363225992,0.00654609188118812,FALSE
"RSV_genus196","Cryptobacterium","Actinobacteria",0.0933468431752307,0.194760697489062,6.87008844163312e-05,0.00020939804950495,FALSE
"RSV_genus201","Olsenella","Actinobacteria",0.013734451725147,0.0407214445885936,3.92201328349626e-05,9.55115148514851e-05,FALSE
"RSV_genus203","Senegalimassilia","Actinobacteria",0.0457210531406894,0.10882898564474,2.1334847613571e-06,7.50681188118812e-06,FALSE
"RSV_genus204","Slackia","Actinobacteria",0.272374425639134,0.418466163027396,3.85225014376078e-06,7.06934653465347e-06,FALSE
"RSV_genus231","Bacteroides","Bacteroidetes",0.410470841091973,0.56860305036511,0.00145886595514664,6.92337227722772e-05,FALSE
"RSV_genus233","Phocaeicola","Bacteroidetes",0.00397175468861397,0.013983886299495,2.5528201840138e-05,4.80030495049505e-05,FALSE
"RSV_genus244","Coprobacter","Bacteroidetes",0.271915146009783,0.418466163027396,0.000107501133985049,0.000314288712871287,FALSE
"RSV_genus249","Odoribacter","Bacteroidetes",9.74917079516776e-06,6.8650411015973e-05,6.42014491086831e-06,2.45836930693069e-05,FALSE
"RSV_genus251","Parabacteroides","Bacteroidetes",0.903651800578673,0.925558510895731,0.000114844124209316,9.02825742574257e-06,FALSE
"RSV_genus253","Porphyromonas","Bacteroidetes",4.81895471243129e-05,0.000254501045750277,0.0146088085146636,0.0111008062475248,TRUE
"RSV_genus255","Tannerella","Bacteroidetes",0.00542967931967935,0.0183523161005162,0.000649868285221392,0.00052947903960396,FALSE
"RSV_genus256","Alloprevotella","Bacteroidetes",1.31383992683984e-05,8.88155790543735e-05,0.0216884761673376,0.0176003201089109,TRUE
"RSV_genus259","Prevotella","Bacteroidetes",0.000499215455048399,0.00241049748294798,0.0224970387032777,0.0187077423960396,TRUE
"RSV_genus261","Prevotella 2","Bacteroidetes",1.51736931215506e-07,1.42464118752336e-06,0.00140885055261645,0.000940354326732673,TRUE
"RSV_genus262","Prevotella 6","Bacteroidetes",0.837489397922009,0.885560909006053,0.00625872606210466,0.0050943480990099,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.507279365303074,0.664575292528834,0.0762661642472686,0.0730669556732673,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.518862299754489,0.669371974492433,0.000340551119608971,8.58375247524752e-06,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.0746971420865288,0.161843807854146,0.000186711968372628,3.39747524752475e-06,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.271991248820605,0.418466163027396,1.55048217366302e-05,3.00946534653465e-06,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.5047953929521e-09,2.11925351174087e-08,0.00593138869925245,0.00196086962376238,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",1.7246578055322e-05,9.71557230449808e-05,0.0030323428625647,0.00195558202970297,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.332491036629398,0.488575297911647,1.14394571592869e-05,1.01291386138614e-05,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.787265551959073,0.863947261565477,0.00112857258194365,0.00410652133663366,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.0264542839760294,0.0677389998780147,1.4030156986774e-05,4.74483663366337e-05,FALSE
"RSV_genus475","Gemella","Firmicutes",1.54907301979427e-05,9.696049642416e-05,0.0511491114864865,0.0348166440990099,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",1.46128892590793e-05,9.49837801840156e-05,0.000438632262794709,0.00144897681188119,TRUE
"RSV_genus499","Abiotrophia","Firmicutes",5.8234992037388e-08,5.78924332606974e-07,0.00186988719838988,0.000928877198019802,TRUE
"RSV_genus510","Dolosigranulum","Firmicutes",0.653723012065757,0.7567067742405,4.14004140310523e-06,3.86106930693069e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.129437189910486,0.245785225785081,0.0249023802248419,0.0240537013366337,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",2.13936959820235e-14,1.20517820698733e-12,0.00341101085221392,0.0224775484158416,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.942543091774039,0.95383103299289,1.42927774583094e-06,1.24616831683168e-06,FALSE
"RSV_genus525","Weissella","Firmicutes",0.457234661052825,0.613275061253393,0.000197626994249569,5.13456435643564e-06,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0329013086563041,0.0829898681032149,0.000170275361127085,0.000475565564356436,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.344014579642657,0.489224112536236,0.332391800213341,0.344544519673267,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.171016786414933,0.304229862148671,5.92935330649799e-05,4.61020792079208e-06,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.554897863498889,0.68450904329425,9.89881196089707e-06,1.76881188118812e-06,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.765360187332464,0.856595176550903,7.07083726279471e-05,0.000109118940594059,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",2.34433926227421e-06,1.88663493011591e-05,1.71771213341001e-05,7.74540891089109e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.0162252662524692,0.0464757626553779,0.000100423581368603,0.000107846267326733,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.00356158641919174,0.0128065554222001,7.69559229442208e-06,6.91282673267327e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.018501369169652,0.0512578916339539,8.22715048878666e-05,2.29242574257426e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.117754690578052,0.228741870203343,1.97481081081081e-06,1.71921782178218e-06,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.0712339861069081,0.15979773765352,0.00295827252961472,0.00409641130693069,FALSE
"RSV_genus569","Peptoniphilus","Firmicutes",0.344056435402351,0.489224112536236,4.64252990224267e-05,6.31363663366337e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.814841527873379,0.871571001332918,7.15187464059805e-06,2.26932673267327e-06,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.436900563233607,0.600294269808777,5.56614473835537e-05,5.2925297029703e-05,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.00307529304913643,0.0120866168675362,0.000109897712478436,0.000217446455445545,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.0718617045069085,0.15979773765352,0.00217385182058654,0.00199004605940594,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",2.33075860431774e-06,1.88663493011591e-05,0.000725154565267394,0.000790928277227723,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.000549691181253346,0.00258049471199487,0.00152220272685452,0.001259068,TRUE
"RSV_genus589","Blautia","Firmicutes",0.190061543373672,0.331138152888151,0.000138696369177688,1.32854455445545e-06,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",0.00575296039547925,0.0190637315065881,0.000205836438182864,0.000185637346534653,FALSE
"RSV_genus592","Catonella","Firmicutes",2.98564864811727e-05,0.000162766006945748,0.000610001727429557,0.000403443108910891,FALSE
"RSV_genus600","Howardella","Firmicutes",1.7181974326852e-05,9.71557230449808e-05,8.65154686601495e-06,2.78862079207921e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.469373896086321,0.619720222176471,2.2196228867165e-05,1.69711881188119e-06,FALSE
